ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
1463,"hp elitebook folio 9470m 14"" business notebook pc - c6z62ut,hp,c6z62ut#aba",hp, intel core i7,2,intel,windows 8,4 mb,intel hd graphics 4000,500 gb,14,1366,768,5.3
1464,"vizio ct15-a4 15-inch thin + light ultrabook,vizio,ct15-a4",vizio, intel core i5,1.7,intel core i5,windows 8;,4 gb,intel hd graphics 4000,128 gb,15,,,3.9
1465,"vizio ct14-a4 14-inch thin + light ultrabook,vizio,ct14-a4",vizio, intel core i5,1.7,intel core i5,windows 8;,4 gb,intel hd 4000,128 gb,14,,,3.4
1466,"vizio ct15-a5 15.6-inch thin + light ultrabook,vizio,ct15-a5",vizio, intel core i7,1.9,intel core i7,windows 8;,4 gb,intel hd 4000,256 gb,15.6,,,3.9
1467,"dell latitude e6410 core i7 2.8ghz,dell computers,e6410",,,,,,,,,,,,
1468,"hp envy dv6-7215nr 15.6"" notebook (2.4ghz intel core i7-3630qm processor, 750gb hdd, geforce gt 630m graphics, blu-ray player, windows 8) midnight black,hp,dv6-7215nr",hp, core i7-3630qm,2.4,intel,windows 8;,6 gb,intel hd graphics 4000,750 gb,15.6,1366,768,5.7
1469,"asus zenbook ux31a 13.3 ultrabook with intel core i5-3317u processor,asus,ux31a-r5102h",asus, intel core i5,1.7,intel core i5,windows 7,4 gb,integrated intel hd graphics 4000,128 gb,13.3,,,7
1470,"lenovo g570 laptop w/ i3 2370m (2.4ghz) procesor, 15.6in led screen, 4gb ddr3 memory, 320gb sata hard drive, dvdrw, 10/100, 802.11n, webcam, card reader, windows 7 home premium,lenovo",,,,,windows_7_home_premium,4 gb,,,,1366,768,7
1471,"dell precision m90 intel core 2 duo 2.16ghz mobile workstation - 2gb ram, 100gb hdd, 17"" tft display, dvdrw, gigabit ethernet, li-ion,dell computers,m90/2/100/dvdrw",dell, intel core 2 duo,2.16,intel,windows 7 professional,2 gb,nvidia quadro fx 3500m,320 gb,17,,,11.3
1472,"dell latitude e6400 14-inch laptop intel 45 express chipset,dell computers,e6400/c2d/2.26/2/80/",dell, intel core 2 duo,2.2,intel,windows 7 professional,,,160 gb,14.1,,,7.8
1473,"hp elitebook 8560p sp459uc 15.6' led notebook - intel - core i5 i5-2540m 2.6ghz - platinum,hp,sp459uc#aba",hp, intel core i5,2.6,intel,windows 7 professional,4 gb,amd radeon hd 6470m,320 gb,15.6,,,
1474,"lenovo thinkpad tablet 2 10.1"" 64gb win 8 pro tablet with stylus(367927u),lenovo,367927u",lenovo, atom z670,1.8,intel atom,windows 8;,2 gb,power vr sgx545,64 gb,10.1,1366,768,1.3
1475,"lenovo thinkpad t430s 23539wu 14' led notebook - intel - core i7-3520m 2.9ghz - black,lenovo,23539wu",,,,,,,,,,,,
1476,"thinkpad t430s 23539mu 14"" led notebook - intel - core i5 i5-3320m 3.3ghz - black,lenovo,23539mu",lenovo, intel core i5,2.6,intel,windows 7 professional,4 mb,intel hd graphics 4000,128 gb,14,,,6.7
1477,"lenovo thinkpad x230 2320hqu 12.5' led notebook - intel - core i7 i7-3520m 2.9ghz - black,lenovo igf,2320hqu",lenovo igf, intel core i7,2.9,intel,windows 8,4 mb,integrated_graphics,180 gb,12.5,1366,768,7
1478,"thinkpad w530 24384cu 15.6"" led notebook - intel - core i7 i7-3720qm 2.6ghz,lenovo,24384cu",,,,,,,,,,,,
1479,"lenovo thinkpad 2344bmu t430 14-inch notebook,lenovo,2344bmu",lenovo, intel core i5,2.6,intel,windows 7;,4 gb,nvidia nvs 5400m,500 gb,14,,,7
1480,"hp elitebook 8760w h1z53us 17.3"" led notebook - intel - core i7 i7-2820qm 2.30ghz - gunmetal,hewlett-packard",hp, intel core i7,2.3,intel,windows 7;,32 gb,nvidia quadro 3000m,500 gb,17.3,,,13.2
1481,"hp elitebook 8560p qz508us 15.6"" led notebook - intel - core i7 i7-2620m 2.7ghz - platinum,hp computers",hp, intel core i7,2.7,intel,windows 7;,16 gb,amd radeon hd 6470m,500 gb,15.6,,,8.8
1482,"hp elitebook 8560w qy035us 15.6"" led notebook - intel - core i5 i5-2540m 2.6ghz - gunmetal,hewlett-packard,8560w",, intel core i5,2.6,intel,windows 7;,16 gb,quadro,256 gb,15.6,,,11
1483,"hp elitebook 8560p qz375us 15.6"" led notebook - intel - core i5 i5-2520m 2.5ghz - platinum,hewlett-packard",hp, intel core i5,2.5,intel,windows 7;,16 gb,radeon hd 6470m,128 gb,15.6,,,8.8
1484,"hp elitebook 2560p h2c71us 12.5"" led notebook - intel - core i5 i5-2540m 2.6ghz - platinum,hewlett-packard",hp, intel core i5,2.6,intel,windows 7;,16 gb,integrated_graphics,250 gb,12.5,,,6.6
1485,"hp elitebook 8560p qz798us 15.6"" led notebook - intel - core i5 i5-2520m 2.5ghz - platinum,hewlett-packard,8560p",,,,,,,,,,,,
1486,"hp envy dv7-7200 quad edition hybrid notebook pc; dv7t,hp,dv7-7200",hp, intel core i7,2.4,intel core i7,windows 8;,8 gb,intel hd graphics nvidia geforce gt 630m,750 gb,17.3,1920,1080,10
1487,"acer 13.3"" aspire windows 8 laptop i3-2377m 1.5ghz 4gb 500gb | s3-391-6448,acer,s3-391-6448",acer, intel core i3,1.5,intel,windows 8;,4 gb,intel hd graphics 4000,500 gb,13.3,1366,768,3
1488,"hp spectre xt touchsmart ultrabook 15-4010nr intel core i7-3517u , 8gb ddr3, 500gb hdd+32gb ssd cache, 15.6? fhd 1920x1080 touch-screen led, windows 8 64-bit,hp,5-4010nr",hp, core i7-3517u,1.9,intel core i7,windows 8;,8 gb,intel hd graphics 4000,500 gb,15.6,1920,1080,5
1489,"panasonic toughbook 53 cf-53jslzy1m 14 notebook intel core i5-3320m 2.60ghz 4gb ddr3 500gb hdd dvd-writer bluetooth windows 7 professional,panasonic",panasonic, intel core i5,2.6,intel,windows 7;,4 gb,intel hd graphics 4400,500 gb,,,,9
1490,"(refurbished) dell latitude d630 14.1"" laptop pc - silver notebook computer - 120 gb hard drive - 2 gb ram - intel core 2 duo 2.0 ghz processor - 15 day money back satisfaction guarantee and 90 day warranty,dell computers,d630",latitude, intel core 2 duo,2,intel,windows 7 professional,2 gb,,120 gb,14.1,,,15
1491,"hp elitebook 8460w core 14-inch 2.6ghz mobile workstation model xu744av,hewlett-packard",hp, intel core i5,2.6,,,,amd firepro m3900,320 gb,14,,,5
1492,"thinkpad w530 2438 - intel - core i7 - 3720qm - 2.6 ghz - ddr3 sdram - ram: 8 gb,lenovo",,,,,,,,,,,,
1493,"lenovo ideapad n580 15.6"" laptop - windows 8 (black),lenovo,n580 - 59351030",lenovo ideapad, pentium,2.2,intel,windows 8;,2 gb,hm76 express,500 gb,15.6,,,5.7
1494,"hp elitebook 2560p qt900us 12.5"" led notebook - intel - core i7 i7-2620m 2.7ghz,hewlett-packard",hp, intel core i7,2.7,intel,windows 7;,16 gb,integrated_graphics,128 gb,12.5,,,11
1495,"hp elitebook 8560w qt964us 15.6"" led notebook - intel - core i5 i5-2540m 2.6ghz - gunmetal,hewlett-packard,8570w,",hp, intel core i5,2.6,intel,windows 7;,32 gb,amd radeon hd 6470m,,15.6,,,15.4
1496,"hp elitebook 8460p h2w38ep 14.0"" led notebook - intel - core i5 i5-2520m 2.5ghz - platinum,hp,h2w38ep#aba",hp, intel core i5,2.5,intel,windows 7;,16 gb,intel hd graphics 3000,500 gb,14.1,,,3.7
1497,"hp elitebook 8470p a1g60av 14.0"" led notebook - intel core i5-3380m 2.9ghz 4g memory 320gb hdd dvdrw drive windows 7 professional,hewlett-packard,a1g60av",hp,,2.9,intel,windows 7;,2048 mb,,,14,,,4.6
1498,"probook 6470b c1g64up 14"" led intel - core i5-3320m 2.6ghz 4 gb ram 128 gb ssd 32-bit tungsten notebook,hp,c1g64up#aba",hp, intel core i5,2.6,intel,windows 7;,16 gb,intel hd graphics 4000,128 gb,14,,,8.8
1499,"hp elitebook 2560p qz502us 12.5"" led notebook - intel - core i5 i5-2520m 2.5ghz,hewlett-packard",hp, intel core i5,2.5,intel,windows 7;,16 gb,integrated_graphics,128 gb,12.5,,,6.6
1500,"hp elitebook 8470p c6r61us 14"" led notebook - intel - core i5 i5-3320m 2.6ghz - platinum,hewlett-packard,c6r61us#aba",hp, intel core i5,2.6,intel,windows 7;,16 gb,intel hd graphics,500 gb,14,,,6.6
1501,"hp elitebook 2760p c7l81up 12.1"" led convertible tablet pc - wi-fi - intel - core i5 i5-2520m 2.5ghz,hewlett packard",hp, intel core i5,2.5,intel,windows 7,16 gb,,320 gb,12.1,,,6.6
1502,"hp probook 6570b 15.6' led notebook - intel - core i5 i5-3320m 2.6ghz - tungsten,hp,c4p02up#aba",hp, intel core i5,2.6,intel,windows 7;,16 gb,intel hd graphics 4000,500 gb,15.6,,,8
1503,"zebra z-select 4000d thermal label 10010045,zebra,10010045",,,,,,,,,,,,
1504,"lenovo thinkpad t430s 2355 ( dual core i5 3320m 2.6 ghz, 4 gb ram, 128 gb ssd, intel hd graphics 4000, windows 7 professional 64-bit, 2355hcu),lenovo,2355hcu",lenovo, intel core i5,2.6,intel,windows 7;,4 gb,integrated_graphics,128 gb,,,,9.6
1505,"samsung np355e5c-a01us laptop (1.7ghz amd dual core e2-1800 accelerated 1.7ghz processor, 4gb ram, 500gb hard drive, windows 8),samsung,np355e5c-a01us",samsung, e-series dual-core e2-1800,1.7,amd,windows 8;,4 gb,intel integrated graphics,500 gb,15.6,,,5.5
1506,"dell latitude d830 15.4"" core 2 duo 60gb notebook,dell computers,d830",latitude, intel core 2 duo,1.8,intel,windows 7;,,,60 gb,15.4,1680,1050,7
1507,"dell precision m6400 17"" core 2 duo 160gb notebook,dell computers,dell precision m6400",dell,,,intel,windows_7_home_premium,4 gb,nvidia quadro fx 2700m,160 gb,17,,,22
1508,"dell latitude e6400 14.1"" skinned laptop, core 2 duo 2.40ghz, 4gb ram,160gb,dell computers",dell, intel core 2 duo,2.4,intel,windows 7;,4 gb,,160 gb,13.3,,,9
1509,"dell latitude e4300 13.3"" skinned laptop, core 2 duo 2.20ghz, 2gb ram,80gb,dell computers",dell,,2.2,intel,windows 7 home premium,2 gb,,80 gb,13.3,,,6
1510,"lenovo thinkpad t530 2392aqu 15.6 inch led notebook, intel core i5, i5-3320m, 2.6ghz,  black, nvidia nvs 5400m,lenovo,2392aqu",lenovo, intel core i5,2.6,intel,windows 7;,4 gb,intel hd graphics;nvidia optimus graphics,500 gb,15.6,,,7
1511,"hp probook 5330m - intel core i5-2520m 2.50ghz- 4gb ram - 128gb ssd - 13.3-inch,hp",hp, intel core i5,2.5,intel,windows 7 professional,4 gb,integrated_graphics,128 gb,13,,,
1512,"dell latitude e6410 intel i5 2400 mhz 320gig serial ata hdd 4096mb ddr3 dvd rom wireless wi-fi 14.0” widescreen lcd genuine windows 7 professional 32 bit laptop notebook computer,dell,,latitude e6410",dell, intel core i5,2.66,intel,windows 7;,4 gb,nvidia nvs 3100m,320 gb,14.1,,,5
1513,"hp 15.6"" laptop 2gb 320gb | 2000-2b49wm,hp pavillion",hp,,,amd,windows 8;,2 gb,amd radeon hd 6310 with 948mb,320 gb,15.6,,,7
1514,"lenovo thinkpad t430 2344-c4u  14-inch notebook,lenovo,2344c4u",lenovo, intel core i5,2.6,intel,windows 7;,4 gb,integrated_graphics,500 gb,14,1366,768,7
1515,"samsung series 9 np900x4d-a05us 15-inch premium ultrabook (silver),????,np900x4d-a05us",samsung, intel core i5,1.7,intel,windows 8 ;,4 gb,intel hd graphics 4000,128 gb,15,1600,900,3.5
1516,"samsung series 5 slim notebook pc - amd dual-core a6-4455m 2.1ghz, 4gb ddr3, 500gb hdd, amd radeon hd 7500g, 13.3-inch display, windows 7 home premium 64-bit (np535u3c-b01us),samsung",samsung,,2.1,amd,windows 7,4 gb,radeon,500 gb,13.3,,,5.1
1517,"dell optiplex 745 mini tower, core 2 duo 1.800ghz, 2gb ram, 80gb hdd,dell computers",dell, core 2 duo t9600,1.8,intel,windows 7 home premium,2 gb,,80 gb,,,,31
1518,"asus x501a-dh31-wt 15.6-inch laptop,asus,x501a-dh31-wt",asus, core i3-2350m,2.3,intel,windows 8;,4 gb,intel 4000 integrated,320 gb,15.6,,,4.6
1519,"sony vaio sve14a27cxh 14-inch touch laptop,sony,svt13126cxs",sony, intel core i7,2.2,intel,windows 8;,8 gb,intel hd graphics 4000,1 tb,13.3,1600,900,3.8
1520,"asus q500a-bhi5n01 laptop computer (3rd generation intel core i5-3210m, 2.5ghz, 6gb ddr3, 750gb hdd, dvdrw, 16-inch display, windows 8) (rb-q500a-bhi5n01),asus,q500a-bhi5n01",asus, intel core i5,2.5,intel,windows 8;,6 gb,intel hd 4000 graphics,750 gb,15.6,1366,768,5.8
1521,"elitebook 8570p 15.6"" led notebook - intel core i7 i7-3520m 2.90 ghz - platinum,hp",hp, intel core i7,2.9,intel,windows 7;,,amd radeon hd 7570m,320 gb,15.6,,,
1522,"acer 15.6"" laptop i5-2450m 2.5ghz dual-core 4gb 500gb | v3-571-6800,acer,nx.ryfaa.004",,,,,,,,,,,,
1523,"hp envy touch 15t ultrabook intel i7 up to 3.1 ghz 12gb 1tb+128gb ssd 15.6"" fhd b&o audio webcam wifi (certified refurbished),hp,c0u61ea",hp, intel mobile cpu,2.5,intel,windows 10,12 gb,integrated_graphics,1 tb,15.6,,,4
1524,"lenovo - ideapad n585 laptop / amd dual-core e1-1200 processor / 2gb ddr3 / 320gb hard drive / dvd±rw/cd-rw drive / built-in webcam / windows 8 / black,lenovo",, e series dual core e1-1500,1.4,amd,windows 8;,2 gb,amd radeon hd7370m,320 gb,15.6,,,5.5
1525,"lenovo thinkpad t430 2344bpu, i7-3520m(3.6ghz), 4gb ram, 500gb 7200rpm hd, 14in 1600x900 lcd, nvidia nvs 5400m 1gb, dvd, intel 802.11agn wireless, 1gb ethernet, ultranav, secure chip, fingerprint reader, camera, 9c li-ion, win7 pro 64, 3 yr wrnty,lenovo,2344bpu",,,,,,,,,,,,
1526,"hp - envy touch-screen ultrabook 14"" laptop - 4gb memory - 500gb hard drive - midnight black,hp,4-1105dx",hp, intel core i3,1.8,intel core i3,windows 8;,4 gb,hd graphics 4000,500 gb,14,1366,768,4.7
1527,"lenovo thinkpad t430s 23539lu 14"" led notebook - intel - core i5 i5-3320m 2.6ghz - black (23539lu) -,lenovo",lenovo, intel core i5,2.6,intel,windows 7;,4 gb,intel hd graphics 4000,500 gb,14,,,6.6
1528,"diraction classmate pc nl2,diraction usa inc",diraction usa inc, intel atom n450,1.66,intel,windows 7 home premium,2 gb,,160 gb,10.1,,,
1529,"acer  aspire one 725  11.6 inches netbook (1 ghz amd c series,  2 gb ddr3, 320 gb,  windows 8) red,acer,aspire one 725-0687",acer, amd c series,1,amd,windows 8,2 gb,amd radeon hd 6290,320 gb,11.6,,,5
1530,"asus x501a-wh01 15.6"" notebook | intel celeron b820(1.7ghz), 2gb ddr3, 320gb hdd, webcam, hdmi, windows 8,asus",asus, intel celeron,1.7,intel celeron,windows 8;,2 gb,intel hd graphics,500 gb,15.6,1366,768,8.1
1531,"hp envy 4-1115dx 14-inch touch ultrabook,hp,4-1115dx",hp, intel core i5,2.6,intel core i5,windows 8,4 gb,intel hd graphics 4000,500 gb,14,1366,768,4.7
1532,"lenovo thinkpad t530 239248u 15.6 led notebook intel core i7 i7-3520m 2.9ghz 4gb ddr3 500gb hdd dvd-writer intel hd graphics 4000 bluetooth finger print reader windows 7 professional 64-bit black,lenovo",lenovo, intel core i7,2.9,intel,windows 7;,4 gb,integrated_graphics,500 gb,15.6,1600,900,5.6
1533,"panasonic toughbook cf-53jjczy1m 14 led notebook intel core i5-3320m 2.60 ghz,panasonic,cf-53jjczf1m",panasonic, intel core i5,2.6,intel,windows 7;,4 gb,intel hd graphics 4400,500 gb,14,,,5.5
1534,"hp 15.6"" pavilion laptop 4gb 320gb | 2000-bf69wm,hp,2000-bf69wm",hp, amd e series,1.3,amd,windows 8;,4 gb,ati radeon,320 gb,15.6,,,5
1535,"samsung series 3 np300e5c-a07us 15.6-inch laptop (black),samsung,np300e5c-a07us",samsung, intel core i3,2.4,intel,windows 8;,4 gb,integrated_graphics,500 gb,15.6,1366,768,6
1536,"gateway nv52l15u 16-inch laptop (amd a8 4500m, 1.9ghz, 4gb memory, 500gb hard drive, windows 8),gateway,nx.y1kaa.007",,,,,,,,,,,,
1537,"apple macbook pro 15.4"" laptop ma609ll/a 2.16ghz core 2 duo 120gb hd 1gb ram,apple computer,ma609ll/a",apple, intel core 2 duo,2.16,intel,mac os x,1 gb,radeon,120 gb,15.4,,,6.7
1538,"dell 15.6"" inspiron laptop 4gb 500gb | i15-2728bk,dell computers,dell i15-2728bk",dell, intel core i5,2.5,intel core i5,windows 8;,4 gb,intel hd graphics,500 gb,15.6,,,5.8
1539,"toshiba satellite c855d-s5303 laptop computer / 15.6-inch hd display screen / amd dual-core e-300 1.3 ghz processor / 2gb ddr3 ram memory / 320gb hard drive / double-layer dvd±rw / 6-cell battery / webcam / windows 8 / satin black,toshiba,c855d-s5303",toshiba,,1.3,amd,windows 8;,2 gb,amd radeo hd 6310,320 gb,15.6,,,5.5
1540,"asus vivobook,capacitive multi-touch led, intel core i3-2365m dual-core 1.4ghz, 4gb ddr3, 500gb sata, hdmi, usb 3.0, 802.11n, win 8, 11.6 inches,asus,vivobook q200e-bhi3t45",asus, core i3-3217u,1.4,intel,windows 8;,4 gb,integrated graphics,500 gb,11.6,,,2.9
1541,"panasonic toughbook cf-19 rugged notebook pc,panasonic",,,,,windows 7 professional,,intel hd graphics 3000,1 tb,10.4,,,
1542,"dell latitude e5410 4gb ram - 500gb hardrive,dell computers,e5410",,,,,,,,,,,,
1543,"hp pavilion g4-2029wm amd a6-4400m dual-core 2.7ghz 4gb 500gb dvd+/-rw 14"" win7 (winter blue),hewlett packard,b5j87ua",hp, a-series dual-core a6-4400m,2.7,amd,windows 7 home premium,4 gb,integrated_graphics,500 gb,14,,,4.8
1544,"asus 11-inch x202e silver laptop (old version),asus,asus vivobook x202e-dh31t-sl",asus, intel core i3,1.8,intel,windows 8;,4 gb,intel gma hd,500 gb,11,1366,768,2.9
1545,"dell 13.3"" xps laptop 4gb 128gb | 13-925slv,dell,13-925slv",dell, intel core i5,1.6,intel,windows 7 home premium,4 gb,intel hd graphics 3000,128 gb,13.3,,,4
1546,"dell inspiron n5010 15.6"" laptop pc core i5-460m 500gb hdd 4gb ram windows 7,dell computers",dell, intel core i5,2.53,intel,windows 7;,4 gb,ati mobility radeon hd 5470,500 gb,15.6,,,8.9
1547,"hp envy dv6 laptop(latest model), intel 3rd generation core i7-3630qm 2.4ghz, 8gb ram, 750gb hd, 15.6"" 1366x768, beats audio, windows 8 (standard keyboard),hp,hp envy dv6t",hp, intel core i7,2.4,intel,windows 8,8 gb,integrated_graphics,750 gb,15.6,1366,768,5.7
1548,"dell latitude e6510 15.6 inch laptop computer core i5-520m 250gb hd 4gb ram,dell computers,e6510",latitude, intel core i5,2.4,intel,windows 7 professional,4 gb,,250 gb,15.6,,,5.5
1549,"lenovo thinkpad x1 carbon ultrabook - core i7 3667u / windows 7 professional 64-bit - 8 gb ram - 256 gb ssd - 14"" wide 1600 x 900 / hd+ - intel hd graphics 4000 - 3 year warranty,lenovo,3443cto",lenovo, intel core i7,2,intel,windows 7;,8 mb,intel hd graphics 4000,256 gb,14,1600,900,3
1550,"acer s3-391-6046 13.3-inch ultrabook, intel core i3-2367m, 4gb memory, 320gb hdd and 20gb ssd, windows 8,acer,nx.m4uaa.001",acer, intel core i3,1.4,intel,windows 8,4 gb,,320 gb,13.3,,,2.6
1551,"gateway 15.6"" windows 8 laptop pentium b960 2.2ghz 4gb 500gb | ne56r27u,gateway,nx.y1uaa.017",gateway, pentium b960,2.2,intel,,,,500 gb,15.6,,,7.5
1552,"hp pavilion g6-2235us 15.6"" laptop (2.7 ghz amd a6-4400m accelerated processor, 4gb ram, 750gb hard drive, supermulti dvd burner, windows 8),hp,g6-2235us",hp, a-series dual-core a6-4400m,2.7,amd,windows 8;,4 gb,amd radeon hd,750 gb,15.6,1366,768,7
1553,"2016 newest acer 15.6"" touchscreen laptop (intel i5 processor up to 2.70ghz, hd led-backlit touchscreen display, 8gb ddr3l ram, 1tb hdd, backlit keyboard, 802.11 ac wifi, usb 3.0, dvd rw, windows 10),acer,acer aspire",aspire, intel core i5,1.7,intel,windows 10,8 gb,integrated graphics,1 tb,15.6,1366,768,4.9
1554,"lenovo thinkpad x1 carbon 3444b9u 14' led ultrabook - intel - core i5 i5-3427u 1.8ghz - black,lenovo,3444b9u",lenovo,,,,windows 7;,4 mb,intel hd graphics 4000,,14,,,6
1555,"lenovo thinkpad w530 24384ku 15.6"" led notebook - intel - core i7 i7-3630qm 2.4ghz,lenovo,24384ku",lenovo, intel core i7,2.4,intel,windows 7 professional,8 gb,nvidia quadro k1000m +intel hd graphics 4000,500 gb,15.6,,,6.8
1556,"gateway ne56r31u celeron dual-core b830 1.8ghz 4gb 320gb dvd±rw 15.6"" led windows 8 notebook,gateway,nx.y1uaa.016",gateway, intel celeron,1.8,intel celeron,windows 8;,4 gb,integrated_graphics,320 gb,15.6,,,7.8
1557,"lenovo - ideapad 15.6"" laptop - 6gb memory - 750gb hard drive - graphite gray-model: p500 - 59345704,lenovo,59345704",lenovo ideapad, intel core i5,2.5,intel,windows 8;,6 gb,intel hd graphics 4000,750 gb,15.6,,,7
1558,"hp pavilion g7-1139wm 17-inch laptop (2.40ghz intel core i3-370m processor, 4gb ddr3, 500gb, supermulti dvd burner, windows 7 home premium),hp,pavilion g7-1139wm",hp,,2.4,intel,windows 7;,4 gb,intel integrated graphics,500 gb,17.3,,,7
1559,"refurbished dell latitude e6420, i5 2520m, 2.5ghz, 4gb ddr3, 128gb ssd, 14 inch, dvd, webcam, windows 7 pro 64-bit,dell computers,e6420",dell, intel core i5,2.5,intel,windows 7;,4 gb,intel hd graphics 3000,250 gb,14.1,,,4.4
1560,"dell latitude e6500 core 2 duo 2.8ghz 4gb 160gb win 7,dell computers",latitude e6230, intel core 2 duo,2.8,intel,windows 7 professional,4 gb,,160 gb,15.6,,,18
1561,"dell latitude e6510 intel i7 quad core 1600 mhz 320gig serial ata hdd 4096mb ddr3 dvd rom wireless wi-fi 15.0” widescreen lcd genuine windows 7 professional 32 bit laptop notebook computer,dell computers,e6510",latitude, intel core i7,1.6,intel,windows 7;,4 gb,,320 gb,15.6,,,
1562,"gateway lt series lt4010u intel atom n2600 x2 1.6ghz 1gb 320gb 10.1"" win7 starter (river black),gateway,nu.wzmaa.006",gateway, intel atom,1.6,intel,windows 7;,1 gb,intel graphics,320 gb,10.1,,,4
1563,"acer 15.6"" aspire v5 laptop 6gb 500gb | v5-571-6868,acer,:886541746740",acer,,,intel core i3,windows 8;,6 gb,integrated_graphics,500 gb,15.6,,,5
1564,"samsung - touch-screen ultrabook 13.3"" laptop - 4gb memory 500gb hdd + 24gb expresscache - silver -model #np540u3c-a01ub,samsung,np540u3c-a01ub",samsung,,,,windows 8;,4 gb,,500 gb,13.3,,,1
1565,"hp envy 15.6-inch laptop (intel i7-5500u, 8gb ram, 1tb hdd, windows 8.1),hp,envy",hp, intel core i7,2.4,intel,windows 8.1,8 gb,intel hd graphics 5500,1000 gb,15.6,1366,768,5.2
1566,"lenovo ideapad s405 14"" slim notebook (amd a6-4455m 2.10ghz cpu, 4gb ddr3 1333 ram, 500gb hdd, amd radeon hd 7500g, 802.11 b/g/n, windows 8) model 20196, mo 59351953,lenovo,s405-59351953",lenovo, a-series dual-core a6-4455m,2.1,amd,windows 8;,4 gb,amd radeon hd 7500g,500 gb,14,,,4
1567,"dell inspiron 15 i15rv-6190blk 15.6-inch laptop (black matte with textured finish) [discontinued by manufacturer],dell computers,i15rv-6190blk",dell, pentium,1.8,intel pentium,windows 8;,4 gb,intel hd integrated graphics,500 gb,15.6,1366,768,7
1568,"dell inspiron 15 i15rm-3415slv 15.6-inch laptop (1.9 ghz 3rd generation intel core i3-3227u processor, 4gb ddr3, 500gb hdd, windows 8) moon silver [discontinued by manufacturer],dell computers,inspiron 15r (5521)",dell, intel core i3,1.9,intel core i3,windows 8;,4 gb,intel hd integrated graphics,500 gb,15.6,,,7
1569,"dell inspiron 15 i15rm-4146slv 15.6-inch laptop (1.8 ghz 3rd generation intel core i5-3337u processor, 8gb ddr3, 1tb hdd, intel hd graphics, windows 8) moon silver [discontinued by manufacturer],dell computers,inspiron 15r (5521)",dell, intel core i5,2.7,intel core i5,windows 8;,8 gb,intel hd graphics,1 tb,15.6,,,7.3
1570,"dell inspiron 15 i15rm-4390slv 15.6-inch laptop (2.0 ghz 3rd generation intel core i7-3537u processor, 8gb ddr3, 1tb hdd, amd radeon hd 8730m, windows 8) moon silver [discontinued by manufacturer],dell computers,inspiron 15r (5521)",dell, intel core i7,2,intel,windows 8;,8 gb,intel hd graphics 4000,1 tb,15.6,,,7
1571,"dell inspiron 17 i17rm-2419slv 17.3-inch laptop (moon silver) [discontinued by manufacturer],dell computers,inspiron 17r (5721)",dell, intel core i5,1.8,intel core i5,windows 8;,6 gb,intel hd graphics,750 gb,17.3,1600,900,4
1572,"dell xps14-1864slv 14-inch ultrabook (1.8 ghz 3rd generation intel core i5-3337u processor, 4gb ddr3, 500gb hdd, intel hd graphics 4000, windows 8) silver anodized aluminum [discontinued by manufacturer],dell computers,xps14-1864slv",dell, intel core i5,1.8,intel,windows 8;,4 gb,intel hd graphics 4000,500 gb,14,1600,900,8.4
1573,"alienware m18x r2 am18xr2-7778bk 18.4-inch laptop (space black anodized aluminum) [discontinued by manufacturer],alienware,am18xr2-7778bk",alienware, intel core i7,2.4,intel core i7,windows 8;,16 gb,2gb ddr5 nvidia geforcegt 675m,750 gb,18.4,1920,1080,17
1574,"alienware am14xr2-6111bk 14.0-inch laptop (2.5 ghz intel core i5-3210m processor, 8gb ddr3, 500gb hdd, windows 8) stealth black [discontinued by manufacturer],alienware,am14xr2-6111bk",alienware, intel core i5,2.5,intel core i5,windows 8;,8 gb,2 gb ddr5 nvidia geforcegt 650m,500 gb,14,1366,768,10.7
1575,"asus q400a-bhi7n03 notebook pc,asus",asus,,,intel,windows 8,,nvidia geforce,4 gb,14,,,7
1576,"hp probook 4540s 16-inch laptop (intel i3 3110m, 2.40ghz, 4gb ram, 500gb hard drive, windows 7 professional) aluminum,hewlett packard,c9k70ut#aba",hp, intel core i3,2.4,intel,windows 7;,4 mb,integrated_graphics,500 gb,15.6,1366,768,8
1577,"gateway ne51b16u 15.6 inch laptop amd e2-1800 1.7ghz cpu, 4gb memory, 500gb hdd, windows 8 (satin black),gateway,ne51b16u",gateway, amd e series,1.7,amd,windows 8;,4 gb,amd radeon hd 7340 graphics,500 gb,15.6,,,5.5
1578,"lenovo thinkpad x1 carbon 14-inch touchscreen laptop (black)3444cuu,lenovo ??,3444cuu",lenovo, intel core i7,2,intel,windows 8;,8 gb,intel hd 4000 graphics,240 gb,14,1600,900,3.4
1579,"dell latitude e6520 intel i7 dual core 2700 mhz 320gig serial ata hdd 8192mb ddr3 dvd rom wireless wi-fi 15.0” widescreen lcd genuine windows 7 professional 64 bit laptop notebook computer,dell computers,e6520",latitude, intel core i7,2.7,intel,windows 7;,8 gb,intel hd graphic 3000/nvidia nvs 4200m,320 gb,15,,,8
1580,"dell inspiron 17 i17rv-5455blk 17.3-inch laptop (black matte with textured finish) [discontinued by manufacturer],dell computers,i17rv-5455blk",dell, intel core i3,1.9,intel core i3,windows 8;,6 gb,intel hd graphics,750 gb,17.3,,,12
