ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
27,"sony vaio vgn-ux280p 4.5-inch laptop (intel core solo processor u1400, 1 gb ram, 40 gb hard drive),sony,vgn-ux280p",sony, intel core solo,1.2,intel,windows xp professional edition,1 gb,intel graphics integrated,40 gb,4.5,1024,600,1.2
28,"apple macbook ma700ll/a - core 2 duo 2 ghz - ram 1 gb - hdd 80 gb - dvd-rom/cd-rw - gma 950 - gigabit ethernet - wlan : 802.11b/g, bluetooth 2.0 edr - macos x 10.4 - 13.3"" widescreen tft 1280 x 800 ( wxga ) - camera - white,apple,ma700ll/a,1675940",apple, core 2 duo,2,intel,apple mac os x 10.4,1 gb,gma,80 gb,13.3,1280,800,7
29,"apple macbook mb061ll/a 13.3"" notebook pc (2.0 ghz intel core 2 duo processor, 1 gb ram, 80 gb hard drive, combo drive) white,apple computer,mb061ll/a",apple, intel core 2 duo,2,intel,apple mac os x v10.5 leopard,1 gb,intel gma 950,80 gb,13.3,1280,800,5.1
30,"dell d600 laptop (1.6ghz, 40 gb hard drive, dvd/cd-rw),dell computers,latitude d600",,,,,,,,,,,,
31,"panasonic toughbook cf-30ctqazbm notebook intel core duo l2400(1.66ghz) 13.3"" xga 4gb memory 160gb hdd intel gma950,cf-30ctqazbm",panasonic, intel core duo,1.66,intel,pc,4 gb,integrated_graphics,160 gb,13.3,,,7
32,"dell inspiron 9400 (e1705) notebook pc, intel core 2 duo t2250 1.73 ghz, 120 gb hd, 24x cd burner/dvd combo drive, 1 gb ddr2 sdram, 17 inch wide screen xga+ display , windows vista home premium,dell computers,inspiron 9400. e1705",dell,,,intel,windows 8,1 gb,,120 gb,17,1920,1280,
33,"apple ibook g3 500mhz 128mb 10gb cdrom 12.1'' os x office 2004,apple computer,ibook g3",apple, powerpc g3,0.5,ibm,apple macos x,128 gb,ati rage mobility 128,10 gb,12.1,,,2.2
34,"apple ibook 12.1"" g4 (1.33 ghz, 512 mb ram, 40 gb hard drive, combo drive, os 10.4.11),apple computer",apple,,1.33,,pre mac os 10,512 mb,,40 gb,12.1,,,4.9
35,"macbook black 13"" inch / 2008 / 2.4ghz intel ""core 2 duo"" / 2gb ram / memory / osx lion / mb404ll/a [certified pre-owned],apple computer,macbook",apple, core 2 duo,2.4,intel,apple mac os 10.5.2,2 gb,nvidia geforce 9400m,250 gb,13,,,2.2
36,"thinkpad t61 notebook intel core 2 duo t7300 2ghz 802.11a/b/g wireless 14.1"" wxga 1gb ddr2 sdram 80gb,lenovo,t61, t7300 cpu",lenovo thinkpad, intel core 2 duo mobile,2.4,intel,windows 7 home premium,4 gb,,120 gb,14.1,1280,800,7.1
37,"apple macbook mb062b/a 13.3-inch laptop (old version),apple,mb062b/a",apple, core 2 duo,2.16,intel,apple mac os x,1 gb,gma,120 gb,13.3,1280,800,5.1
38,"apple macbook - core 2 duo 2.16 ghz - ram 1 gb - hdd 160 gb - dvd?rw (+r dl) - gma 950 - gigabit ethernet - wlan : bluetooth 2.0 edr, 802.11 a/b/g/n (draft) - macos x 10.4 - 13.3"" widescreen tft 1280 x 800 ( wxga ) - camera - black,apple computer,mb063b/b",apple, core 2 duo,2.16,intel,apple mac os x 10.4 (tiger),1 gb,,160 gb,13.3,,,9.3
39,"hp pavilion dv2000t 14.1"" notebook laptop pc (intel core duo t2050 1.60 ghz, 1gb ram, 80gb hdd,dvdr/rw / wireless / bluetooth / camera (webcam) / wxp pro) by ce,hp,eq883avr11",hp, intel core duo,1.6,intel,microsoft windows xp,1 gb,geforce go 7200,1024 gb,14.1,1280,800,5.3
40,"apple macbook a1181 macbook2,1 ma699ll/a, 1.83ghz intel core duo t5600, 160gb hard drive, 1gb ram memory (late 2006),apple computer,mb062d/a",apple, intel core 2 duo,1.83,intel,mac os x 10.4 tiger,1 gb,,160 gb,13.3,,,5.1
41,"dell latitude d600 1.6ghz 1024mb 40gb cdrw/dvd wifi xp pro laptop,dell,d600",,,,,,,,,,,,
42,"ibm thinkpad t43 - 2668 - 1.86ghz centrino mobile technology, 1gb ram, 40gb hd, windows xp pro, dvd/cd-rw, ati graphics,ibm,t43",ibm, pentium,1.86,intel,windows xp;,1 gb,radeon x300,40 gb,15,,,5.1
43,"lenovo thinkpad t61p 6460 notebook,lenovo group limited",lenovo group limited, intel centrino,2.2,intel,windows 7 home premium,2 gb,,100 gb,15.4,,,9.6
44,"hp compaq mobile workstation 8510w notebook,hp",,,,,,,,,,,,
45,"lenovo thinkpad t61 7658 notebook,lenovo,t61 7658",lenovo, core 2 duo t7500,2.2,intel,microsoft windows xp professional,1 gb,gma,160 gb,14.1,1280,800,5.9
46,"ibm lenovo x60s mini laptop and mini-dock combo,lenovo,x60s 1702",lenovo, core 2 duo,1.66,intel,microsoft windows 7 home premium (64 bit),2 gb,gma,60 gb,12.1,1024,768,
47,"hp 6510b laptop, intel core 2 duo t7250 2.0ghz, fingerprint reader, anti-glare screen, 120 gb hard drive, microsoft vista basic,hp,rm305ut#aba",hp, intel core 2 duo,2.1,intel,windows xp professional,1 gb,intel gma x3100,120 gb,14.1,1280,800,5
48,"dell latitude d600 14.1-inch laptop - 512mb ram, 30gb hard drive,dell computers,latitude,1697399",dell, pentium,1.6,intel,windows xp professional,512 gb,ati mobility radeon 9000,30 gb,14.1,,,4.6
49,"hp compaq 6910p business notebook t7500/c2d-2.20c 1024mb/1-dimm 80gb/7200rpm dvd,hewlett packard,gb949ea",,,,,,,,,,,,
50,"dell dimension e521 amd athlon 64 x2 dual-core 3600+ (1.9 ghz), 1 gb ddr2 sdram , 250 gb eide sata hd, 16x dvd +/- rw ,windows vista home,dell computers",,,,,,,,,,,,
51,"dell inspiron e1705 laptop,dell,e 1705",dell, intel core duo,2,intel,microsoft windows xp,1 gb,geforce go 7800gtx,100 gb,17,1920,1200,9.7
52,"apple macbook pro a1211 15"" notebook ma610ll core 2 duo t7600 2.33ghz cpu 2gb ram 200gb,apple computer,a1211",apple,,,intel,mac os x,2 gb,radeon x1600,300 gb,15,,,5.6
53,"dell xps m1330 13.3"" tuxedo black laptop computer,dell,m1330",,,,,,,,,,,,
54,"dell latitude d800 15.4"" notebook,dell computers,d800",dell, pentium,1.7,intel,microsoft windows xp professional,1 gb,geforce fx go5200,40 gb,15.4,1280,800,7.5
55,"apple ibook g4 1 ghz 512mb 30gb dvd/cdrw 12"" lcd with airport extreme os x 10.5.5 leopard office 2004 garageband itunes imovie hd free,apple computer,g4",apple, powerpc g4,1,aim,apple mac os x 10.5,512 gb,,30 gb,12,,,2.2
56,"hp compaq business nc2400 notebook,hewlett packard",,,,,,,,,,,,
57,"norton 1603bc-689 size 3 door closer with backcheck, aluminum finish,norton",,,,,,,,,,,,8
58,"toshiba satellite a205-s5804 15.4-inch laptop (intel pentium dual core t2330 processor, 1 gb ram, 120 gb hard drive, vista premium),toshiba,a205-s5804",toshiba, pentium,1.6,intel,windows vista;,1 gb,gma,120 gb,15.4,1280,800,6
59,"panasonic toughbook t7 core 2 duo u7500 / 1.06 ghz ulv - centrino duo (42595h) category: computer notebooks,panasonic",panasonic,,,,windows_vista,1 gb,intel gma x3100,80 gb,,,,3.3
60,"dell inspiron e1405 laptop (intel core duo 2mb cache/1.66ghz/667mhz fsb, widescreen wxga, 1gb ram, 60gb hard drive),dell inspiron e1405,inspiron e1405",,,,,,,,,,,,
61,"toshiba core 2 duo 1.5ghz 1gb 160gb dvd±rw 13.3-inch vista,toshiba",toshiba, intel core 2 duo,1.5,intel,windows vista;,1 gb,intel gma x3100,160 gb,13.3,,,
62,"apple macbook pro mb766ll/a 17-inch laptop (2.5 ghz intel core 2 duo processor, 4 gb ram, 320 gb hard drive, slot loading superdrive),apple computer,mb766ll/a",apple, intel core duo,2.5,intel,apple mac os x 10.5,4 gb,geforce gt,320 gb,17,1920,1200,10
63,"apple macbook pro mb133ll/a 15.4-inch laptop (old version),apple computer,mb133ll/a",apple, intel core 2 duo,2.4,intel,mac os x v10.5 leopard,2 gb,nvidia geforce,200 gb,15.4,1440,900,5.4
64,"apple macbook a1181 macbook4,1 mb402ll/a, 2.4ghz intel core 2 duo t8100, 120gb hard drive, 1gb ram memory (early 2008),apple computer,mb402ll/a",apple, intel core 2 duo,2.1,intel,apple mac os x v10.5 leopard,1 gb,intel gma x3100,120 gb,13.3,1280,800,4.9
65,"dell vostro 1500, intel core 2 duo t5470 (2x1.6ghz), 2gb ram, 80,dell,dl-va860",,,,,,,,,,,,
66,"apple black macbook,apple computer,mb404b/a",macbook, intel core 2 duo,2,apple,mac os x 10.4 tiger,2 gb,intel gma x3100,250 gb,13.3,,,5
67,"apple a1181 macbook mb403ll 13.3 inch laptop (2.1 ghz intel core 2 duo mobile, 2 gb sdram, 120gb hdd, mac os x 10.7 lion), white,apple computer,mb403b/a",apple, intel core 2 duo mobile,2.1,intel,mac os x 10.7 lion,2 gb,integrated_graphics,120 gb,13.3,,,5.1
68,"2008 macbook pro 15.4 inch 2.6 ghz mb134ll/a,apple computer,mb133b/a",apple, intel core 2 duo,2.6,intel,mac os x,2 gb,geforce gt 8600m,250 gb,15.4,,,5.4
69,"apple macbook pro mb076ll/a 17-inch laptop (2.4 ghz intel core 2 duo, glossy display, 2 gb ram, 160 gb hard drive, dvd/cd superdrive),apple computer,mb076ll/a",apple, intel core 2 duo,2.4,intel,apple mac os x 10.5,2 gb,geforce gt,160 gb,16,1680,1050,9.4
70,"thinkpad x300 notebook 1.2ghz 13.3"" widescreen,lenovo",,,,,,,,,,,,
71,"lenovo thinkpad r61i core 2 duo t2370 1gb/80gb,lenovo,7650dhu",lenovo,,,intel,windows_xp,1 gb,integrated_graphics,80 gb,15.4,1280,800,11
72,"apple macbook pro mc723ll/a 15.4-inch laptop (old version),apple computer,mc723ll/a,mc723ll/a",apple, intel core i7,2.2,intel core i7,mac os x v10.7 lion,4 gb,amd radeon hd 6750m,750 gb,15.4,1440,900,5.6
73,"apple macbook pro mb471ll/a 15.4-inch laptop (2.53 ghz intel core 2 duo processor, 4 gb ram, 320 gb hard drive, slot loading superdrive),apple computer,mb471ll/a",apple, intel core 2 duo,2.53,intel,apple mac os x 10.13,4 gb,nvidia geforce 9600m gt,320 gb,15.4,1440,900,5.5
74,"dell inspiron 6400 laptop (wide screen, intel pentium dual-core processor t20,v7-batteries,del-6400v7",v7-batteries,,,intel,windows_xp,,ati mobility radeon x1300,80 gb,15.6,,,1.2
75,"dell inspiron 1525 pink laptop (15.4"" wide screen with true life, intel core 2 duo t5450 at 1.66ghz, 2gb ram, 120gb hard drive, 8x dvd +/- rw w/dbl layer write capability, windows vista premium),dell computers",dell computers,,,,windows vista;,2 gb,,120 gb,15.4,,,
76,"dell inspiron 1720 17"" widescreen notebook, 2.0ghz intel core 2 duo, wifi, 4gb ram, 320gb, cdrw/dvdrw+dl, webcam, bluetooth, windows vista home premium,dell computers,1720",dell, intel core 2 duo,2,intel,microsoft windows vista home premium,4 gb,integrated_graphics,320 gb,17,,,7.7
77,"dell inspiron mini 10 notebook,dell computers,mini 10",dell, intel atom,1.6,intel,windows xp home,1 gb,intel gma 500,160 gb,14,,,1.9
78,"toshiba a215-s5837 satellite 15.4"" widescreen laptop, amd athlon,toshiba,por-307470100000001",toshiba,,,amd,,2 gb,radeon x1200,160 gb,,,,
