ID,Title,Brand,Processor Name,Processor Speed (GHz),Processor Brand,Operating System,RAM,Graphics Card,Storage (GB),Screen Size (inch),Screen Resolution - Height,Screen Resolution - Width,Weight (lb)
163,hp pavilion m6-1148ca ,hp, amd a8-4500m,1.9,amd, microsoft windows 8, 8 gb, amd radeon hd 7640g,750 gb,15.6,1366,768,5.29
164,averatec 6200 series,averatec,,1.8,, ms windows xp home, 512 mb, sis 741,60 gb,15.4,,,6
165,fujitsu lifebook s2020,fujitsu,,1.6,, ms windows xp professional,, amd radeon 9200,60 gb,13.3,,,4.31
166,lenovo thinkpad 8,lenovo,,1.46,, microsoft windows 8.1 pro, 2 gb, intel hd graphics,64 gb,8.3,,,14.2
167,lenovo thinkstation c30,lenovo, intel xeon e5-2620,2,intel, microsoft windows 7 professional, 16 gb, nvidia quadro 5000,500 gb,,,,
168,acer aspire g7700-uq9550a predator,acer, intel core 2 quad q9550,2.83,intel, microsoft windows vista home premium, 8 gb, nvidia geforce 9800gtx,1920 gb,,,,
169,polywell poly itx-9400b,polywell, intel atom n230,1.6,intel, microsoft windows vista home premium, 4 gb, nvidia ion/geforce 9400,320 gb,,,,
170,asus k53e-b1 ,asus, intel core i5-2520m,2.5,intel, microsoft windows 7 home premium, 6 gb, intel hd graphics 3000,640 gb,15.6,1366,768,5.8
171,everex stepnote nc1500,everex, via c7m ulv,1.5,via, ms windows xp home, 512 mb, via s3g unichrome pro,60 gb,15.4,,,5.3
172,fujitsu lifebook q2010,fujitsu, intel core solo u1400,1.2,intel, ms windows xp professional, 1 gb, intel gma 950,80 gb,12.1,,,2.2
173,micronpc millennia max xs,micronpc,,,,, 256 mb, nvidia geforce3,40 gb,19,,,
174,hy-tek tek panel 300,hy-tek,,,,, 512 mb,,250 gb,30,,,
175,hp mini 110 (1030us),hp, intel atom n270,1.6,intel," ms windows xp home, ms windows xp home", 1 gb, intel gma 950,160 gb,10.1,,,2.6
176,asus w1n,asus,,1.7,, ms windows xp professional, 768 mb,,80 gb,15.4,,,7
177,asus u30jc-a1,asus, intel core i3 350m,2.27,intel, microsoft windows 7 home premium, 4 gb, nvidia geforce 310m,320 gb,13.3,,,4.7
178,microsoft surface 3,microsoft, intel atom x7-z8700,1.6,intel," microsoft windows 8.1, windows 8.1"," 4 gb, 4 gb"," intel hd graphics, intel hd graphics",128 gb,10.8,1920,1280,1.37
179,gateway dx442xp,gateway, intel core 2 quad q6600,2.4,intel, ms windows xp professional, 3 gb, intel gma 3000,500 gb,,,,
180,dell inspiron 8200,dell,,2.2,,,, amd mobility radeon 9000,60 gb,15,,,
181,dell xps 400,dell, intel pentium d 840,3.2,intel, ms windows xp media center edition 2005, 1 gb, nvidia geforce 6800,320 gb,20,,,
182,lenovo ideapad y650,lenovo, intel core 2 duo p8600,2.4,intel, microsoft windows vista home premium, 3 gb, intel gma x4500hd,320 gb,16,,,5.5
183,best buy introduces designer pc,best,,,, microsoft windows xp home, 512 mb,,160 gb,,,,
184,acer aspire atc-605-ub11,acer, intel core i5-4440,3.1,intel, windows 8.1, 8 gb, intel hd graphics 4600,1000 gb,,,,
185,lenovo edge 15,lenovo, intel core i5-4210u,1.7,intel, windows 8.1, 6 gb, intel hd graphics 4400,1 tb,15.6,1920,1080,5.2
186,apple macbook air (nvidia 9400m gt),apple, intel core 2 duo sl9300,1.6,intel, mac os x 10.5, 2 gb, nvidia geforce 9400m gt,120 gb,13.3,,,2.9
187,voodoo epic htpc m:112i,voodoo,,1.6,, ms windows xp media center edition 2005, 1 gb, nvidia geforce 6800,400 gb,,,,
188,lenovo lavie z 360,lenovo, intel core i7-5500u,2.4,intel, windows 8.1," 8 gb, 8 gb"," intel hd graphics 5500, intel hd graphics 5500",256 gb,13.3,2560,1440,2.04
189,dell dimension 4550,dell,,,,, 256 mb,,40 gb,17,,,
190,hp z840 workstation,hp, intel xeon e5-2667 v3,3.2,intel, windows 8.1 pro, 32 gb, nvidia quadro k4200,512 gb,,,,
191,"gateway performance 1000, select 1100",gateway,,,,,,,,,,,
192,emachines etower 633irx,emachines,,,,,,,5 gb,,,,
193,velocity micro edge z30,velocity, intel core i7-860,2.8,intel, microsoft windows vista home premium, 8 gb, nvidia geforce gtx 260,1000 gb,,,,
194,gateway mc7803u,gateway, intel core 2 duo t5800,2,intel, microsoft windows vista home premium, 4 gb, amd mobility radeon hd 3650,320 gb,16,,,7.7
195,acer c720 chromebook (c720-3404),acer, intel core i3-4005u,1.7,intel, google chrome os, 4 gb, intel hd graphics 4400,32 gb,11.6,1280,1024,2.57
196,barnes & noble nook hd,barnes,,1.3,, google android 4.0 (ice cream sandwich), 1 gb, img powervr sgx544,8 gb,7,,,11.1
197,dell xps 12 (2012),dell, intel core i5-3317u,1.9,intel, microsoft windows 8," 8 gb, 8 gb"," intel hd graphics 4000, intel hd graphics 4000",256 gb,12.5,1920,1080,3.3
198,thunderbird has landed,thunderbird,,,,, 128 mb,,41 gb,17,,,
199,toshiba portégé m400-s4032,toshiba, intel core duo t2400,1.83,intel, ms windows xp tablet pc edition, 1 gb, intel gma 950,100 gb,12.1,,,4.7
200,pc club enpower edge,pc,,,, microsoft windows xp professional, 1 gb, nvidia geforce 6800,398 gb,19,1280,1024,
201,hp z420,hp, intel xeon e5-1620,3.6,intel, microsoft windows 7 professional, 16 gb,,1250 gb,,,,
202,sony vaio vgn-fs570,sony, intel pentium m 740,1.73,intel, ms windows xp home, 1 gb, intel gma 900 gm,100 gb,15.4,,,6.2
203,acer iconia tab a100 (wi-fi),acer,,1,, google android 3.0 or higher,,,16 gb,7,,,13.9
204,sony vaio digital studio pcv-rx490tv,sony,,,,, 128 mb,,80 gb,,,,
205,toshiba satellite p755-s5320,toshiba, intel core i3-2330m,2.2,intel, microsoft windows 7 home premium, 6 gb, intel hd graphics 2000,640 gb,15.6,1366,768,5.42
206,lenovo thinkstation c20,lenovo, intel xeon e5640,2.66,intel, microsoft windows 7 professional, 4 gb, nvidia quadro fx 1800,500 gb,,,,
207,dell studio 15,dell, intel core 2 duo t9300,2.5,intel, microsoft windows vista home premium, 2 gb, amd radeon hd 3450,250 gb,15.4,,,5.9
208,logitech logi blok protective keyboard case for ipad air 2,logitech,,,,,,,,,,,
209,hp pavilion p6140f,hp, intel core 2 quad q8200,2.33,intel, microsoft windows vista home premium, 8 gb, intel gma 3100,1000 gb,,,,
210,sharp m4000 widenote,sharp, intel pentium m 740,1.73,intel, ms windows xp professional, 512 mb, intel gma 900 gm,80 gb,13.3,,,3.7
211,dell vostro 470,dell, intel core i7-3770,3.4,intel, microsoft windows 7 professional, 8 gb, amd radeon hd 7570m,1000 gb,,,,
212,intel classmate pc,intel, intel celeron m 353,900,intel, ms windows xp professional, 512 mb, intel gma 900 gm,2 gb,7,,,3.2
213,logitech type+ for ipad air 2,logitech,,,,,,,,,,,
214,gateway solo 5300 xl,gateway,,,,, 128 mb,,30 gb,14.1,,,
215,ibm thinkpad r50e,ibm,,1.3,, ms windows xp home,,,20 gb,14.1,,,5.5
216,gateway m285-e,gateway, intel core duo t2500,2,intel, ms windows xp tablet pc edition, 512 mb, amd mobility radeon x1400,80 gb,14.1,,,7.3
217,hp pavilion hpe h9 phoenix (h9-1100z),hp, amd fx-8100,2.8,amd, microsoft windows 7 home premium, 8 gb, nvidia geforce gtx 550ti,1000 gb,,,,
218,microsoft surface 2 (32gb),microsoft,,1.7,, microsoft windows rt 8.1, 2 gb,,32 gb,10.6,,,1.49
219,toshiba thrive (wi-fi),toshiba,,1,, google android 3.0 or higher,,,32 gb,10.1,,,1.6
220,polywell minibox2 939np-mce,polywell, amd athlon 64 x2 3800+,2,amd, ms windows xp media center edition 2005, 1 gb, nvidia geforce 6150,500 gb,19,,,
221,lenovo 3000 j105,lenovo, amd athlon 64 3200+,2.2,amd, microsoft windows xp professional, 512 mb, via s3 unichrome,80 gb,,,,
222,asus eee slate b121,asus, intel core i5-470um,1.33,intel, microsoft windows 7 professional," 2 gb, 2 gb"," intel gma hd 600, intel gma hd 600",64 gb,12.1,1280,800,2.56
223,hp firebird with voodoodna 803,hp, intel core 2 quad q9550,2.83,intel, microsoft windows vista home premium, 4 gb, nvidia geforce 9800s sli,640 gb,,,,
224,gateway fx400mc,gateway, intel pentium d 830,3,intel, ms windows xp media center edition 2005, 1 gb, nvidia geforce 6800 ultra,500 gb,19,,,
225,lenovo thinkpad x60s,lenovo, intel core duo l2400,1.66,intel, ms windows xp professional, 512 mb, intel gma 950,80 gb,12.1,,,3.5
226,winbook powerspec 8436,winbook, amd sempron 3000+,2,amd, microsoft windows xp home, 512 mb, via s3 unichrome,80 gb,17,,,
227,apple macbook pro 17-inch,apple, intel core duo t2600,2.16,intel, mac os x, 2 gb, amd radeon x1600,100 gb,17,,,6.8
228,dell xps m1710 (intel core 2 duo),dell, intel core 2 duo t7600,2.33,intel, ms windows xp media center, 2 gb, nvidia geforce go 7900gtx,100 gb,17,,,8.8
229,dell inspiron 15r-1847mrb ,dell, intel core i3-380m,2.53,intel, microsoft windows 7 home premium, 4 gb, intel gma hd,640 gb,15.6,1366,768,5.7
230,the envy of mobile gamers,the,,2.6,,,, amd radeon 9600,60 gb,,,,
231,hp pavilion elite h8-1010,hp, intel core i5-2390t,2.7,intel, microsoft windows 7 home premium, 8 gb, amd radeon hd 6450,1000 gb,,,,
232,dell optiplex 990,dell, intel core i7-2600,3.4,intel, microsoft windows 7 professional, 8 gb, amd radeon hd 6450,500 gb,,,,
233,ibuypower gamer extreme,ibuypower,,,,,, amd radeon 9800,120 gb,19,1280,1024,
234,polywell p3503,polywell, intel core 2 extreme qx6850,3,intel, microsoft windows vista home premium, 4 gb, nvidia geforce 8800 ultra,1148 gb,24,,,
235,samsung p560-54g,samsung, intel core 2 duo t5800,2,intel, microsoft windows vista business, 3 gb, nvidia geforce 9600m gs,320 gb,15.4,,,5.9
236,acer veriton vn281g-ua425w,acer, intel atom d425,1.8,intel,, 2 gb, intel gma 3150,8 gb,,,,
237,lenovo ideacentre k330-11691au,lenovo, intel core i3-2100,3.1,intel, microsoft windows 7 home premium, 8 gb, intel hd graphics 2000,1000 gb,,,,
238,hp slatebook x2,hp,,1.8,, google android 4.2.2, 2 gb,,64 gb,10.1,,,2.8
239,winbook n4,winbook,,1.8,,, 256 mb,,38 gb,14.1,,,
240,apple macbook pro 13-inch (core 2 duo 2.4ghz),apple, intel core 2 duo p8600,2.4,intel, mac os x 10.6, 4 gb, nvidia geforce 320m,250 gb,13.3,,,4.5
241,voodoo f1 liquid,voodoo,,,,,,,72 gb,22,,,
242,apple imac,apple, powerpc g4,,powerpc,, 512 mb, nvidia geforce4 mx,80 gb,17,,,
243,ibuypower media-xp,ibuypower,,,, ms windows xp media center edition, 1 gb, nvidia geforce 6600,250 gb,19,1280,1024,
244,gateway media center pc with plasma tv,gateway,,,, ms windows xp media center edition, 256 mb, nvidia geforce4 mx440,60 gb,42,,,
245,dell poweredge 750,dell,,,," windows server 2003, windows server 2003", 1 gb,,72 gb,,,,
