Title,Price,Currency,Sold by Newegg,Rating,Brand,Model,Color,CPU Type,CPU Speed,Number of Cores,Screen Size,Resolution,Touchscreen,Operating System,GPU/VPU,Graphic Type,SSD,HDD,Memory,Battery,Battery Life,Dimensions (W x D x H),Weight
"Toshiba Portege Z30-A1301 13.3"" LED Ultrabook - Intel Core i5 i5-4300U 1.90 GHz - Cosmo Silver -",1899.95,USD,no,,TOSHIBA,Z30-A1301 (PT241U-00V005),,Intel Core i5 4th Gen,4300U (1.90 GHz),Dual-core Processor,"13.3""",1366 x 768,,Windows 7 Professional,Intel HD Graphics 4400,Integrated Card,128 GB,,8GB DDR3L,,Up to 12.3 Hour(s),,
"Dell Latitude Intel Core i3  i3-3217U 1.80 GHz 4GB 128GB SSD 14"" LED Ultrabook Black- Windows 7 Pro (6430U) -",1399.95,USD,no,,DELL,6430u (469-3883),,Intel Core i3 3rd Gen,3217U (1.80 GHz),,"14""",1366 x 768,No,Windows 7 Professional 64-Bit,Intel HD Graphics 4000,Integrated Card,128 GB,,4 GB DDR3,3-cell lithium ion,,,
"Lenovo ThinkPad X1 Carbon 3444CUU 14"" LED Ultrabook - Intel - Core i7 i7-3667U 2GHz - Black -",2199.95,USD,no,,Lenovo,3444-CUU,,,,,,,,,,,,,,,,,
"Lenovo IdeaPad U310 43752CU 13.3"" Ultrabook -",899.95,USD,no,3,Lenovo,U310 (43752CU),Graphite Gray,Intel Core i3 3rd Gen,3217U (1.80 GHz),,"13.3""",1366 x 768,,Windows 7 Home Premium 64-Bit,Intel HD Graphics 4000,Integrated Card,32 GB,500 GB,4 GB DDR3,3 cell Li-Polymer battery,Up to 6 hours,"13.1"" x 8.8"" x 0.71""",3.7 lbs.
"Refurbished: SAMSUNG 11.6"" XE700T1C-A03USR Intel Core i5 3rd Gen 3317U (1.70 GHz) Intel HD Graphics 4000 4 GB Memory 128 GB SSD Windows 8 Ultrabook -",1199.95,USD,no,,SAMSUNG,XE700T1C-A03USR,,Intel Core i5 3rd Gen,3317U (1.70 GHz),,"11.6""",1920 x 1080,Yes,Windows 8,Intel HD Graphics 4000,Integrated Card,128 GB,,4 GB DDR3,4-cell lithium ion,,,
"Toshiba Satellite U845W-S4180 14.4"" LED Ultrabook - Intel Core i7 i7-3537U 2 GHz - Midnight Silver Aluminum -",1349.95,USD,no,,TOSHIBA,PSU5XU-010004,Midnight Silver Aluminum,Intel Core i7,2.00 GHz,,,1792 x 768,No,Genuine Windows 8,HD 4000,,,,6 GB,4-cell lithium ion,5.33 Hour,,4.00 lb
"HP 14"" 9470m Intel Core i5 3rd Gen 3427U (1.80 GHz) Intel HD Graphics 4000 4 GB Memory 180 GB SSD Windows 7 Professional 64-bit Notebook -",2999.95,USD,no,,HP,9470m,Platinum,Intel Core i5 3rd Gen,3427U (1.80 GHz),,"14""",1366 x 768,,Windows 7 Professional 64-bit,Intel HD Graphics 4000,Integrated Card,180 GB,,4 GB DDR3,HP 4-cell 52 WH Li-Ion Battery,9.50 Hour,,3.60 lbs.
"ThinkPad 14"" X1 Carbon (3444CWU) Intel Core i5 3rd Gen 3427U (1.80 GHz) Intel HD Graphics 4000 4 GB Memory 180 GB SSD Windows 8 Pro Ultrabook -",1999.95,USD,no,5,ThinkPad,X1 Carbon (3444CWU),Black,Intel Core i5 3rd Gen,3427U (1.80 GHz),,"14""",1600 x 900,Yes,Windows 8 Pro,Intel HD Graphics 4000,Integrated Card,180 GB,,4 GB DDR3,4-cell lithium ion,,"13.0"" x 8.9"" x 0.31""-0.74""",3.0 lb
"DELL 12.5"" 462-1216 Intel Core i5 4th Gen 4300U (1.90 GHz) Intel HD Graphics 4000 4 GB Memory 128 GB SSD Win 7 Pro 64-bit w/ W8P License Ultrabook -",1899.95,USD,no,,DELL,462-1216,,Intel Core i5 4th Gen,4300U (1.90 GHz),,"12.5""",1366 x 768,,Win 7 Pro 64-bit w/ W8P License,Intel HD Graphics 4000,Integrated Card,128 GB,,4 GB DDR3,4-cell lithium ion,,"13.78"" x 1.28"" x 9.45""",4.50 lbs.
"Refurbished: VIZIO 14"" CT14-A0 Intel Core i3 3rd Gen 3217U (1.80 GHz) Intel HD Graphics 4000 4 GB Memory 128 GB SSD Windows 7 Home Premium Ultrabook -",649.95,USD,no,3,VIZIO,CT14-A0,Silver,Intel Core i3 3rd Gen,3217U (1.80 GHz),,"14""",1600 x 900,,Windows 7 Home Premium,Intel HD Graphics 4000,Integrated Card,128 GB,,4 GB DDR3,,Up to 7 hours,"13.3"" x 9.2"" x 0.67""",3.39 lbs.
"Lenovo IdeaPad U510 Intel Core i5 3317U (1.70GHz) 8GB RAM 750GB HDD + 24GB SSD DVDRW  15.6"" Ultrabook Windows 8 64-Bit (59347423)",1049.95,USD,no,3,Lenovo,U510 (59347423),Graphite Gray,Intel Core i5 3rd Gen,3317U (1.70 GHz),,"15.6""",1366 x 768,No,Windows 8 64-Bit,Intel HD Graphics 4000,Integrated Card,24 GB,750 GB,8 GB DDR3,Lithium Polymer,Up to 6 hours.,"15.04"" x 9.84"" x 0.83""",4.85 lbs.
"ThinkPad YOGA 2-in-1 Ultrabook -  Intel Core i7 4500U (1.80GHz) 8GB RAM 256GB SSD 12.5"" Full HD Touchscreen Windows 8.1 (20CD0033US)",1999.95,USD,no,3,ThinkPad,20CD0033US,,Intel Core i7 4th Gen,4500U (1.80 GHz),,"12.5""",1920 x 1080,Yes,Windows 8.1,Intel HD Graphics 4400,Integrated Card,256 GB,,8 GB DDR3,,Up to 8 hours,,3.96 lbs.
"ThinkPad 11.6"" 36984UU Intel Core i7 3rd Gen 3667U (2.00 GHz) Intel HD Graphics 4000 8 GB Memory 256 GB SSD Windows 8 Pro 64-bit Ultrabook w/WWAN Ready -",2599.95,USD,no,,ThinkPad,36984UU,Black,Intel Core i7 3rd Gen,3667U (2.00 GHz),,"11.6""",1920 x 1080,Yes,Windows 8 Pro 64-bit,Intel HD Graphics 4000,Integrated Card,256 GB,,8 GB DDR3,Tablet3-cell Lithium Polymer 42 watt hourEnhanced Keyboard Dock4-cell lithium polymer 28 watt hour,TabletUp to 6 hour(s)ClamshellUp to 10 hour(s)Tablets+Up to 10 hour(s),"Tablet : 11.65"" x 7.34"" x 0.45"" (W x D x H)Clamshell : 11.7"" x 7.4"" x 0.8"" (W x D x H)",Tablet835g (1.84lbs)Clamshell1.7kgs (3.75lbs)
"Toshiba Satellite Intel Core i5 4GB 128GB SSD 12.5"" touchscreen 2-in-1 Ultrabook/Tablet (U925T-S2120) - Brown -",1099.95,USD,no,3,TOSHIBA,U925t-S2120,Midnight Brown in Soft Touch Body,Intel Core i5 3rd Gen,3337U (1.80 GHz),,"12.5""",1366 x 768,Yes,Windows 8,Intel HD Graphics 4000,Integrated Card,128 GB,,4 GB DDR3,3 cell/38Wh Lithium Polymer battery pack (not user replaceable),Up to 4 hours,"12.9"" x 8.4"" x 0.78""",3.35 lbs.
"Samsung Ativ Book 9 Lite NP905S3G 13.3"" LED Ultrabook - 1.40 GHz - Ash Black -",1149.95,USD,no,,SAMSUNG,NP905S3GK02US,,,,,,,,,,,,,,,,,
Lenovo Flex 15 (59408955) Intel Core i5 4th Gen 4200U (1.60 GHz) Intel HD Graphics 4400 8 GB Memory 16 GB SSD 1 TB HDD Windows 8.1 2-in-1 Notebook -,999.95,USD,no,,Lenovo,Flex 15 (59408955),Black with Grey Ring,Intel Core i5 4th Gen,4200U (1.60 GHz),,,1366 x 768,Yes,Windows 8.1,Intel HD Graphics 4400,Integrated Card,16 GB,1 TB,8 GB DDR3,4-cell lithium ion,Up to 5 hours,"15.0"" x 10.7"" x 0.87""",5.1 lbs.
Acer C7 Chromebook C710-2847 11.6-inch WiFi  – Iron Gray -,449.95,USD,no,4,Acer,C710-2847,Iron Gray,Intel Celeron,847 (1.1 GHz),,"11.6""",1366 x 768,,Chrome OS,Intel HD Graphics,Integrated Card,,320 GB,2 GB DDR3,4-Cell Lithium-Ion (2500 mAh),Up to 4 hours,"11.22"" x 7.95"" x 0.82""-10.9""",3.05 lbs.
"Apple MD224LL/A 1.7 GHz 11.6"" 128GB MacBook Air (New 2012 Model) -",1299.95,USD,no,5,Apple,MD224LL/A,,Intel Core i5,1.70 GHz,,"11.6""",1366 x 768,,Mac OS X v10.7 Lion,Intel HD Graphics 4000,Integrated Card,,128GB flash storage,4 GB DDR3,Built-in 35-watt-hour lithium-polymer battery,Up to 5 hours wireless webUp to 30 days standby time,"11.8"" x 7.56"" x 0.11""-0.68""",2.38 lbs.
