Title,Price,Currency,Sold by Newegg,Rating,Brand,Model,Color,CPU Type,CPU Speed,Number of Cores,Screen Size,Resolution,Touchscreen,Operating System,GPU/VPU,Graphic Type,SSD,HDD,Memory,Battery,Battery Life,Dimensions (W x D x H),Weight
"Acer TravelMate P645-S TMP645-S-753L 14"" LED (ComfyView) Notebook - Intel Core i7 (5th Gen) i7-5500U Dual-core (2 Core)",1037.76,USD,no,,Acer America,NX.VATAA.006,,,,,"15.6""",,,,,,,,,,,,6
"HP 17-y000 17-y010nr 17.3"" Notebook - AMD A-Series A8-7410 Quad-core (4 Core) 2.20 GHz -",442.85,USD,yes,,HP,,,A-Series,2.20 GHz,,"17.3""",1600 x 900,,Windows 10 Home,Radeon R5 Graphics,,,500 GB,4 GB,3-cell lithium ion,,,
"HP Elite x2 1012 G1 (W0S22UT#ABA) Tablet with Travel Keyboard Intel Core M5 6Y54 (1.10 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 515 12.0"" Touchscreen 1920 x 1280 Windows 10 Pro 64-Bit",1429.99,USD,yes,,HP,1012 G1 (W0S22UT#ABA),,Intel Core M5,6Y54 (1.10 GHz),Dual-core Processor,"12""",1920 x 1280,Yes,Windows 10 Pro 64-Bit,Intel HD Graphics 515,Integrated Card,256 GB,,8 GB,,,,
"Acer Predator 17 G9-791-78CE 17.3"" LED (In-plane Switching (IPS) Technology) Notebook - Intel Core i7 i7-6700HQ Quad-co",2032.23,USD,no,,Acer America,NX.Q02AA.001,,,,,"15.6""",,,,,,,,,,,,17.29
"HP Elite x2 1012 G1 12"" Touchscreen (In-plane Switching (IPS) Technology, BrightView) 2 in 1 Notebook - Intel Core M (6th Gen) m5-6Y54 Dual-core (2 Core) 1.10 GHz - Hybrid -",1293.99,USD,yes,,HP,,,Core M,1.10 GHz,,,1920 x 1280,,Windows 10 Pro,HD Graphics 515,,,,8 GB,4-cell lithium ion,10.25 Hour,,2.65 lb
"HP Laptop ProBook 640 G2 (V1H09UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade -",904.82,USD,yes,,HP,640 G2 (V1H09UT#ABA),,Intel Core i5 6th Gen,6200U (2.30 GHz),Dual-core Processor,"14.0""",1920 x 1080,No,Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade,Intel HD Graphics 520,Integrated Card,256 GB,,8 GB DDR4,"HP Long Life 3-cell, 48 Wh Li-ion prismatic",10.25 Hour,"13.39"" x 9.33"" x 1.06""",4.30 lbs.
"HP 13 G1 (W0T00UT#ABA) Chromebook Intel Core M3 6Y30 (0.90 GHz) 4 GB Memory 32 GB eMMC Intel HD Graphics 515 13.3"" 3200 x 1800 Chrome OS -",558.99,USD,no,,HP,13 G1 (W0T00UT#ABA),,Intel Core M3,6Y30 (0.90 GHz),Dual-core Processor,"13.3""",3200 x 1800,,Chrome OS,Intel HD Graphics 515,Integrated Card,32 GB eMMC,,4 GB LPDDR3,"3-cell, 45 Wh Li-ion polymer",,"12.59"" x 8.64"" x 0.50""",2.86 lbs.
"Acer Aspire Switch Alpha 12 SA5-271P-74E1 12"" Touchscreen LED (In-plane Switching (IPS) Technology) 2 in 1 Notebook - Intel Core i7 (6th Gen) i7-6500U Dual-core (2 Core) 2.50 GHz - Hybrid -",1019.99,USD,yes,,Acer,,,Intel Core i7 6th Gen,2.50 GHz,,,2160 x 1440,,Windows 10 Pro,,,,,8 GB,2-cell,8 Hour,,2.76 lb
"HP ProBook 440 G3 14"" Notebook - Intel Core i5 (6th Gen) i5-6200U Dual-core (2 Core) 2.30 GHz - Gravity Black",633.99,USD,yes,,Hewlett-Packard,W0S53UT#ABA,Black,Intel Core i5 6th Gen,2.3 GHz,,"14.0""",1366 x 768,No,Windows 7 Professional Windows 7 Professional Upgradable to Windows 10 Pro (English),HD Graphics 520,Intel,,500 GB,4 GB,4-cell,10 Hour,,5.8
"HP Chromebook 13 G1 13.3"" (BrightView, In-plane Switching (IPS) Technology) Chromebook - Intel Core M (6th Gen) m7-6Y75 Chrome OS -",995.49,USD,no,,Hewlett-Packard,W0T02UT#ABA,,,,,"13.3""",,,Chrome OS,,,,,,,,,4.92
"ASUS Laptop E402SA-DS01-BL Intel Celeron N3050 (1.60 GHz) 2 GB Memory 32 GB SSD Intel HD Graphics 14.0"" Windows 10 Home 64-Bit -",231.34,USD,no,5,ASUS,E402SA-DS01-BL,Dark Blue,Intel Celeron,N3050 (1.60 GHz),Dual-core Processor,"14.0""",1366 x 768,No,Windows 10 Home 64-Bit,Intel HD Graphics,Integrated Card,32 GB,,2 GB DDR3,,Up to 6 Hour(s),,
"HP 13 G1 (W0S99UT#ABA) Chromebook Intel Pentium 4405Y (1.50 GHz) 4 GB Memory 32 GB eMMC Intel HD Graphics 515 13.3"" 3200 x 1800 Chrome OS",495.78,USD,yes,,HP,13 G1 (W0S99UT#ABA),,Intel Pentium,4405Y (1.50 GHz),Dual-core Processor,"13.3""",3200 x 1800,,Chrome OS,Intel HD Graphics 515,Integrated Card,32 GB eMMC,,4 GB LPDDR3,3-cell battery,,"12.59"" x 8.64"" x 0.50""",2.84 lbs.
"HP 13 G1 (W0T01UT#ABA) Chromebook Intel Core M5 6Y57 (1.10 GHz)  8 GB Memory 32 GB eMMC Intel HD Graphics 515 13.3"" 3200 x 1800 Chrome OS",800.99,USD,yes,,HP,13 G1 (W0T01UT#ABA),,Intel Core M5,6Y57 (1.10 GHz),Dual-core Processor,"13.3""",3200 x 1800,,Chrome OS,Intel HD Graphics 515,Integrated Card,32 GB eMMC,,8 GB LPDDR3,"3-cell, 45 Wh Li-ion polymer",,"12.59"" x 8.64"" x 0.50""",2.86 lbs.
"HP Chromebook Intel Celeron N3060 (1.60 GHz) 2 GB Memory 16 GB SSD 11.6"" Chrome OS",169.99,USD,yes,,HP,X9U01UT#ABA,Black,Intel Celeron,N3060 (1.60 GHz),,"11.6""",1366 x 768,,Chrome OS,Intel HD Graphics,,16 GB,,2 GB DDR3L,2-cell lithium ion,12.50 Hour,,2.51 lb
"HP 12"" 1012 G1 (W0R60UT#ABA) Intel Core M7 6Y75 (1.20 GHz) Intel HD Graphics 515 8 GB Memory 256 GB SSD Windows 10 Pro 64-Bit Tablet with Travel Keyboard -",1719.99,USD,yes,,HP,1012 G1 (W0R60UT#ABA),,Intel Core M7,6Y75 (1.20 GHz),Dual-core Processor,"12""",1920 x 1280,Yes,Windows 10 Pro 64-Bit,Intel HD Graphics 515,Integrated Card,256 GB,,8 GB,4-cell lithium ion,,,
"Lenovo ThinkPad Yoga 460 20EM001QUS 14"" (In-plane Switching (IPS) Technology) 2 in 1 Ultrabook - Intel Core i5 (6th Gen) i5-6200U Dual-core (2 Core) 2.30 GHz -",1183.25,USD,no,,Lenovo,,,Intel Core i5,2.3 GHz,,"14.0""",1920 x 1080,,Windows 10 Pro,HD Graphics 520,,,,4 GB,,,,
HP SB 15 I7-6820HQ 15.6 16GB/256 PC,2185.97,USD,yes,,Hewlett-Packard,X9U00UT#ABA,,,,,"15.6""",,,,,,,,,,,,8.7
"HP ProBook 455 AMD A-Series A10-8700P Quad-Core 16GB 1TB G3 15.6"" LED Notebook + Microsoft Office 365",429.0,USD,no,,HP,W4E07UT#ABA+QQ2-0059,,AMD A10-Series,1.80 GHz,,"15.6""",1360 x 768,No,Windows 10 Home,,Integrated Card,,1 TB,16 GB,,,3.1 x 20.1 x 12 in,4.7 pounds
"ThinkPad X1 Yoga (1st Gen) 20FQ0033US 2-in-1 Laptop Intel Core i5 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14"" Touchscreen 1920 x 1080 Windows 10 Pro 64-Bit",1562.11,USD,no,,ThinkPad,20FQ0033US,,Intel Core i5,6300U (2.40 GHz),Dual-core Processor,"14""",1920 x 1080,Yes,Windows 10 Pro 64-Bit,Intel HD Graphics 520,Integrated Card,256 GB,,8 GB LPDDR3,4-cell (52 Wh),,"13.11"" x 9.02"" x 0.66""",3.00 lbs.
"Lenovo ThinkPad X260 20F6006HUS 12.5"" Ultrabook - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40 GHz - Black -",1219.26,USD,no,,Lenovo,20F6006HUS,Black,Intel Core i5,2.40 GHz,,"12.5""",1366 x 768,,Windows 7 Professional,HD Graphics 520,,,,8 GB,3-cell lithium ion,,,3.57 lb
"MSI 17.3"" GL72 6QF-696 Intel Core i5 6th Gen 6300HQ (2.30 GHz) NVIDIA GeForce GTX 960M 32 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -",1091.81,USD,no,,MSI,GL72 6QF-696,Black,Intel Core i5 6th Gen,6300HQ (2.30 GHz),Quad-core Processor,"17.3""",1920 x 1080,No,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 960M,Dedicated Card,256 GB,1 TB,32 GB DDR4,6-cell battery,,"16.45"" x 10.60"" x 1.53""",5.95 lbs.
"HP Laptop ProBook 450 G3 (W0R57UT#ABA) Intel Core i7 6th Gen 6500U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6"" Windows 7 Professional 64-Bit (Windows 10 Pro Downgrade) -",852.66,USD,yes,,HP,450 G3 (W0R57UT#ABA),Black,Intel Core i7 6th Gen,6500U (2.50 GHz),Dual-core Processor,"15.6""",1920 x 1080,No,Windows 7 Professional 64-Bit (available through downgrade rights from Windows 10 Pro),Intel HD Graphics 520,Integrated Card,256 GB,,8 GB DDR4,"4-cell, 44 WHr Li-ion",,"14.88"" x 10.41"" x 0.94""-0.98""",4.56 lbs.
"HP Laptop ProBook 650 G2 (W0S36UT#ABA) Intel Core i5 6th Gen 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 15.6"" Windows 10 Pro 64-Bit -",799.2,USD,no,,HP,650 G2 (W0S36UT#ABA),,Intel Core i5 6th Gen,6200U (2.30 GHz),Dual-core Processor,"15.6""",1366 x 768,No,Windows 10 Pro 64-Bit,Intel HD Graphics 520,Integrated Card,,500 GB,4 GB DDR4,"HP Long Life 3-cell, 48 Wh Li-ion prismatic",,"14.88"" x 10.11"" x 1.07""",5.10 lbs.
"Lenovo 80VJ0000US Chromebook Intel Celeron N3060 (1.60 GHz) 4 GB Memory 16 GB eMMC 14.0"" Touchscreen Chrome OS",274.99,USD,yes,3,Lenovo,80VJ0000US,,Intel Celeron,N3060 (1.60 GHz),Dual-core Processor,"14.0""",,Yes,Chrome OS,Intel HD Graphics 400,Integrated Card,16 GB eMMC,,4 GB,3-cell 45 WHr,,,4.85
"15.6"" Gaming Laptop -",1559.98,USD,no,,MSI,GE62VR Apache Pro-02,,,,,"15.6""",,,,,Integrated Card,,,,,,,
"ASUS Laptop Zenbook Intel Core i5 6200U (2.30 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 520 13.3"" FHD 1920 x 1080   Windows 10 Home 64-Bit",717.47,USD,yes,4,ASUS,UX310UA-RB52,Silver,Intel Core i5 6th Gen,6200U (2.30 GHz),Dual-core Processor,"13.3""",1920 x 1080,No,Windows 10 Home 64-Bit,Intel HD Graphics 520,Integrated Card,,1 TB,8 GB DDR4,"3-cell Li-ion Polymer Battery Pack, 48 WHrs",,"12.70"" x 8.80"" x 0.70""",1.00 lb.
"HP Pavilion X360 15-bk074nr (W2M13UA#ABA) Convertible Laptop Intel Core i5 6200U (2.30 GHz) 6 GB Memory 1 TB HDD 15.6"" Touchscreen 1366 x 768 Windows 10 Home",689.99,USD,yes,,HP,15-bk074nr (W2M13UA#ABA),Cardinal Red,Intel Core i5 6th Gen,6200U (2.30 GHz),Dual-core Processor,"15.6""",1366 x 768,Yes,Windows 10 Home,Intel HD Graphics 520,Integrated Card,,1 TB,6 GB DDR3L,3-cell lithium ion,,"15.00"" x 9.80"" x 0.90""",5.07 lbs.
TS S500z i5 4GB 500GB -,654.99,USD,no,,Lenovo,,Silver,,2.3 GHz,,"23.0""",1920 x 1080,No,Windows 10 Pro Windows 10 Pro (English),HD Graphics 520,Intel,500 GB,500 GB,4 GB,,,,14.77 lb
TS X1 Yoga 1st Gen 8G 51 -,1896.97,USD,no,,Lenovo,,,,2.50 GHz,,"15.6""",2560 x 1440,,Windows 10 Pro Windows 10 Pro (English),,,512 GB,,8 GB,,,,
"HP 15.6"" 15-bk076nr Intel Core i5 6th Gen 6200U (2.30 GHz) Intel HD Graphics 520 6 GB Memory 1 TB HDD Windows 10 Home 64-Bit Convertible Laptop",689.99,USD,yes,,HP,15-bk076nr,"Sport purple cover, ash silver keyboard frame",Intel Core i5 6th Gen,6200U (2.30 GHz),Dual-core Processor,"15.6""",1366 x 768,Yes,Windows 10 Home 64-Bit,Intel HD Graphics 520,Integrated Card,,1 TB,6 GB DDR3L,"3-cell, 48 Wh Li-ion",,"15.04"" x 9.84"" x 0.94""",5.05 lbs.
"DELL Laptop Latitude LATI3470765BLK Intel Core i3 6100U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 14.0"" Windows 7 Professional 64-Bit (Includes Windows 10 Pro License) -",498.31,USD,no,,DELL,LATI3470765BLK,,Intel Core i3 6th Gen,6100U (2.30 GHz),Dual-core Processor,"14.0""",1366 x 768,No,Windows 7 Professional 64-Bit (Includes Windows 10 Pro License),Intel HD Graphics 520,Integrated Card,No,500 GB,4 GB DDR3L,40 Whr 4-cell Li-Ion (Cylindrical) with ExpressCharge,,,6.5
"DELL Laptop Latitude E7270 (NXH27) Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 12.5"" Windows 10 Pro 64-Bit -",1401.47,USD,yes,,DELL,E7270 (NXH27),,Intel Core i5 6th Gen,6300U (2.40 GHz),Dual-core Processor,"12.5""",1366 x 768,No,Windows 10 Pro 64-Bit,Intel HD Graphics 520,Integrated Card,256 GB,,8 GB DDR4,4-cell lithium ion,,"12.20"" x 8.50"" x 0.70""",2.77 lbs.
"Lenovo ThinkPad P50 20EN0019US 15.6"" (In-plane Switching (IPS) Technology) Notebook - Intel Core i7 i7-6820HQ Quad-core (4 Core) 2.70 GHz -",2059.01,USD,no,,Lenovo,,,Intel Core i7,2.70 GHz,,"15.6""",1920 x 1080,No,Windows 7 Professional,Quadro M1000M,Integrated Card,512 GB,,16 GB,6-cell lithium ion,9.70 Hour,,5.90 lb
"HP X1X56UT Probook 11 G2 - Education Edition - Core I3 6100U / 2.3 Ghz - Win 10 Pro 64-Bit - 4 Gb Ram - 128 Gb Ssd - 11.6 Inch Touchscreen 1366 X 768 ( Hd ) - Hd Graphics 520 - Wi-Fi, Bluetooth",686.67,USD,yes,,,,,,,,,,,,,,,,,,,,
"DELL Laptop Latitude E7470 (X2CGN) Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 10 Pro 64-Bit -",1437.29,USD,yes,,DELL,E7470 (X2CGN),,Intel Core i5 6th Gen,6300U (2.40 GHz),Dual-core Processor,"14.0""",1920 x 1080,No,Windows 10 Pro 64-Bit,Intel HD Graphics 520,Integrated Card,256 GB,,8 GB DDR4,4-cell lithium ion,,"13.20"" x 9.10"" x 0.80""",
HEWLETT-PACKARD V1Q01UT#ABA ZBk3 17 i7 6700 1T 8G W7 10 -,1461.63,USD,no,,Hewlett-Packard,V1Q01UT#ABA,,Intel Core i7,2.60 GHz,,"15.6""",1600 x 900,,Windows 7 Professional Windows 7 Professional Upgradable to Windows 10 Pro (English),Quadro M1000M,Integrated Card,No,1 TB,8 GB,6-cell,,,12.2
"ASUS Laptop F555 F555LA-EH51 Intel Core i5 5th Gen 5200U (2.20 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 5500 15.6"" Windows 10 Home 64-Bit -",579.99,USD,yes,4,ASUS,F555LA-EH51,Black,Intel Core i5 5th Gen,5200U (2.20 GHz),Dual-core Processor,"15.6""",1366 x 768,No,Windows 10 Home 64-Bit,Intel HD Graphics 5500,Integrated Card,No,1 TB,8 GB DDR3L,"37WHrs, 2S1P, 2-cell Li-ion Polymer Battery Pack",,"15.00"" x 10.10"" x 1.00""",5.10 lbs.
"Lenovo ThinkPad T460 20FN002NUS 14"" (In-plane Switching (IPS) Technology) Notebooks - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40 GHz - Black -",1068.84,USD,no,,Lenovo,20FN002NUS,Black,Intel Core i5,2.40 GHz,,"14.0""",1920 x 1080,No,Windows 7 Professional,HD Graphics 520,Integrated Card,No,500 GB,8 GB,3-cell lithium ion,,,3.79 lb
"HP 15.6"" 15-bc067nr Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 960M 16 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home Gaming Laptop -",997.25,USD,no,,HP,15-bc067nr,Natural Silver,Intel Core i7 6th Gen,6700HQ (2.60 GHz),Quad-core Processor,"15.6""",1920 x 1080,No,Windows 10 Home,NVIDIA GeForce GTX 960M,Dedicated Card,128 GB,1 TB,16 GB,3-cell lithium ion,,,
"Lenovo ThinkPad T460 20FN002QUS 14"" (In-plane Switching (IPS) Technology) Notebooks - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40 GHz - Black -",1024.63,USD,no,,Lenovo,20FN002QUS,Black,Intel Core i5,2.40 GHz,,"14.0""",1920 x 1080,No,Windows 7 Professional,HD Graphics 520,Integrated Card,No,500 GB,4 GB,3-cell lithium ion,,,3.79 lb
"ASUS ROG STRIX  GL502VS-DB71 Gaming Laptop Intel Core i7 6700HQ (2.60 GHz) 16 GB Memory 1 TB HDD 256 GB SSD NVIDIA GeForce GTX 1070 8 GB GDDR5 15.6"" FHD 1920 x 1080 Windows 10 Home 64-Bit",1699.0,USD,yes,3,ASUS,GL502VS-DB71,ROG Metallic,Intel Core i7 6th Gen,6700HQ (2.60 GHz),Quad-core Processor,"15.6""",1920 x 1080,No,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 1070,Dedicated Card,256 GB,1 TB,16 GB DDR4,"62 WHrs, 4S1P, 4-cell Li-ion Polymer Battery Pack",Up to 5 Hour(s),"15.40"" x 10.50"" x 0.94""",4.90 lbs.
"Lenovo ThinkPad T460 20FN002KUS 14"" (In-plane Switching (IPS) Technology) Notebooks - Intel Core i7 (6th Gen) i7-6600U Dual-core (2 Core) 2.60 GHz - Black -",1643.67,USD,no,,Lenovo,20FN002KUS,Black,Intel Core i7,2.60 GHz,,"14.0""",1920 x 1080,,Windows 7 Professional,HD Graphics 520,,,,16 GB,3-cell lithium ion,,,3.79 lb
"Lenovo ThinkPad T460s 20F9003FUS 14"" Touchscreen (In-plane Switching (IPS) Technology) Notebooks - Intel Core i7 (6th Gen) i7-6600U Dual-core (2 Core) 2.60 GHz - Black -",1590.62,USD,no,,Lenovo,20F9003FUS,Black,Intel Core i7,2.60 GHz,,"14.0""",1920 x 1080,,Windows 10 Pro,HD Graphics 520,,,,8 GB,3-cell lithium ion,,,3.51 lb
"Acer Aspire R5-471T-34L1 14"" Touchscreen LED Notebook - Intel Core i3 i3-6100U Dual-core (2 Core) 2.30 GHz -",623.81,USD,yes,,Acer,NX.G7WAA.018,,Intel Core i3,2.3 GHz,,"14.0""",1920 x 1080,Yes,Windows 10 Home,HD Graphics 520,Intel,128 GB,,4 GB,4-cell,,,4.19 lb
"Acer 17.3"" GX-791-73FH Intel Core i7 6th Gen 6820HK (2.70 GHz) NVIDIA GeForce GTX 980 32 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home Gaming Laptop -",2761.62,USD,yes,,Acer,GX-791-73FH,Black,Intel Core i7 6th Gen,6820HK (2.70 GHz),Quad-core Processor,"17.3""",1920 x 1080,No,Windows 10 Home,NVIDIA GeForce GTX 980,Dedicated Card,512 GB,1 TB,32 GB DDR4,8-cell Li-ion Battery (6000 mAh),Up to 3 hour(s),"16.65"" x 12.66"" x 1.77""",10.03 lbs.
"Acer Aspire F5-573-32ZS 15.6"" LED Notebook - Intel Core i3 i3-6100U Dual-core (2 Core) 2.30 GHz -",411.21,USD,yes,,Acer,NX.GHRAA.002,,Intel Core i3 6th Gen,2.3 GHz,,"15.6""",1366 x 768,,Windows 10 Home,HD Graphics 520,Integrated Card,No,1 TB,4 GB,6-cell lithium ion,,,5.29 lb
"Acer Aspire Switch 12 SW5-271-62X3 Intel Core M 4 GB LPDDR3 Memory 128 GB SSD 12.5"" Touchscreen Tablet PC Windows 8.1 64-Bit",487.99,USD,yes,4,Acer,SW5-271-62X3,,Intel Core M,5Y10c (0.80 GHz),Dual-core Processor,"12.5""",1920 x 1080,Yes,Windows 8.1 64-Bit,Intel HD Graphics 5300,Integrated Card,128 GB eMMC,,4 GB LPDDR3,3-cell lithium ion,Up to 6 hours,"12.50"" x 8.70"" x 0.60""",3.09 lbs.
SMART BUY 640 G2 I5-6200U 2.3G -,1040.71,USD,no,,HP,,,Intel Core i5,2.3 GHz,,"14.0""",1920 x 1080,,Windows 10 Pro,HD Graphics 520,Integrated Card,256 GB,,8 GB,,,,
"Acer 12"" SA5-271P-5972 Intel Core i5 6th Gen 6200U (2.30 GHz) Intel HD Graphics 520 8 GB LPDDR3 Memory 256 GB SSD Windows 10 Pro 64-Bit 2-in-1 Tablet -",649.00,USD,no,,Acer,SA5-271P-5972,,Intel Core i5 6th Gen,6200U (2.30 GHz),Dual-core Processor,"12""",2160 x 1440,Yes,Windows 10 Pro 64-Bit,Intel HD Graphics 520,Integrated Card,256 GB,,8 GB LPDDR3,"2-cell Lithium Polymer, 4870 mAh",Up to 8 Hour(s),"11.50"" x 7.90"" x 0.60""",2.76 lbs.
"13.3"" FHD i5 8GB 256GB BL Grey -",996.87,USD,yes,,Acer,,,Intel Core i5,2.3 GHz,,"13.3""",1920 x 1080,Yes,Windows 10 Home,HD Graphics 520,Intel,256 GB,,8 GB,4-cell,,,3.53 lb
"Acer Laptop TravelMate TMP446-M-72N5 Intel Core i7 5th Gen 5500U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 5500 14.0"" Windows 7 Professional 64-Bit (Upgradable to Windows 10 Pro) -",846.99,USD,no,,Acer,TMP446-M-72N5,Black,Intel Core i7 5th Gen,5500U (2.40 GHz),Dual-core Processor,"14.0""",1920 x 1080,No,Windows 7 Professional 64-Bit (available through downgrade rights from Windows 10 Pro),Intel HD Graphics 5500,Integrated Card,256 GB,,8 GB DDR3L,"4-cell Lithium Polymer, 3560 mAh",,"13.40"" x 9.40"" x 0.80""",4.08 lbs.
"Acer Aspire R3-131T-P54U 11.6"" Touchscreen LED Notebook - Intel Pentium N3710 Quad-core (4 Core) 1.60 GHz -",420.02,USD,no,,Acer,,,Intel Pentium,1.60 GHz,,"11.6""",1366 x 768,Yes,Windows 10 Home,HD Graphics 405,Intel,No,1 TB,4 GB,4-cell,,,3.48 lb
"Acer Aspire R3-131T-P3JR 11.6"" Touchscreen LED Notebook - Intel Pentium N3710 Quad-core (4 Core) 1.60 GHz -",424.86,USD,yes,,Acer,,,Intel Pentium,1.60 GHz,,"11.6""",1366 x 768,Yes,Windows 10 Home,HD Graphics 405,Intel,No,1 TB,4 GB,4-cell,,,3.48 lb
"HP ProBook 655 G2 15.6"" Notebook - AMD A-Series A10-8700B Quad-core (4 Core) 1.80 GHz -",928.9,USD,no,,HP,X9U21UT#ABA,,A-Series,1.80 GHz,,"15.6""",1920 x 1080,No,Windows 7 Professional,Radeon R6 Graphics,Integrated Card,256 GB,,8 GB,3-cell lithium ion,8 Hour,,5.09 lb
"HP ProBook 655 G2 15.6"" Notebook - AMD A-Series A8-8600B Quad-core (4 Core) 1.60 GHz - 8 GB DDR3L SDRAM RAM - 500 GB H -",793.93,USD,no,,HP,,,AMD A-Series,1.60 GHz,,"15.6""",,,Windows 10 Pro,Radeon R6 Graphics,Integrated Card,No,500 GB,8 GB,,,,
"Lenovo ThinkPad T460s 20F90019US 14"" (In-plane Switching (IPS) Technology) Ultrabook - Intel Core i7 i7-6600U Dual-core (2 Core) 2.60 GHz - Black -",1733.93,USD,no,,Lenovo,T460s,Black,Intel Core i7 6th Gen,2.60 GHz,,"14.0""",2560 x 1440,No,Windows 10 Pro,HD Graphics 520,Integrated Card,512 GB,,12 GB DDR4,3-cell lithium ion,,,4.6
"Acer Predator 17 G9-792-70DR Gaming Laptop Intel Core i7 6700HQ (2.60 GHz) 32 GB Memory 1 TB HDD 512 GB SSD NVIDIA GeForce GTX 980M 8 GB GDDR5 17.3"" Windows 10 Home",2453.97,USD,yes,,Acer,G9-792-70DR,Black,Intel Core i7 6th Gen,6700HQ (2.60 GHz),Quad-core Processor,"17.3""",1920 x 1080,No,Windows 10 Home,NVIDIA GeForce GTX 980M,Dedicated Card,512 GB,1 TB,32 GB DDR4,8-cell Li-ion Battery (6000 mAh),Up to 7 Hour(s),"16.65"" x 12.66"" x 1.56""",9.26 lbs.
"Acer 17.3"" G9-792-73UG Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 980M 32 GB Memory 1 TB SSD 1 TB HDD Windows 10 Home Gaming Laptop -",2938.74,USD,no,,Acer,G9-792-73UG,Black,Intel Core i7 6th Gen,6700HQ (2.60 GHz),Quad-core Processor,"17.3""",3840 x 2160,No,Windows 10 Home,NVIDIA GeForce GTX 980M,Dedicated Card,1 TB,1 TB,32 GB DDR4,8-cell Li-ion Battery (6000 mAh),Up to 7 Hour(s),"16.65"" x 12.66"" x 1.56""",9.26 lbs.
"GIGABYTE 15.6"" 4K/UHD P35Xv6-PC4K4D Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 512 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop -",1999.0,USD,yes,4,GIGABYTE,P35Xv6-PC4K4D,Aluminum Black,Intel Core i7 6th Gen,6700HQ (2.60 GHz),Quad-core Processor,"15.6"" 4K/UHD",3840 x 2160,No,Windows 10 Home 64-Bit,NVIDIA GeForce GTX 1070,Dedicated Card,512 GB,1 TB,16 GB DDR4,"Li-Polymer 11.1V, 75.81Wh",,"14.92"" x 10.63"" x 0.83""",5.29 lbs.
"Acer 15.6"" G9-592-74A5 Intel Core i7 6th Gen 6700HQ (2.60 GHz) NVIDIA GeForce GTX 980M 32 GB Memory 1 TB SSD 1 TB HDD Windows 10 Home Gaming Laptop -",2754.00,USD,yes,,Acer,G9-592-74A5,Black,Intel Core i7 6th Gen,6700HQ (2.60 GHz),Quad-core Processor,"15.6""",3840 x 2160,No,Windows 10 Home,NVIDIA GeForce GTX 980M,Dedicated Card,1 TB,1 TB,32 GB DDR4,8-cell Li-ion Battery (6000 mAh),Up to 7 Hour(s),"15.39"" x 11.79"" x 1.52""",7.94 lbs.
"HP ProBook 645 G2 14"" 16:9 Notebook - 1366 x 768 - AMD A-Series A8-8600B Quad-core (4 Core) 1.60 GHz - 8 GB DDR3L SDRAM - 500 GB HDD - Windows 10 Pro 64-bit - DVD-Writer - AMD Radeon R6 DDR3L SDR -",787.07,USD,no,,HP,,,AMD A-Series,1.60 GHz,,"14.0""",1366 x 768,,Windows 10 Pro,Radeon R6,Integrated Card,No,500 GB,8 GB,,,,
