ASIN,Title,Price,Customer Reviews,Best Sellers Rank,Date First Available,Brand Name,Series,Item model number,Color,Processor,Processor Brand,Processor Count,Screen Size,Screen Resolution,Max Screen Resolution,Hardware Platform,Operating System,Graphics Coprocessor,Card Description,Graphics Card Ram Size,Chipset Brand,RAM,Computer Memory Type,Hard Drive,Hard Drive Interface,Hard Drive Rotational Speed,Battery Type,Average Battery Life (in hours),Product Dimensions,Item Weight
B00005NBIT,"Apple iBook Laptop (500-MHz PowerPC G3, 64 MB RAM, 10 GB hard drive),Apple Computer,M7698LL/A",,2.1,"9,328","September 20, 2001",Apple,Apple iBook M6497,M7698LL/A,,0.5 GHz PowerPC G3,IBM,1,12.1 inches,1024-by-768,,Mac,Mac OS 10.4.11,ATI RAGE,integrated,8 MB,,64 MB,SDRAM,10 GB Ultra ATA,EIDE,,42-watt-hour,5 hours,9.1 x 11.2 x 1.4 inches,4.9 pounds
B00005TSMG,"IBM Thinkpad T23 Laptop (1.13-GHz Pentium III, 128 MB RAM, 30 GB hard drive),IBM,26478MU",,3.3,"18,528","November 15, 2001",IBM,,26478MU,Black,1.13 GHz Intel Pentium III,Intel,1,,1024-by-768,,,XP,S3 SuperSavage/IX,integrated,8 MB,,128 MB,SDRAM,30 GB,EIDE,,,,9.8 x 12 x 1.3 inches,5.2 pounds
B00006BB4F,"Compaq Comp. TFT5600 RM INTEGRATED-KYBD/MON ( 221546-001 ),Compaq,221546-001,487445","1,031.36",,"22,539",,,,,,,,,,,,,,,,,,,,,,,,,,
B0000DCYCR,"Apple PowerBook Laptop 12.1"" M9007LL/A (1.0-GHz PowerPC G4, 256 MB RAM, 40 GB Hard Drive, DVD/CD-RW Combo Drive),Apple Computer,M9007LL/A",,4.0,"13,014","September 18, 2003",Apple,PowerBook,M9007LL/A,,1 GHz PowerPC G4,IBM,1,12.1 inches,1024-by-768,1024 x 768 pixels,Mac,Apple Mac OS X,GeForce FX,NVIDA GeForce FX Go5200 with AGP 4x,32 MB,NVIDIA,256 MB DDR,DDR SDRAM,40 GB,Ultra ATA,,,5 hours,15.4 x 7.8 x 12.7 inches,4.6 pounds
B0000U98MQ,"Apple iBook Laptop 14.1"" M9388LL/A (933-MHz PowerPC G4, 256 MB RAM, 40 GB Hard Drive, DVD/CD-RW Drive),Apple Computer,M9388LL/A",,3.0,"4,613","October 22, 2003",Apple,M9388LL/A,M9388LL/A,,1.33 GHz PowerPC G4,IBM,1,14.1 inches,1024-by-768,,,Mac OS X,ATI MOBILITY RADEON 9200,dedicated,32 MB,,256 MB DDR,SDRAM,40 GB,Ultra ATA,,,,17.9 x 8.5 x 14.9 inches,7 pounds
B0000U9KSI,"Apple iBook Laptop 14.1"" M9165LL/A (1Ghz PowerPC G4, 256 MB RAM, 60 GB Hard Drive, DVD/CD-RW Drive),Apple Computer,M9165LL/A",,3.2,"4,960","October 22, 2003",Apple,iBook,M9165LL/A,,1 GHz PowerPC G4,IBM,1,14.1 inches,1024-by-768,,,Apple Mac OS X 10.3,ATI Mobility Radeon 9200,dedicated,32 MB,,256 MB DDR,SDRAM,60 GB,Ultra ATA,,,,17.9 x 8.5 x 14.9 inches,12 pounds
B00015XMDG,"IBM ThinkPad T41 (2379DJU) Laptop (1.60 GHz Pentium M (Centrino), 256 MB RAM, 40 GB Hard Drive, DVD/CD-RW Combo),IBM,2379DJU",,3.0,"9,180","December 9, 2003",IBM,ThinkPad,2379DJU,,1.6 GHz Pentium,Intel,1,14.1 inches,1400-by-1050,,,Windows XP Professional,ATI Mobility Radeon 9000,dedicated,32 MB,,256 MB DIMM,DDR SDRAM,40 GB,,,,,12.2 x 10.4 x 1.2 inches,4.7 pounds
B0001YXWK0,"HP Compaq Business Notebook NC6000 - 14.1"" TFT ( DD522AV ),Hewlett Packard,DH945U#ABA",,5.0,"16,431","March 27, 2004",HP,HP Compaq NC6000,DH945U#ABA,,Pentium,,,14.1 inches,,,,,ATI Mobility Radeon 9600,,,,512 MB,,,,,,5 hours,12 x 4 x 12 inches,8 pounds
B0006OCF4O,"IBM Thinkpad X40 2371GHU Laptop (Intel Pentium M Processor 1.40 GHZ, 512 MB RAM, Windows XP Professional),Lenovo,2371GHU",,4.0,"8,451",,,,,,,,,,,,,,,,,,,,,,,,,,
B0007QU6P6,"Apple G4 12.1"" Powerbook (1.5 GHz Processor, 512 MB RAM, 60 GB Hard Drive, CD-RW/DVD Drive, Mac OS X 10.4),Apple Computer,M9690B/A",,3.5,"8,975","December 19, 2006",,PowerBook,M9690B/A,,1.5 GHz PowerPC G4,AIM,,12.1 inches,,,,Apple Mac OS X,geforce fx go5200,,,,512 MB DDR,,60 GB mechanical_hard_drive,,,,,15.3 x 12.6 x 7.9 inches,11.5 pounds
B0007QU6RY,"Apple PowerBook G4 - PPC G4 1.67 GHz - RAM 512 MB - HDD 80 GB - DVD?RW - Mobility Radeon 9700 - Gigabit Ethernet - WLAN : 802.11b/g, Bluetooth - MacOS,Apple Computer,M9677B/A",,2.5,"8,250","December 19, 2006",Apple,PowerBook G4,M9677B/A,metal. grey.,1 GHz PowerPC,AIM,,15.2 inches,,,Mac,Apple Mac OS X 10.3,ATI Mobility Radeon 9600,dedicated,,ATI,512 MB DDR2,DDR2 SDRAM,80 GB mechanical_hard_drive,,,,,15.8 x 12.5 x 6 inches,5.5 pounds
B0009M0BI0,"Apple iBook G4 800mhz, 384mb, 30gb, CDROM, Wireless, Leopard,Apple Computer,iBook G4 800",,3.4,"8,266","December 19, 2006",,Ibook Apple Laptop,iBook G4 800,,0.8 GHz,,,,,,,,,,,,384 MB,,30 GB,,,,,,2.2 pounds
B000BNHM0C,"Apple MacBook Pro 15.4"" Laptop - 500 GB HARDRIVE - i7 QUAD-CORE - MC721LL/A,Apple Computer,MC721LL/A",,3.8,236,"February 23, 2011",Apple,MacBook Pro,MC721LL/A,silver,2 GHz Intel Core i7,Intel,4,15.4 inches,1440 x 900,1440x900 pixels,Mac,Mac OS X v10.7 Lion,AMD Radeon HD 6490M,dedicated,256 MB,AMD,4 GB SDRAM,SODIMM,500 GB SATA,Serial ATA,5400 RPM,lithium_polymer,7 hours,18 x 12 x 5 inches,5.6 pounds
B000BNP2KE,"Apple MacBook Pro MA092LL/A 17"" Laptop (2.16 GHz Intel Core Duo, 1 GB RAM, 120 GB Hard Drive, SuperDrive),Apple Computer,MA092LL/A",,3.3,"5,024","April 24, 2006",Apple,A1151,MA092LL/A,Silver,2.16 GHz Intel Core Duo,Intel,1,17 inches,1680-by-1050,1680 x 1050 pixels,Mac,Mac OS X v10.4 Tiger,Radeon,dedicated,256 MB,ATI,1 GB DDR2,SODIMM,120 GB SATA,Serial ATA,5400 RPM,lithium_polymer,5.5 hours,20.4 x 20 x 5.6 inches,5.6 pounds
B000E50OZW,"Toshiba Satellite A105-S101 Notebook PC (Intel® Celeron® M Processor 380 -Mist Gray) 1.6 GHz, 256 MB RAM, 60 GB HD, CD-RW/DVD combo,Toshiba,A105-S101",,3.0,"12,971","January 9, 2006",Toshiba,,A105-S101,,1.6 Mobile Intel Celeron Processor,Intel,1,15.4,1280 x 800,,PC,Windows XP Home,radeon,integrated,,amd,256.0 DDR2 SDRAM,DDR2 SDRAM,60.0 SATA,Serial ATA,5400 RPM,,,10.5 x 14.2 x 1.5 inches,6 pounds
B000EPJOX0,"Apple MacBook Pro MC724LL/A 13.3-Inch Laptop (OLD VERSION),Apple Computer,MC724LL/A",,4.3,"3,389","February 23, 2011",Apple,MacBook Pro,MC724LL/A,Silver,2.7 GHz Intel Core i7,Intel,1,13.3 inches,1280 x 800,1280x800 pixels,Mac,Mac OS X v10.7 Lion,Intel GMA HD Graphics 3000,HD Graphics 3000,384 MB,Intel,4 GB SDRAM,SODIMM,500 GB SATA,Serial ATA,5400 RPM,lithium_polymer,7 hours,12.8 x 8.9 x 0.9 inches,4.5 pounds
B000F8EWHY,"Lenovo ThinkPad T60 2623 15-Inch Laptop,Lenovo,2623-D3U",,3.0,"8,989","July 2, 2004",Lenovo,ThinkPad,2623-D3U,black,2 GHz Intel Core Duo,Intel,1,15 inches,1400 x 1050,1400 x 1050 pixels,PC,"Microsoft Windows Vista, Windows Vista Home Premium",ATI Mobility Radeon X1400,X1400,128 MB,ATI,1 GB DDR2,GDDR3,100 GB SATA,,5400 RPM,lithium_ion,5.2 hours,14 x 7 x 16 inches,6.3 pounds
B000F95A88,"Lenovo ThinkPad T60 2007 - Core Duo T2400(1.83GHz) Laptop with Windows XP,IBM,2007-56U",,3.8,"2,029","January 23, 2007",WIRELESS NOTEBOOKS,ThinkPad,2007-56U,Black,1.83 GHz Intel Core Duo,Intel,2,15 inches,1024×768,,PC,Windows XP;,ATI Mobility Radeon X1400,dedicated,,amd,0.512 GB DDR2,DDR2 SDRAM,60 GB mechanical_hard_drive,Ethernet 100Base-T,5400 RPM,battery_type_lithium_ion,2 hours,15 x 12.5 x 6.2 inches,7 pounds
B000FOG604,"HP Compaq nc6400 Business Notebook,HP,RA266AA#ABA,937996",,3.2,"6,196","August 23, 2006",HP,nc6400,RA266AA#ABA,Black,1.83 GHz Intel Core Duo,Intel,2,14.1 inches,1280 x 800,1280 x 800 pixels,Notebook,Mircosoft Windows XP Professional,GMA,Graphics Media Accelerator 950,,Intel,1 GB DDR2,,80 GB,,5400 RPM,,6 hours,19.1 x 12.4 x 6.6 inches,4 pounds
B000FUHVN4,"Apple MacBook Pro - Core Duo 2.16 GHz - RAM 1 GB - HDD 100 GB - DVD?RW - Mobility Radeon X1600 - Gigabit Ethernet - WLAN : 802.11b/g, Bluetooth 2.0 EDR - MacOS X 10.4 - 15.4"" Widescreen TFT 1440 x 900 ( WXGA+ ) - camera,Apple,MA601D/A",,3.0,"7,433","May 24, 2006",Apple,MA601D/A,MA601D/A,Silver,2.16 GHz Core 2 Duo,Intel,1,15 inches,1440 x 900,1440 x 900 pixels,Mac,Apple Mac OS X 10.4,Radeon,X1600,256 MB,ATI,1 GB DDR2,DDR2 SDRAM,100 GB SATA,,5400 RPM,lithium_polymer,4 hours,19.4 x 19.4 x 5.4 inches,2.2 pounds
B000GW7QJ0,"IBM ThinkPad T40 1.5 GHz Pentium M (Centrino) Notebook PC with 40 GB Hard Drive,IBM,T40 / 2373-75U",,3.6,"1,360","June 25, 2005",IBM,thinkpad T40,T40 / 2373-75U,,1.5 GHz Pentium,Intel,,14.1 inches,,,PC,Windows XP;,Radeon,dedicated,,amd,512 MB,,40 GB,,,,,19.9 x 15.3 x 7.8 inches,7.9 pounds
B000H4WLU6,"TFT7600RKM 17"" TFT +,HP,AG053A","1,017.90",,"13,710",,,,,,,,,,,,,,,,,,,,,,,,,,
B000HDFGTU,"Dell Latitude D520 15 inches 1GB SDRAM DDR2 Laptop,Dell Computers,110L",,3.0,"13,628","August 3, 2006",Dell,XPS,110L,Silver,1.73 Intel Centrino,Intel,1,15 inches,1920x1200,1024 x 768,PC,Windows VISTA;,,dedicated,512 MB,NVIDIA,1 GB SDRAM DDR2,DDR2 SDRAM,40 GB mechanical_hard_drive,IDE,,,2 hours,11 x 13.2 x 1.5 inches,5 pounds
B000HIIZQ6,"Apple Z0D5 MacBook Macintosh Notebook Computers ( White ),Apple Computer",,,"14,639","October 2, 2001",Apple,,,,2 GHz Intel Core Duo,Intel,2,13.3 inches,1280_x_800,,Mac,Mac OS X 10.4 Tiger,Intel GMA 950 Graphics,integrated,,intel,512000 MB DDR2 SDRAM,DDR2 SDRAM,60 GB mechanical_hard_drive,Serial ATA,5400 RPM,,,,6 pounds
B000HQ9T8G,"Aiphone Set - 2 Handsets, White (AT-206, AT-306), Part# AT-406,AiPhone,AT-406",157.00,4.5,"2,942",,,,,,,,,,,,,,,,,,,,,,,,,,
B000HS8MAK,"Lenovo ThinkPad Z61t 9442 - Core Duo T2500 / 2 GHz - Centrino Duo - RAM 1 GB - HDD 100 GB - DVD?RW (?R DL) / DVD-RAM - GMA 950 - Gigabit Ethernet - WLAN : 802.11a/b/g - fingerprint reader - Win XP Pro - 14.1"" Widescreen TFT 1280 x 800 ( WXGA ) - camera - silver - academic - Microsoft Office Ready,Lenovo",,5.0,"22,454","October 21, 2006",,Thinkpad Z61t,,,2 GHz Intel Core Duo,,,14 inches,1280_x_800,,,Windows XP Professional Edition,,,,,1 GB,,100 GB mechanical_hard_drive,,,,,,
B000HWHNXI,"Lenovo ThinkPad R60 9457 - Core Duo T2300E / 1.66 GHz - Centrino Duo - RAM 512 MB - HDD 60 GB - CD-RW / DVD - GMA 950 - Gigabit Ethernet - WLAN : 802.11a/b/g - TPM - Win XP Pro - 15"" TFT 1024 x 768 ( XGA ) - black - Microsoft Office Ready,Lenovo",,4.0,"21,767",,,,,,,,,,,,,,,,,,,,,,,,,,
B000IALP88,"Sony VAIO VGN-UX280P 4.5-inch Laptop (Intel Core Solo Processor U1400, 1 GB RAM, 40 GB Hard Drive),Sony,VGN-UX280P",,3.5,"13,542","September 7, 2006",Sony,VGN UX 280p,VGN-UX280P,,1.2 GHz Intel Core Solo,Intel,1,4.5 inches,1024_x_600,,PC,Windows XP Professional Edition,Intel Graphics Integrated,,,,1 GB,DDR2 SDRAM,40 GB,EIDE,4200 RPM,,,1.5 x 5.9 x 3.7 inches,1.2 pounds
B000KJVY8S,"Apple MacBook MA700LL/A - Core 2 Duo 2 GHz - RAM 1 GB - HDD 80 GB - DVD-ROM/CD-RW - GMA 950 - Gigabit Ethernet - WLAN : 802.11b/g, Bluetooth 2.0 EDR - MacOS X 10.4 - 13.3"" Widescreen TFT 1280 x 800 ( WXGA ) - camera - white,Apple,MA700LL/A,1675940",,3.2,"2,283","January 23, 2007",Apple,Macbook,MA700LL/A,white,2 GHz Core 2 Duo,Intel,1,13.3 inches,1280 x 800,1280 x 800 pixels,Mac,Apple Mac OS X 10.4,GMA,Graphics Media Accelerator950,1024 MB,Intel,1 GB DDR2,,80 GB SATA,,5400 RPM,lithium_polymer,6 hours,18.1 x 17.5 x 5.7 inches,7 pounds
B000L48Z02,"Apple MacBook MB061LL/A 13.3"" Notebook PC (2.0 GHz Intel Core 2 Duo Processor, 1 GB RAM, 80 GB Hard Drive, Combo Drive) White,Apple Computer,MB061LL/A",,3.7,"1,564","May 15, 2007",Apple,MacBook,MB061LL/A,2.0 GHz White,2 GHz Intel Core 2 Duo,Intel,2,13.3 inches,1280 x 800,2560 x 1600 pixels,Mac,Apple Mac OS X v10.5 Leopard,Intel GMA 950,,256 MB,ATI,1 GB DDR2,DDR2 SDRAM,80 GB SATA,Serial ATA,7200 RPM,lithium_polymer,10 hours,13 x 9 x 1 inches,5.1 pounds
B000M8OX6W,"Dell D600 Laptop (1.6ghz, 40 GB Hard Drive, DVD/CD-RW),Dell Computers,Latitude D600",,3.0,"3,216",,,,,,,,,,,,,,,,,,,,,,,,,,
B000MTEEPQ,"Panasonic Toughbook CF-30CTQAZBM NoteBook Intel Core Duo L2400(1.66GHz) 13.3"" XGA 4GB Memory 160GB HDD Intel GMA950,CF-30CTQAZBM",,5.0,"2,704","November 3, 2012",Panasonic,samba,CF-30CTQAZBM,,1.66 GHz Intel Core Duo,Intel,,13.3 inches,,,,pc,integrated_graphics,,,intel,4 GB,,160 GB mechanical_hard_drive,,,,2 hours,14 x 8 x 1.4 inches,7 pounds
B000OFJ9UI,"DELL INSPIRON 9400 (E1705) NOTEBOOK PC, Intel Core 2 Duo T2250 1.73 GHZ, 120 GB HD, 24X CD Burner/DVD Combo Drive, 1 GB DDR2 SDRAM, 17 inch Wide Screen XGA+ Display , WINDOWS VISTA HOME PREMIUM,Dell Computers,Inspiron 9400. E1705",,4.7,"12,517","March 15, 2007",Dell,Dell,Inspiron 9400. E1705,Silver,Intel Core 2 Duo,Intel,2,17 inches,1920x1280,,PC,Windows 8,,,256 MB,intel,1 GB ddr2_sdram,SODIMM,120 GB,Serial ATA,,,,,
B000PEMOO6,"Apple iBook G3 500Mhz 128MB 10Gb CDROM 12.1'' OS X OFFICE 2004,Apple Computer,iBook G3",,2.9,"4,566","April 11, 2007",Apple,iBook G3,iBook G3,white silver,0.5 GHz PowerPC G3,IBM,,12.1 inches,,,,Apple MacOS X,ATI RAGE Mobility 128,,,ATI,0.128 GB SDRAM,,10 GB,,,,,11.9 x 9.3 x 2.8 inches,2.2 pounds
B000PQFUNG,"Apple iBook 12.1"" G4 (1.33 GHz, 512 MB RAM, 40 GB Hard Drive, Combo Drive, OS 10.4.11),Apple Computer",,2.9,"10,097","April 23, 2007",Apple,Macbook G4,,,1.33 GHz,,,12.1 inches,,,,Pre Mac OS 10,,,,,512 MB,,40 GB,,,,,9.1 x 11.3 x 1.4 inches,4.9 pounds
B000PQKG62,"MacBook Black 13"" Inch / 2008 / 2.4GHz Intel ""Core 2 Duo"" / 2GB RAM / Memory / OSX Lion / MB404LL/A [Certified Pre-Owned],Apple Computer,Macbook",,4.2,"7,221","April 24, 2007",Apple,Macbook,Macbook,BLACK,2.4 GHz Core 2 Duo,Intel,2,13 inches,,,,Apple Mac OS 10.5.2,Nvidia GeForce 9400m,dedicated,,NVIDIA,2 GB DDR3,DDR3 SDRAM,250 GB,,,,,12.7 x 8.9 x 1.1 inches,2.2 pounds
B000PT1W4E,"ThinkPad T61 Notebook Intel Core 2 Duo T7300 2GHz 802.11a/b/g Wireless 14.1"" WXGA 1GB DDR2 SDRAM 80GB,Lenovo,T61, T7300 CPU",,4.3,"4,311","April 25, 2007",Lenovo ThinkPad,76591NU,"T61, T7300 CPU",Black,2.4 GHz Intel Core 2 Duo Mobile,Intel,1,14.1 inches,1280 x 800,1280 x 800,PC,Windows 7 Home Premium,,,,,4 GB SDRAM DDR2,DDR2 SDRAM,120 GB HDD 7200 rpm,ATA-5,,,,14.1 x 10 x 1.2 inches,7.1 pounds
B000QW6ES4,"Apple MacBook MB062B/A 13.3-Inch Laptop (OLD VERSION),Apple,MB062B/A",,3.9,"10,365","June 12, 2007",Apple,MacBook,MB062B/A,white,2.16 GHz Core 2 Duo,Intel,2,13.3 inches,1280 x 800,1280 x 800 pixels,Mac,Apple Mac OS X,GMA,Graphics Media Accelerator950,64 MB,Intel,1 GB DDR2,DDR2 SDRAM,120 GB SATA,,5400 RPM,lithium_polymer,6 hours,12.8 x 8.9 x 1.1 inches,5.1 pounds
B000QW6QJG,"Apple MacBook - Core 2 Duo 2.16 GHz - RAM 1 GB - HDD 160 GB - DVD?RW (+R DL) - GMA 950 - Gigabit Ethernet - WLAN : Bluetooth 2.0 EDR, 802.11 a/b/g/n (draft) - MacOS X 10.4 - 13.3"" Widescreen TFT 1280 x 800 ( WXGA ) - camera - black,Apple Computer,MB063B/B",,4.4,"2,768","June 7, 2007",Apple,MacBook,MB063B/B,Black,2.16 GHz Core 2 Duo,Intel,2,13.3 inches,,,Mac,Apple Mac OS X 10.4 (Tiger),,,,,1 GB,DDR2 SDRAM,160 GB mechanical_hard_drive,,,,,12.8 x 8.9 x 1.1 inches,9.3 pounds
B000R21QRM,"HP Pavilion dv2000t 14.1"" Notebook Laptop PC (Intel Core Duo T2050 1.60 GHz, 1GB RAM, 80GB HDD,DVDR/RW / Wireless / Bluetooth / CAMERA (Webcam) / WXP Pro) by CE,hp,EQ883AVR11",,3.0,"16,675","May 21, 2007",HP,Pavilion,EQ883AVR11,black,1.6 GHz Intel Core Duo,Intel,1,14.1 inches,1280 x 800,1280 x 800 pixels,PC,Microsoft Windows XP,GeForce Go 7200,integrated,,intel,1 GB DDR2,DDR2 SDRAM,1024 GB SATA,Serial ATA,,lithium_ion,,13.2 x 9.3 x 1.5 inches,5.3 pounds
B000R2B7RG,"Apple Macbook A1181 Macbook2,1 MA699LL/A, 1.83GHz Intel Core Duo T5600, 160GB Hard Drive, 1GB RAM Memory (Late 2006),Apple Computer,MB062D/A",,4.0,"6,009","February 11, 2013",Apple,MacBook,MB062D/A,white,1.83 GHz Intel Core 2 Duo,Intel,,13.3 inches,,1152 x 720,Mac,Mac OS X 10.4 Tiger,,,,,1 GB,DDR2 SDRAM,160 GB,,,,,12.8 x 8.9 x 1.1 inches,5.1 pounds
B000RE6PB2,"DELL LATITUDE D600 1.6GHZ 1024MB 40GB CDRW/DVD WIFI XP PRO LAPTOP,Dell,D600",,3.3,"7,598",,,,,,,,,,,,,,,,,,,,,,,,,,
B000SOEFEK,"IBM ThinkPad T43 - 2668 - 1.86Ghz Centrino Mobile Technology, 1GB RAM, 40GB HD, Windows XP Pro, DVD/CD-RW, ATI Graphics,IBM,T43",,3.8,"7,080","June 27, 2007",IBM,2668-4su,T43,Black,1.86 GHz Pentium,Intel,1,15 inches,,,PC,Windows XP;,radeon x300,dedicated,,amd,1 GB dimm,DDR2 SDRAM,40 GB,EIDE,,,,,5.1 pounds
B000TUGSC0,"Lenovo ThinkPad T61p 6460 Notebook,LENOVO GROUP LIMITED",,3.5,"2,649","July 18, 2007",Lenovo Group Limited,THINKPAD T61P,,Black,2.2 GHz Intel Centrino,Intel,2,15.4 inches,,,PC,Windows 7 Home Premium,,,,,2 GB,DDR3 SDRAM,100 GB mechanical_hard_drive,,,,,17 x 6.2 x 13 inches,9.6 pounds
B000U28VXG,"HP Compaq Mobile Workstation 8510w Notebook,hp",,3.7,"10,234",,,,,,,,,,,,,,,,,,,,,,,,,,
B000UDISEW,"Lenovo ThinkPad T61 7658 Notebook,Lenovo,T61 7658",,3.9,"3,504","July 27, 2007",Lenovo,ThinkPad,T61 7658,Black,2.2 GHz Core 2 Duo T7500,Intel,2,14.1 inches,1280 x 800,1280 x 800 pixels,PC,Microsoft Windows XP Professional,GMA,Graphics Media AcceleratorX3100,,Intel,1 GB DDR2,DDR2 SDRAM,160 GB IDE,Serial ATA,5400 RPM,lithium_ion,3.6 hours,10 x 14.1 x 1.2 inches,5.9 pounds
B000UTTJLW,"IBM Lenovo X60s Mini Laptop and Mini-dock Combo,Lenovo,X60s 1702",,3.7,"11,124","November 20, 2009",Lenovo,X60s,X60s 1702,black,1.66 GHz Core 2 Duo,Intel,1,12.1 inches,1024 x 768,1024 x 768 pixels,PC,Microsoft Windows 7 Home Premium (64 bit),GMA,Graphics Media Accelerator950,128 MB,Intel,2 GB DDR2,DDR2 SDRAM,60 GB SATA,eSATA,5400 RPM,lithium_ion,8 hours,,
B000UVUCJS,"HP 6510b Laptop, Intel Core 2 Duo T7250 2.0Ghz, Fingerprint Reader, Anti-Glare Screen, 120 GB Hard Drive, Microsoft Vista Basic,hp,RM305UT#ABA",,3.0,"5,143","August 9, 2007",HP,6510b,RM305UT#ABA,,2.1 GHz Intel Core 2 Duo,Intel,,14.1 inches,1280 x 800,,,Windows XP Professional,Intel GMA X3100,,,,1 GB,,120 GB mechanical_hard_drive,,5400 RPM,,,9.6 x 13 x 1.3 inches,5 pounds
B000V2LZOW,"Dell Latitude D600 14.1-Inch Laptop - 512MB RAM, 30GB Hard Drive,Dell Computers,Latitude,1697399",,2.7,"4,568","September 26, 2007",Dell,Latitude,Latitude,Gray,1.6 GHz Pentium,Intel,,14.1 inches,,,PC,Windows XP Professional,ATI Mobility Radeon 9000,dedicated,,ATI,0.512 GB DDR2,DDR SDRAM,30 GB,,,,,10.1 x 1.2 x 12.4 inches,4.6 pounds
B000V55NN8,"HP COMPAQ 6910P BUSINESS NOTEBOOK T7500/C2D-2.20C 1024MB/1-DIMM 80GB/7200RPM DVD,Hewlett Packard,GB949EA",,4.2,"1,258",,,,,,,,,,,,,,,,,,,,,,,,,,
B000VEOYJ8,"Dell Dimension E521 AMD Athlon 64 X2 Dual-Core 3600+ (1.9 GHz), 1 GB DDR2 SDRAM , 250 GB EIDE SATA HD, 16X DVD +/- RW ,Windows Vista Home,Dell Computers",,3.8,"9,889",,,,,,,,,,,,,,,,,,,,,,,,,,
B000VMH99C,"Dell Inspiron E1705 Laptop,Dell,E 1705",,3.3,"11,619","May 7, 2008",Dell,Inspiron,E 1705,White,2 GHz Intel Core Duo,Intel,1,17 inches,1920 x 1200,1920 x 1200 pixels,,Microsoft Windows XP,GeForce Go 7800GTX,integrated,,,1 GB DDR2,,100 GB SATA,,5400 RPM,lithium_ion,,16 x 12.3 x 8.4 inches,9.7 pounds
B000VZ3TKM,"APPLE MACBOOK PRO A1211 15"" NOTEBOOK MA610LL CORE 2 DUO T7600 2.33GHz CPU 2GB RAM 200GB,Apple Computer,A1211",,4.0,"5,481","March 6, 2013",Apple,"MacBook Pro 15""",A1211,silver,Intel Core 2 Duo,Intel,2,15 inches,,,Mac,Mac OS X,radeon x1600,,,amd,2 GB DDR2 SDRAM,DDR2 SDRAM,300 GB mechanical_hard_drive,,7200 RPM,,,14 x 9.5 x 1 inches,5.6 pounds
B000WX63C4,"Dell XPS M1330 13.3"" Tuxedo Black Laptop Computer,Dell,M1330",,2.8,"13,579",,,,,,,,,,,,,,,,,,,,,,,,,,
B000YAKPLA,"Dell Latitude D800 15.4"" Notebook,Dell Computers,D800",,3.3,"2,477","November 3, 2007",Dell,Latitude,D800,gray,1.7 GHz Pentium,Intel,1,15.4 inches,1280x800,1280 X 800,PC,Microsoft Windows XP Professional,GeForce FX Go5200,dedicated,,NVIDIA,1 GB DDR,DDR SDRAM,40 GB mechanical_hard_drive,ATA100,,lithium_ion,,10.9 x 14.2 x 1.5 inches,7.5 pounds
B000YFVSAW,"Apple Ibook G4 1 Ghz 512mb 30gb Dvd/cdrw 12"" LCD with Airport Extreme Os X 10.5.5 Leopard Office 2004 Garageband Itunes Imovie Hd Free,Apple Computer,g4",,3.4,"3,832","November 6, 2007",Apple,iBook,g4,,1 GHz PowerPC G4,AIM,,12 inches,,,,Apple Mac OS X 10.5,,,,,0.512 GB,,30 GB,,,,,23.9 x 11.8 x 3.8 inches,2.2 pounds
B000Z3BP2O,"HP Compaq Business nc2400 Notebook,Hewlett Packard",,4.0,"18,966",,,,,,,,,,,,,,,,,,,,,,,,,,
B000ZHB2OG,"Norton 1603BC-689 Size 3 Door Closer with Backcheck, Aluminum Finish,Norton",,5.0,"14,919","January 22, 2008",,,,Aluminum,,,,,,,,,,,,,,,,,,,,1 x 1 x 1 inches,8 pounds
B0010TVLP8,"Toshiba Satellite A205-S5804 15.4-inch Laptop (Intel Pentium Dual Core T2330 Processor, 1 GB RAM, 120 GB Hard Drive, Vista Premium),Toshiba,A205-S5804",,3.3,"8,464","December 5, 2007",Toshiba,A205-S5804,A205-S5804,Blue,1.6 GHz Pentium,Intel,2,15.4 inches,1280 x 800 pixels,1280 x 800 pixels,PC,Windows VISTA;,GMA,integrated,,Intel,1 GB DDR2,DDR2 SDRAM,120 GB SATA,Serial ATA,5400 RPM,Lithium-Ion (Li-Ion),,14.3 x 1.3 x 10.5 inches,6 pounds
B0011VHWLM,"Panasonic Toughbook T7 Core 2 Duo U7500 / 1.06 GHz ULV - Centrino Duo (42595H) Category: Computer Notebooks,Panasonic",,,"20,141","December 22, 2007",Panasonic,,,,,,,,,,,windows_vista,Intel GMA X3100,,,,1 GB,,80 GB,,,,,,3.3 pounds
B0013EMVGS,"Dell Inspiron E1405 Laptop (Intel Core Duo 2MB Cache/1.66GHz/667MHz FSB, Widescreen WXGA, 1GB RAM, 60GB Hard Drive),Dell inspiron E1405,Inspiron E1405",,3.4,"12,828",,,,,,,,,,,,,,,,,,,,,,,,,,
B0013FIPR6,"Toshiba Core 2 Duo 1.5GHz 1GB 160GB DVD±RW 13.3-Inch Vista,Toshiba",,,"21,734","February 1, 2008",Toshiba,Satellite U305,,,1.5 GHz Intel Core 2 Duo,Intel,2,13.3 inches,,,,Windows VISTA;,Intel GMA X3100,,,intel,1 GB DDR2 SDRAM,,160 GB mechanical_hard_drive,,,,,,
