ASIN,Title,Price,Customer Reviews,Best Sellers Rank,Date First Available,Brand Name,Series,Item model number,Color,Processor,Processor Brand,Processor Count,Screen Size,Screen Resolution,Max Screen Resolution,Hardware Platform,Operating System,Graphics Coprocessor,Card Description,Graphics Card Ram Size,Chipset Brand,RAM,Computer Memory Type,Hard Drive,Hard Drive Interface,Hard Drive Rotational Speed,Battery Type,Average Battery Life (in hours),Product Dimensions,Item Weight
B01DHS3120,"The Razer Blade (2016) 14"" QHD+ Gaming Laptop (6th Generation Intel Core i7, 16GB RAM, 256GB SSD, GTX 970M 6GB),Razer Inc.,RZ09-01652E21-R3U1","1,975.00",3.3,"1,394","March 16, 2016",Razer,Blade,RZ09-01652E21-R3U1,Black Aluminum,2.6 GHz Intel Core i7,Intel,4,14 inches,,3200x1800 pixels,PC,Windows 10,gddr5,Dedicated,6000 MB,NVIDIA,16 GB DDR3,,256 GB PCIe,Solid State,5600 RPM,,,9.3 x 13.6 x 0.7 inches,4.2 pounds
B01DHTWSW8,"Dell 3C7XP Latitude 7370 13.3"" FHD (Intel Core m5-6Y57, 8GB 1600MHz DDR3L, 256GB SSD, Windows 10 Pro, Black),D&H,3C7XP","1,636.49",,768,"March 27, 2016",Dell,Latitude,3C7XP,Black,2.8 GHz Intel Core i5-3330S,Intel,1,13.3 inches,1920 x 1080 pixels,1920x1080 pixels,PC,Windows 10,Intel HD Graphics 515,Integrated,,,8 GB LPDDR3-SDRAM,DDR3 SDRAM,256 GB Flash Memory Solid State,,,Lithium Polymer (LiPo),,16.5 x 10.9 x 3 inches,4.3 pounds
B01DHTWUR6,"Dell Latitude LAT7370-5711 13.3"" QHD Touch Ultrabook (Intel Core M7, 8GB RAM, 256GB SSD, Windows 10 Pro),D&H,2PNWC","1,675.07",,"5,489","March 27, 2016",Dell,Latitude 13 7000,2PNWC,Black,1.2 GHz core_m,Intel,1,13.3 inches,3200 x 1800 pixels,3200x1800 pixels,,Windows 10,integrated_graphics,Integrated,,Intel,8 GB DDR3,DDR3 SDRAM,256 GB flash_memory_solid_state,,,Lithium Polymer (LiPo),,8.3 x 12 x 0.6 inches,2.5 pounds
B01DHTWYFY,"Acer NH.Q03AA.002;G9-791-707M Predator 17.3"" LED Laptop,Acer,NH.Q03AA.002;G9-791-707M","1,527.54",1.0,"18,188","March 27, 2016",Acer,Aspire Predator,NH.Q03AA.002;G9-791-707M,,2.6 GHz Intel Core i7,Intel,1,17.3 inches,,1920 x 1080 pixels,,Windows 10,NVIDIA GeForce GTX 970,Integrated,,,16 GB SDRAM,GDDR5,1 TB,,7200 RPM,,,16.7 x 12.7 x 1.6 inches,8.7 pounds
B01DHTX3I6,"Acer Predator 15.6"" Core i7 6700HQ, 16 GB RAM, 1 TB HDD Gaming Notebook (NH.Q07AA.002;G9-591-73H5),Acer,NH.Q07AA.002;G9-591-73H5","1,432.18",,"16,307","March 27, 2016",Acer,Predator G,NH.Q07AA.002;G9-591-73H5,,3.5 GHz Intel Core i7,Intel,1,15.6 inches,,1920x1080 pixels,,Windows 10,geforce gtx 970m,Integrated,,nvidia,16 GB SDRAM,,1 TB mechanical_hard_drive,,7200 RPM,,,15.4 x 11.8 x 1.5 inches,7.5 pounds
B01DHTXME6,"Lenovo 20FB002LUS TS X1 Carbon i7/16GB/512GB Laptop,Lenovo,20FB002LUS","1,839.99",3.4,433,"March 27, 2016",Lenovo,Thinkpad,20FB002LUS,Black,2.6 GHz Intel Core i7,Intel,2,14 inches,2560 x 1440 pixels,2560 x 1440 pixels,,Windows 7 Professional,Intel Graphics Integrated,Dedicated,,intel,16 GB LPDDR3-SDRAM,DDR3 SDRAM,512 GB flash_memory_solid_state,,,Lithium Polymer (LiPo),9 hours,18.6 x 11.8 x 3 inches,4.8 pounds
B01DIEX2FO,"PANASONIC TOUGH BOOK CF-30 WIN 7 32BIT 4GB MM 250 GB HDD INT CORE 2 DUO CPU 1.06GHz Microsoft Office 2010,,Matsushita Electronic Industrial Co Ltd",,,"18,581","March 28, 2016",Panasonic,CF-30,,Gray & Black,1.6 GHz Core 2 Duo L7500,Intel,2,13.3 inches,,,PC,Windows 7 Professional,,,,,4 GB DDR2 SDRAM,DDR2 SDRAM,250 GB mechanical_hard_drive,ATA,,,,,
B01DIFCI8U,"Lenovo Thinkpad T420 14.1"" Laptop, Intel Core i5 up to 3.2GHz, 4GB DDR3, 128GB SSD, DVD, Anti-Glare HD Display, Window 7 Pro (Certified Refurbished),lenovo",,3.7,"6,658","February 10, 2015",Lenovo,t420,,black,2.6 GHz Intel Core i5,Intel,2,14 inches,,,PC,Windows 7 Professional,integrated_graphics,integrated,,intel,2 GB DDR3 SDRAM,DDR3 SDRAM,128 GB SSD,Serial ATA,,,,12 x 5 x 12 inches,6 pounds
B01DIJO280,"Panasonic Toughbook CF-52 Laptop 2.26ghz Core 2 Duo 250 GB HD 4GB Ram 10.3"" TFT with Touchscreen 1024 x 768 ( XGA ) Wi-Fi Wireless LAN (802.11 a/b/g) 10/100 Ethernet,Matsushita Electronic Industrial Co Ltd",,5.0,"8,098","March 28, 2016",Panasonic,CF-52,,,2.26 GHz Core 2 Duo P8400,Intel,1,10.3 inches,,,PC,Windows 7 Professional,,,,,4 GB,DDR2 SDRAM,250 GB,ATA,,,,,
B01DIPNNBG,"2016 Newest Lenovo 17 inch Premium Laptop PC, 17.3” HD+ Display, 5th Intel Core i5-5200U up to 2.7GHz, 8GB Memory, 1TB HDD, DVD+/-RW, HDMI, VGA, Bluetooth, 802.11ac, Webcam, Windows 10,Lenovo,Lenovo G70",478.00,4.1,194,"March 28, 2016",Lenovo,Lenovo G70,Lenovo G70,Black,2.2 GHz Intel Core i5,Intel Core i5-5200U,2,17.3 inches,1600x900,1600 x 900 (HD+),PC,Windows 10,Intel HD Graphics 5500,integrated,,Intel,8 GB SDRAM DDR3,DDR3 SDRAM,1 TB HDD 5400 rpm,Serial ATA,5400.00,,5 hours,16.5 x 11 x 1.1 inches,7 pounds
