Title,Rating,Editor Rating,MSRP,Type,Processor Name,Processor Speed,Operating System,RAM,Graphics Card,Storage Capacity (as Tested),Storage Type,Screen Size,Resolution,Screen Type,Weight,Battery Rundown,PCMark7,PCMark 8 - Work Conventional,"3-D BENCHMARK TESTS - 3DMark06 - 1,024 x 768 - Default",3-D BENCHMARK TESTS - 3DMark06 - Native – 0X/4X,3DMark 11 Entry - 3D Benchmark Tests,3DMark 11 Extreme - 3D Benchmark Tests,3DMark - Cloud Gate,3DMark - Fire Strike Extreme,"Lost Planet 2 (DX9) - Middle quality - 1,024 x 768- AA/AF=Off/Off",Lost Planet 2 (DX9) - High quality - Native - AA/AF= 0X/4X,"Crysis - Medium quality - 1,024 x 768 - AA/AF=Off/Off",Crysis - High quality - Native - AA/AF= 0X/4X,"Heaven - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Heaven - Max quality - Native - AA/AF=4X/4X:,Heaven 4.0 - Medium Quality - 1366 x 768 - Off,Heaven 4.0 - Ultra Quality - Native - 4X,"Aliens vs. Predator - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Aliens vs. Predator - Max quality - Native - AA/AF=4X/4X,Valley 1.0 - Medium Quality - 1366 x 768 - Off,Valley 1.0 - Ultra Quality - Native 4X,Handbrake Multimedia Tests,Handbrake 0.9.9,CineBench 11.5 Multimedia Tests,CineBench R15,MULTIMEDIA TESTS - PhotoShop CS5,Photoshop CS6 Multimedia Tests,MobileMark 2007- Performance score,MobileMark 2007 – Standard Battery Productivity Load (hrs:min)
Sony VAIO VGN-FZ485U,2.50,fair,2199.00, Media, Intel Core 2 Duo T8100, 2.1 GHz, Microsoft Windows Vista Ultimate, 4 GB, Nvidia GeForce 8400M GT, 300 GB,, 15.4 inches,, Widescreen,,,,,, 2409,,,,,,,,,,,,,,,,,,,,,,, 123, 2:16
HP Pavilion 20-b010z,3.50,good,449.99, All-in-one, AMD E1-1200, 1.4 GHz, Microsoft Windows 8, 2 GB, AMD Radeon HD 7310, 500 GB, HDD, 20 inches, 1600 x 900,,,, 1151,,,, 440, 98,,,,,,, 4.6,,,, 5.8, 5,,, 8:23 min:sec,, 0.42,,, 24:21:00 min:sec,,
HP G70-463cl ,4.00,excellent,720.00, General Purpose, Intel Core 2 Duo T6500, 2.1 GHz, Microsoft Windows Vista Home Premium, 4 GB, Intel GMA 4500MHD, 320 GB,, 17 inches,, Widescreen, 7.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3:45
JVC MP-XV841 Mini Note PC (Iss. 21 2004),3.00,good,2399.00," Media, Ultraportable",, 1 GHz, MS Windows XP Professional, 256 MB,, 40 GB,, 8.9 inches,, Widescreen, 3.2 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite P50T-BST2N01,4.00,excellent,1799.99, Desktop Replacement, Intel Core i7-4700MQ, 2.4 GHz, Windows 8.1, 16 GB, AMD Radeon R9 M265X, 1 TB," HDD, SSD", 15.6 inches, 3840 x 2160, Widescreen, 5.1 lb, 2:47 hrs:min,, 4441,,,,, 10204, 907,,,,,,, 32, 2,,, 20, N/A,, 0:45 min:sec,, 638,, 3:27 min:sec,,
Acer Aspire AS5253-BZ480,3.50,good,500.00," General Purpose, Value, Desktop Replacement", AMD E-350, 1.6 GHz, Microsoft Windows 7 Premium Edition, 4 GB, AMD Radeon HD 6310M, 320 GB,, 15.6 inches, 1366 x 768, Widescreen, 5 lb,,,, 2432, 2083,,,,,,,,,,,,,,,,, 8:53 min:sec,, 0.61,, 14:48 min:sec,, 83, 4:50
Apple MacBook Pro 15-inch (Dual Graphics) ,4.00,excellent,2499.00," Gaming, General Purpose, Media, Business, Small Business",, 2.53 GHz, Mac OS X 10.5, 4 GB," Nvidia GeForce 9600M GT, Nvidia GeForce 9400M", 320 GB,, 15.4 inches,, Widescreen, 5.5 lb,,,,, 4962,,,,,,,,,,,,,,,,,,,,,,,,
Gateway 300X,4.00,excellent,1099.00,,,,, 256 MB, Integrated, 40 GB,, 15 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad S12,4.00,excellent,500.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N270, 1.6 GHz," MS Windows XP Home, MS Windows XP Home", 1 GB, Intel GMA 950, 160 GB,, 12 inches,, Widescreen, 3.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 65, 5:19
Voodoo Envy m:790,4.50,excellent,5300.00," Gaming, Media",, 3.6 GHz, MS Windows XP Professional, 1 GB, Nvidia GeForce 6800 Go,,, 17 inches,, Widescreen, 12.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Slimline s3020n PC,4.00,excellent,580.00," Mainstream, Multimedia, Value", AMD Athlon 64 X2 3800+, 2 GHz, Microsoft Windows Vista Home Premium, 1 GB, Nvidia GeForce 6150LE, 250 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compaq Evo D500,4.00,excellent,1911.00,,,,,,, 20 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex SX260,3.00,good,1812.00,,,,, 256 MB,, 40 GB,, 15 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Encore 2 Write (WT10PE-A264),4.00,excellent,399.99, Tablet, Intel Atom Z3735F, 1.83 GHz," Microsoft Windows 8.1, Windows 8.1"," 2 GB, 2 GB"," Intel HD Graphics, Intel HD Graphics", 64 GB, SSD, 10.1 inches, 1280 x 800, IPS LCD, 1.21 lb, 9:03,, 1497,,,,, 1193, N/A,,,,,,, 1, 1,,, 3, 1,, N/A min:sec,, N/A,, N/A min:sec,,
Motion Computing LS800 Tablet PC,2.50,fair,2167.00," General Purpose, Ultraportable, Tablet, Business", Intel Pentium M 753, 1.2 GHz, MS Windows XP Tablet PC Edition, 512 MB, Intel GMA 900 GM, 30 GB,, 8.4 inches,,, 2.2 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Tab (Verizon Wireless),3.00,good,599.99,,,,,,, 16 GB,, 7 inches,,, 13.6 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Media Center a1640n PC,3.50,good,1130.00," Mainstream, Multimedia", Intel Core 2 Duo E6300, 1.86 GHz, MS Windows XP Media Center Edition 2005, 2 GB, Intel GMA 3000, 250 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv6-2150us,3.00,good,779.98," General Purpose, Media, Value", Intel Core i3 330M, 2.13 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD, 320 GB,, 15.6 inches,, Widescreen, 5.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3:46
Velocity Micro Gamer's Edge 64,3.50,good,4779.00, Gaming,,, Microsoft Windows XP Professional, 1 GB, eVGA GeForce 6800 Ultra, 400 GB,, 20 inches, 1600 x 1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Tecra R10-S4401,3.50,good,1549.00," Business, Small Business", Intel Core 2 Duo SP9300, 2.26 GHz, Microsoft Windows Vista Business, 3 GB, Nvidia Quadro NVS 150M, 160 GB,, 14.1 inches,, Widescreen, 4.2 lb,,,,, 1663,,,,,,,,,,,,,,,,,,,,,,,, 3:20
Fujitsu M2010,3.50,good,489.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N270, 1.6 GHz," MS Windows XP Home, MS Windows XP Home", 1 GB, Intel GMA 950, 160 GB,, 10.1 inches,, Widescreen, 2.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 72, 2:04
Toshiba Tecra M2-S630,3.50,good,1899.00,,, 1.7 GHz,, 512 MB,, 60 GB,, 14.1 inches,,, 3:32 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Elite h8-1050 ,4.00,excellent,1299.00," Gaming, Mainstream, Multimedia", Intel Core i7-2600, 3.4 GHz, Microsoft Windows 7 Home Premium, 12 GB, AMD Radeon HD 6850, 1500 GB,,, 1920 x 1080,,,, 3158,,,, 5438, 1148,,,,,,,,,,,,,,, 1:13 min:sec,, 6.82,, 2:57 min:sec,,,
Samsung 17-inch Series 7 Chronos (NP700Z7C-S01US),3.50,good,1450.00," Media, Desktop Replacement", Intel Core i7-3615QM, 2.3 GHz, Microsoft Windows 7 Home Premium, 8 GB, Nvidia GeForce GT 650M, 1000 GB,, 17.3 inches, 1920 x 1080, Widescreen, 6.44 lb,, 3047,, 16430, 10719,,,,, 77, 28, 54,,,,,,,,,, 1:18 min:sec,, 5.37,, 3:23 min:sec,,, 6:38
Dell XPS 8700 Special Edition,4.00,excellent,1649.00, Mainstream, Intel Core i7-4770, 3.4 GHz, Microsoft Windows 8 Professional, 16 GB,, 2 TB, HDD,,,,,, 6116,,,, 9513, 2177,,,,,,, 96,,,, 118, 22,,, 0:29 min:sec,, 7.95 min:sec,,, 3:13 min:sec,,
Lenovo Ideapad S10-3,3.00,good,370.00," General Purpose, Ultraportable, Value, Netbook", Intel Atom N450, 1.66 GHz," Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter Edition", 1 GB, Intel GMA 3150, 160 GB,, 10.1 inches,, Widescreen, 2.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 63, 7:06
HP Compaq Presario X1000,4.00,excellent,1599.00,,,,,,,,,,,, 6.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung ATIV Book 9 Lite,2.50,fair,799.99, Desktop Replacement, AMD X4 Quad Core, 1.4 GHz, Microsoft Windows 8,, AMD Radeon HD 8250, 128 GB, SSD, 13.3 inches, 1366 x 768, Widescreen, 3.5 lb, 5:23 hrs:min, 1612,,,, 758, N/A,,,,,,, 8,,,, 7, 5,,, 3:09 min:sec,, 1.06 min:sec,,, N/A min:sec,,
Panasonic Toughbook CF-Y7,4.00,excellent,2730.00," Ultraportable, Business, Small Business", Intel Core 2 Duo L7500, 1.6 GHz, Microsoft Windows Vista Business, 1 GB, Intel GMA X3100, 80 GB,, 14.1 inches,, Standard, 3.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 122, 4:25
Lenovo ThinkPad Edge E431,4.00,excellent,599.00," Business, Small Business", Intel Core i5-3230M, 2.6 GHz, Microsoft Windows 7 Professional, 4 GB, Intel HD Graphics 4000, 500 GB, HDD, 14 inches, 1366 x 768, Widescreen, 4.44 lb, 3:55 hrs:min, 2440,,,, 1072, 193,,,,,,, 10,,,, 10, 5,,, 1:17 min:sec,, 2.96,,, 5:38 min:sec,,
V3 Move,,,999.00, Gaming, AMD Phenom II X2 555 Black Edition, 3.2 GHz, Microsoft Windows 7 Home Premium, 4 GB, AMD Radeon HD 5750, 500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad X201,4.00,excellent,1625.00," General Purpose, Ultraportable, Business, Small Business", Intel Core i5-540M, 2.53 GHz, Microsoft Windows 7 Professional, 4 GB, Intel GMA HD, 320 GB,, 12.1 inches,, Widescreen, 3.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 9:36
Cerise Mini PC Core Duo,3.00,good,1637.00," Multimedia, Digital Entertainment System", Intel Core Duo T2400, 1.83 GHz, MS Windows XP Media Center Edition 2005, 512 MB, Intel GMA 950, 80 GB,, 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus G74SX-BBK7,3.50,good,1199.00," Gaming, Media, Desktop Replacement", Intel Core i7-2630QM, 2 GHz, Microsoft Windows 7 Home Premium, 8 GB, Nvidia GeForce GTX 560, 1000 GB,, 17.3 inches, 1600 x 900, Widescreen, 9.7 lb,, 2569,, 16233, 12781,,,,, 67.2, 28, 82.59,,,,,,,,,, 1:36 min:sec,, 5.03,, 3:59 min:sec,,, 1:57
Xi 2200+ MTower V-Premiere,2.00,fair,999.00,,,,, 256 MB,, 20 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad X1 Carbon Touch ,4.00,excellent,1684.00," Business, Ultrabook", Intel Core i5-3427u, 1.8 GHz, Microsoft Windows 8 Professional, 4 GB, Intel HD Graphics 4000, 180 GB, SSD, 14 inches, 1600 x 900, Widescreen, 3.25 lb, 5:29 hrs:min, 4822,,,, 1190, 218,,,,,,, 12,,,, 13, 6,,, 1:22 min:sec,, 2.59,,, 5:10 min:sec,,
Gateway M520X,3.00,good,1099.00, Value, Intel Pentium 4 518, 2.8 GHz, MS Windows XP Home, 512 MB, Intel 82855 GME, 40 GB,, 15.4 inches,,, 7.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude D505,3.50,good,1357.00, General Purpose,, 1.2 GHz, MS Windows XP Professional,, Intel 82855 GME, 40 GB,, 15 inches,,, 5.89 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultraportable With an Optical Drive,4.00,excellent,1700.00,,,,,,, 40 GB,, 10.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv2800t,4.50,excellent,1049.00," General Purpose, Media, Value", Intel Core 2 Duo T7500, 2.2 GHz, Microsoft Windows Vista Home Premium, 2 GB, Nvidia GeForce 8400M GS, 250 GB,, 14.1 inches,, Widescreen, 5.3 lb,,,,, 1641,,,,,,,,,,,,,,,,,,,,,,, 207, 3:13
Samsung Q1,2.50,fair,1099.00," Media, Tablet, Ultraportable", Intel Celeron M 353, 900 MHz, MS Windows XP Tablet PC Edition, 512 MB, Intel GMA 900 GM, 40 GB,, 7 inches,, Widescreen, 1.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Tab 10.1 (Wi-Fi),3.50,good,499.99,,, 1 GHz, Google Android 3.0 or higher,,, 16 GB,, 10.1 inches,,, 1.3 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex GX280,4.00,excellent,1427.00, Business,, 3.4 GHz, Microsoft Windows XP Professional, 512 MB, AMD Radeon x300, 80 GB,, 15 inches, 1024 x 768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer TravelMate 8204WLMi,4.50,excellent,2499.00," Gaming, General Purpose, Media, Business", Intel Pentium M T2500, 2 GHz, MS Windows XP Professional, 2 GB, AMD Radeon x1600, 120 GB,, 15.4 inches,, Widescreen, 6.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velocity Micro Vector GX Campus Edition 2007,4.00,excellent,999.00," Mainstream, Multimedia", Intel Core 2 Duo E6320, 3 GHz, Microsoft Windows Vista Home Premium, 2 GB, Nvidia GeForce 8600 GT, 250 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Compaq Business Desktop DX7500,,,549.00, Business, Intel Pentium Dual-Core E5200, 2.5 GHz, Microsoft Windows Vista Business,, Intel GMA X4500HD, 20 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell XPS 11,3.00,good,1399.00," Tablet, Ultrabook", Intel Core i5-4210Y, 1.5 GHz, Windows 8.1," 4 GB, 4 GB"," Intel HD Graphics 4200, Intel HD Graphics 4200", 256 GB, SSD, 11.6 inches, 2560 x 1440, Widescreen, 2.44 lb, 5:55 hrs:min, 4111,,,, 1038, 192,,,,,,, 7,,,, 10, 5,,, 2:14 min:sec,, 2.69,,, 6:50 min:sec,,
Alienware 18,4.00,excellent,4499.00," Gaming, Desktop Replacement", Intel Core i7-4900MQ, 2.8 GHz, Microsoft Windows 7 Ultimate, 32 GB, Nvidia GeForce GTX 780M SLI, 1250 GB," HDD, SSD", 18.4 inches, 1920 x 1080, Widescreen, 12.02 lbs, 1:59 hrs:min, 6220,,,, 14925, 4914,,,,,,, 189,,,, 239, 89,,, 0:34 min:sec,, 6.72 min:sec,,, 3:10 min:sec,,
Panasonic Toughbook CF-W5,3.50,good,1950.00," Ultraportable, Business, Small Business", Intel Core Solo U1400, 1.2 GHz, MS Windows XP Professional, 512 MB, Intel GMA 950, 60 GB,, 12.1 inches,, Standard, 2.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Docking Station for Surface Pro 3,4.00,excellent,199.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM ThinkPad T30,3.00,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisnet NASCAR PC,3.50,good,888.00," Mainstream, Value", AMD Athlon 64 3200+, 2 GHz, Microsoft Windows XP Home, 512 MB, AMD Radeon XPRESS 200, 160 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo Horizon 2,3.00,good,1499.00," All-in-one, Touchscreen All-In-One", Intel Core i5-4210U, 1.7 GHz, Windows 8.1, 8 GB, Nvidia GeForce GT 840A, 1000 GB, HDD, 27 inches, 1920 x 1080,,,,, 2636,,,,, 5728, 698,,,,,,, 27, 8,,, 33, 9,, 3:47 min:sec,, 212,, 5:51 min:sec,,
Dell Dimension 9100,4.50,excellent,2799.00," Mainstream, Multimedia", Intel Pentium D 840, 3.2 GHz, MS Windows XP Media Center Edition 2005, 1 GB, Nvidia GeForce 6800, 320 GB,, 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite C655-S5542,3.50,good,400.00," General Purpose, Value", Intel Celeron B815, 1.6 GHz, Microsoft Windows 7 Home Premium, 3 GB, Intel HD Graphics, 320 GB,, 15.6 inches, 1366 x 768, Widescreen, 5.1 lb,,,, 3135, 1756,,,,, 12.8, 6.8, 10.9,,,,,,,,,, 3:02 min:sec,, 1.25,, 7:36 min:sec,, 178, 5:31
Acer Aspire 5349-2635,4.00,excellent,349.00," General Purpose, Value, Small Business, Desktop Replacement", Intel Celeron B815, 1.6 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics, 320 GB,, 15.6 inches, 1366 x 768, Widescreen, 5 lb,,,, 2653, 1347,,,,, 10.7, 4.9, 10.6,,,,,,,,,, 3:05 min:sec,, 1.25,, 7:40 min:sec,, 170, 4:56
"Gateway E-1600se, E-4600se",,,934.00,,,,, 128 MB,, 10 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo C315,3.00,good,849.00, Mainstream, AMD Athlon II X2 250u, 1.6 GHz, Microsoft Windows 7 Home Premium, 4 GB, AMD Mobility Radeon HD 4350, 500 GB,, 20 inches, 1600 x 900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaCentre K210,4.00,excellent,449.00, Value, Intel Pentium Dual-Core E2180, 2 GHz, Microsoft Windows Vista Home Premium, 2 GB, Intel GMA 3100, 320 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 15 Non-Touch (3531),3.50,good,249.99," Value, Desktop Replacement", Intel Celeron N2830, 2.16 GHz, Windows 8.1, 4 GB, Intel HD Graphics, 500 GB, HDD, 15.6 inches, 1366 x 768, Widescreen, 4.7 lb, 6:19 hrs:min,, 1554,,,,, 1213,,,,,,,, 3, 2,,, 4, 2,, 11:00 min:sec,, 71,, 14:21 min:sec,,
Overdrive PC Core2.SLI,4.00,excellent,7190.00, Gaming, Intel Core 2 Extreme QX6850, 4 GHz, Microsoft Windows Vista Home Premium, 2 GB, Nvidia GeForce 8800 Ultra SLI, 900 GB,, 24 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Travelmate 8481T-6440 ,4.00,excellent,945.00," Ultraportable, Business, Small Business, Consumer Ultra-Low Voltage",, 1.7 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel HD Graphics 3000, 320 GB,, 14 inches, 1366 x 768, Widescreen, 3.9 lb,,,, 1730, 1433,,,,,,,,,,,,,,,,, 2:56 min:sec,, 1.64,, 6:54 min:sec,, 200, 11:01
WinBook PowerSpec 8736 (Iss. 21 2004),2.00,fair,998.00,,,,, 512 MB,, 80 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire AME600-UR378,4.00,excellent,899.99," Mainstream, Multimedia",, 3.4 GHz, Microsoft Windows 8, 10 GB, Intel HD Graphics 4000, 2000 GB, HDD,,,,,, 3917,,,, 1478, 230,,,,,,, 14,,,, 14, 5,,, 3:32 min:sec,, 0:40 min:sec,,, 7 min:sec,,
Lenovo C560 Touch,3.00,good,779.99, All-in-one, Intel Core i3-4130T, 2.9 GHz, Windows 8.1, 8 GB, Intel HD Graphics 4400, 1 TB, HDD, 23 inches, 1920 x 1080,,,, 4503,,,, 2374, 402,,,,,,, 20,,,, 20, 6,,, 6:13 min:sec,, 7.63,,, 0:35 min:sec,,
HP Pavilion dv6t (1030us),3.50,good,800.00," General Purpose, Media, Value", Intel Core 2 Duo T6400, 2 GHz, Microsoft Windows Vista Home Premium, 4 GB, Intel GMA 4500MHD, 320 GB,, 16 inches,, Widescreen, 6 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 167, 3:03
Lenovo G40,3.00,good,249.99," Value, Desktop Replacement", Intel Celeron N2830, 2.16 GHz, Windows 8.1, 2 GB, Intel HD Graphics, 320 GB, HDD, 14 inches, 1366 x 768, Widescreen, 5.5 lb, 5:56 hrs:min,, 1581,,,,, 1193, N/A,,,,,,, 3, 1,,, 3, 1,, 15:54 min:sec,, 67,, 15:29 min:sec,,
HP Media Center Photosmart PC m1050y (3.8 GHz),4.50,excellent,2390.00, Multimedia,,, MS Windows XP Media Center Edition 2005, 256 MB, AMD Radeon x600,,, 23 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Chromebook 13 (7310),3.50,good,799.00," Business, Small Business", Intel Core i5-5300U, 2.3 GHz, Google Chrome OS, 8 GB, Intel HD Graphics 5500, 32 GB, SSD, 13.3 inches, 1920 x 1080, Widescreen, 3.23 lbs, 10:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPC ClientPro 345,3.00,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite U205-S5022,4.00,excellent,1349.00," General Purpose, Media, Ultraportable, Small Business", Intel Core Duo T2400, 1.83 GHz, MS Windows XP Professional, 1 GB, Intel GMA 950, 120 GB,, 12.1 inches,, Widescreen, 4.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Veriton VZ2660G-i34130X,3.50,good,779.99," Business, All-in-one, Small Business, Touchscreen All-In-One", Intel Core i3-4130T, 2.9 GHz, Microsoft Windows 7 Professional, 4 GB, Intel HD Graphics 4400, 500 GB, HDD, 19.5 inches, 1600 x 900,,,,, 2199,,,,, 3986, 215,,,,,,, 11, 4,,, 11, 3,, 2:47 min:sec,, 288,, 5:12 min:sec,,
Dell Inspiron One 2320,4.00,excellent,1249.99," Multimedia, All-in-one, Touchscreen All-In-One", Intel Core i5-2400S, 2.5 GHz, Microsoft Windows 7 Home Premium, 8 GB," Intel HD Graphics 2000, Nvidia GeForce GT 525M", 2000 GB,, 23 inches, 1920 x 1080,,,, 2718,,,, 1581, 293,,,,,,,,,,,,,,, 1:29 min:sec,, 3.35,, 3:38 min:sec,,,
Toshiba Portege R835-P88,4.50,excellent,850.00," Ultraportable, Business, Small Business", Intel Core i5-2450M, 2.5 GHz, Microsoft Windows 7 Home Premium, 6 GB, Intel HD Graphics 3000, 640 GB,, 13.3 inches, 1366 x 768, Widescreen, 3.2 lb,,,, 5142, 2827,,,,, 20.7, 8.1, 21.8,,,,,,,,,, 1:46 min:sec,, 2.75,, 3:55 min:sec,, 293, 8:40
Microtel SYSWM8001,3.00,good,298.00, Value,,,, 128 MB, Integrated, 40 GB,,, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Dimension 8400,4.50,excellent,, Multimedia,,,, 1 GB, AMD Radeon x800, 320 GB,, 19 inches, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv7-3163cl-b,4.00,excellent,799.99," Media, Tablet", AMD Turion II Dual-Core Mobile M520, 2.3 GHz, Microsoft Windows 7 Home Premium, 4 GB, AMD Mobility Radeon HD 4200, 320 GB,, 17.3 inches,, Widescreen, 7.12 lb,,,,, 1517,,,,,,,,,,,,,,,,,,,,,,,,
Asus Chromebook C300 (C300MA-DB01),4.00,excellent,249.00," Ultraportable, Value", Intel Celeron N2830, 2.16 GHz, Google Chrome OS, 2 GB, Intel HD Graphics, 16 GB, SSD, 13.3 inches, 1366 x 768, Widescreen, 2.87 lb, 10:42 hrs:min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI X340 (021US),3.50,good,875.00," General Purpose, Media, Ultraportable, Value", Intel Core 2 Solo U3500, 1.4 GHz, Microsoft Windows Vista Home Premium, 2 GB, Intel GMA 4500MHD, 320 GB,, 13.4 inches,, Widescreen, 2.9 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 116, 3:34
Samsung QX411-W01UB,3.50,good,700.00," General Purpose, Media", Intel Core i5-2430M, 2.4 GHz, Microsoft Windows 7 Home Premium, 6 GB, Intel HD Graphics 3000, 640 GB,, 14 inches, 1366 x 768, Widescreen, 5 lb,,,, 4851, 4065,,,,, 19.3,, 18.8,,,,,,,,,, 1:53 min:sec,, 2.71,, 4:00 min:sec,, 294, 8:58
Acer Aspire 9805WKHi,3.00,good,2799.00," Gaming, Media", Intel Core Duo T2600, 2.16 GHz," MS Windows XP Media Center, MS Windows XP Media Center", 2 GB, Nvidia GeForce Go 7600, 240 GB,, 20.1 inches,, Widescreen, 17.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Getac F110 ,3.50,good,2899.00,,, 2.1 GHz, Microsoft Windows 7, 4 GB, Intel HD Graphics 4400, 128 GB, SSD, 11.6 inches,, TFT LCD, 3.11 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire AS1830T-3935 (AT&T),3.00,good,300.00," General Purpose, Media, Ultraportable, Small Business, Consumer Ultra-Low Voltage", Intel Core i3 330M, 1.2 GHz, Microsoft Windows 7 Home Premium, 2 GB, Intel GMA HD, 250 GB,, 11.6 inches, 1366 x 768, Widescreen, 2.9 lb,,,, 1255, 1143,,,,,,,,,,,,,,,,, 5:55 min:sec,, 1.01,, 12:57 min:sec,, 243, 4:03
HP EliteBook Folio 1020,3.50,good,1649.99," Ultraportable, Business", Intel Core M-5Y71, 1.2 GHz, Windows 8.1 Pro, 8 GB, Intel HD Graphics 5300, 256 GB, SSD, 12.5 inches, 2560 x 1440, Widescreen, 2.68 lb, 7:20 hrs:min,, 1464,,,,, 3077, 191,,,,,,, 7, 1,,, 8, 1,, 5:06 min:sec,, 158,, 5:46 min:sec,,
Panasonic Toughbook Y2,3.00,good,2675.00," General Purpose, Ultraportable",, 1.3 GHz, MS Windows XP Professional, 256 MB, Intel 82855 GME, 40 GB,, 15 inches,,, 3.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Surface Book,4.50,excellent,1699.00," Detachable, Ultraportable, Tablet", Intel Core i5-6300U, 2.4 GHz," Microsoft Windows 10, Windows 10"," 8 GB, 8 GB"," Intel HD Graphics 520, Intel HD Graphics 520", 256 GB," SSD, SSD", 13.5 inches, 3000 x 2000," IPS LCD, Widescreen", 3.34 lbs, 4:23 hrs:min,, 2583,,,,, 5842, 388,,,,,,, 22, 2,,, 25, 2,, 2:20 min:sec,, 307,, 3:07 min:sec,,
