Title,Rating,Editor Rating,MSRP,Type,Processor Name,Processor Speed,Operating System,RAM,Graphics Card,Storage Capacity (as Tested),Storage Type,Screen Size,Resolution,Screen Type,Weight,Battery Rundown,PCMark7,PCMark 8 - Work Conventional,"3-D BENCHMARK TESTS - 3DMark06 - 1,024 x 768 - Default",3-D BENCHMARK TESTS - 3DMark06 - Native – 0X/4X,3DMark 11 Entry - 3D Benchmark Tests,3DMark 11 Extreme - 3D Benchmark Tests,3DMark - Cloud Gate,3DMark - Fire Strike Extreme,"Lost Planet 2 (DX9) - Middle quality - 1,024 x 768- AA/AF=Off/Off",Lost Planet 2 (DX9) - High quality - Native - AA/AF= 0X/4X,"Crysis - Medium quality - 1,024 x 768 - AA/AF=Off/Off",Crysis - High quality - Native - AA/AF= 0X/4X,"Heaven - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Heaven - Max quality - Native - AA/AF=4X/4X:,Heaven 4.0 - Medium Quality - 1366 x 768 - Off,Heaven 4.0 - Ultra Quality - Native - 4X,"Aliens vs. Predator - Mid quality - 1,366 x 768 - AA/AF=Off/Off",Aliens vs. Predator - Max quality - Native - AA/AF=4X/4X,Valley 1.0 - Medium Quality - 1366 x 768 - Off,Valley 1.0 - Ultra Quality - Native 4X,Handbrake Multimedia Tests,Handbrake 0.9.9,CineBench 11.5 Multimedia Tests,CineBench R15,MULTIMEDIA TESTS - PhotoShop CS5,Photoshop CS6 Multimedia Tests,MobileMark 2007- Performance score,MobileMark 2007 – Standard Battery Productivity Load (hrs:min)
Asus Eee PC 1015B,3.00,good,280.00, Netbook, AMD C-30, 1.2 GHz," Microsoft Windows 7 Starter Edition, Microsoft Windows 7 Starter Edition", 1 GB, AMD Radeon HD 6250, 250 GB,, 10.1 inches, 1024 x 600, Widescreen, 2.8 lb,,,,,,,,,,,,,,,,,,,,,,,, 0.22,,,,,
Compaq Evo Workstation W4000,4.00,excellent,3172.00,,,,, 1 GB,, 114 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo ThinkPad Z60t,4.00,excellent,1899.00," General Purpose, Media, Business", Intel Pentium M 750, 1.86 GHz, MS Windows XP Professional, 512 MB, Intel GMA 900 GM, 80 GB,, 14.1 inches,, Widescreen, 5.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus K52F-A1,3.50,good,680.00," General Purpose, Media, Value", Intel Core i3-370M, 2.4 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD, 500 GB,, 15.6 inches,, Widescreen, 5.8 lb,,,, 1914, 1660,,,,,,,,,,,,,,,,, 3:10 min:sec,, 1.99,, 337.5 min:sec,,, 3:25
Lenovo ThinkStation E30,3.50,good,1019.00," Workstation, Small Business",, 3.2 GHz,, 4 GB,, 500 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fujitsu LifeBook N6010,3.50,good,2399.00, Media,, 3.2 GHz, MS Windows XP Home, 1 GB, AMD Mobility Radeon 9700, 100 GB,, 17 inches,, Widescreen, 10.1 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polywell Poly 976N4-SLI4 Quad SLI,2.50,fair,5999.00," Gaming, Workstation", Intel Core 2 Extreme X6800, 2.93 GHz, MS Windows XP Professional, 2 GB, Nvidia GeForce 7950 GX2 Quad SLI, 300 GB,, 30 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Satellite Pro L300D-EZ1003X,2.50,fair,850.00,, AMD Turion 64 X2 TL-62 Mobile, 2.1 GHz, MS Windows XP Professional, 2 GB, AMD Adeon X1250, 160 GB,, 15.4 inches,, Widescreen, 5.68 lb,,,,, 184,,,,,,,,,,,,,,,,,,,,,,,,
CyberPower Gamer Ultra 8500 SE,3.50,good,849.00," Gaming, Mainstream", AMD Athlon 64 X2 6000+, 3 GHz, Microsoft Windows Vista Home Premium, 1 GB, Nvidia GeForce 8600 GT, 320 GB,, 19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViewSonic ViewBook 730,,,299.00,,, 1 GHz, Google Android 2.3 or earlier,,, 8 GB,, 7 inches,,, 15.2 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony VAIO VPC-F136FM/B,4.00,excellent,1300.00," General Purpose, Media, Desktop Replacement", Intel Core i7-740QM, 1.73 GHz, Microsoft Windows 7 Home Premium, 6 GB, Nvidia GeForce GT 425M, 640 GB,, 16.3 inches, 1600 x 900, Widescreen, 6.5 lb,,,, 8807, 6026,,,,,,,,,,,,,,,,, 3:00 min:sec,, 3.09,, 4:52 min:sec,,, 2:44
ASUS Eee Top 1602,3.50,good,599.00," Mainstream, Value, All-in-one, Nettop", Intel Atom N270, 1.5 GHz, MS Windows XP Home, 1 GB, Intel GMA 950, 160 GB,, 15.6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony VAIO VGN-S150,4.00,excellent,1999.00," General Purpose, Media",, 1.6 GHz, MS Windows XP Home, 512 MB, AMD Radeon 9200, 60 GB,, 13.3 inches,, Widescreen, 4.2 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best Buy Offers Wide-Screen DVD in a Notebook,,,2399.00,,, 2 GHz, MS Windows XP Home, 512 MB, Nvidia GeForce4 420 Go, 40 GB,, 15.2 inches,,, 6.4 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell XPS 410 with ATI TV Wonder Digital Cable Tuner,,,," Mainstream, Multimedia", Intel Core 2 Duo E6700, 2.66 GHz, Microsoft Windows Vista Ultimate, 2 GB, Nvidia GeForce 8800GTX, 1000 GB,, 27 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook 13-inch (Aluminum),3.50,good,1599.00," Gaming, Media",, 2.4 GHz, Mac OS X 10.5, 2 GB, Nvidia GeForce 9400M, 250 GB,, 13.3 inches,, Widescreen, 4.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Slimline s3710t,3.00,good,1000.00," Mainstream, Multimedia", Intel Core 2 Duo E7300, 2.66 GHz, Microsoft Windows Vista Ultimate, 4 GB, Nvidia GeForce 9500 GS, 400 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Series 7 (DP700A3B-A01US),3.50,good,1099.00," Mainstream, Multimedia, All-in-one, Digital Entertainment System, Touchscreen All-In-One", Intel Core i5-2390T, 2.7 GHz, Microsoft Windows 7 Home Premium, 8 GB, Intel HD Graphics, 1000 GB,, 23 inches, 1920 x 1080,,,, 2753,,,,,,,,,,,,,,,,,,,, 1:46 min:sec,, 2.91,, 3:48 min:sec,,,
Compaq Presario 8000T,3.00,good,3170.00, Gaming,,, Microsoft Windows XP Home,, Nvidia GeForce FX 5950, 320 GB,, 17 inches, 1280 x 1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateway NV50A02u,4.00,excellent,450.00, Desktop Replacement, AMD Phenom II N830, 2.1 GHz, Microsoft Windows 7 Premium Edition, 4 GB, AMD Mobility Radeon 4250, 500 GB,, 15.6 inches, 1366 x 768, Widescreen, 5 lb,,,, 2013, 1621,,,,, 8.7,,,,,,,,,,,, 3:32 min:sec,, 1.77,, 9:24 min:sec,, 94, 3:50
MicronPC Millennia TS2 Xtreme,4.00,excellent,2899.00,,,,, 512 MB,, 240 GB,, 19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell OptiPlex 3011,3.50,good,1419.28," Business, All-in-one", Intel Core i3-3220, 3.3 GHz, Microsoft Windows 8 Professional, 4 GB, Intel HD Graphics 2500, 500 GB, HDD, 20 inches, 1600 x 900,,,, 2836,,,, 712, 130,,,,,,, 6,,,, 6, 5,,, 1:07 min:sec,, 3.27 min:sec,,, 5:04 min:sec,,
Samsung ATIV SmartPC Pro 700T (XE700T1C-A01US),4.00,excellent,1199.99," Ultraportable, Tablet, Consumer Ultra-Low Voltage", Intel Core i5-3317U, 1.7 GHz, Microsoft Windows 8," 4 GB, 4 GB"," Intel HD Graphics 4000, Intel HD Graphics 4000", 128 GB, SSD, 11.6 inches, 1920 x 1080, Widescreen, 1.9 lb, 5:12 hrs:min, 4471,,,, 1044,,,,,,,, 12,,,, 9, 5,,, 1:30 min:sec,, 2.38,,, 6:20 min:sec,,
HP Pavilion p6234f-b,3.00,good,750.00," Mainstream, Value", Intel Pentium Dual Core E5400, 2.7 GHz, Microsoft Windows 7 Home Premium, 6 GB, Intel GMA 3100, 640 GB,, 21.5 inches, 1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaCentre B305,3.50,good,949.00," Multimedia, All-in-one, Touchscreen All-In-One", AMD Athlon II X4 600e, 2.2 GHz, Microsoft Windows 7 Home Premium, 4 GB, AMD Radeon HD 5450, 640 GB,, 21.5 inches, 1920 x 1080,,,,,,,,,,,,,,,,,,,,,,,, 3:25 min:sec,, 2.34,, 8:01 min:sec,,,
Sharp Actius MP30,3.50,good,1899.00, Ultraportable,, 1.6 GHz, MS Windows XP Home, 512 MB, AMD Mobility Radeon 7500, 40 GB,, 10.4 inches,,, 2.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Chromebook 11 (Verizon LTE),4.50,excellent,299.99," General Purpose, Ultraportable, Value", Samsung Exynos 5250, 1.7 GHz, Google Chrome OS, 2 GB, ARM Mali-T604, 16 GB, SSD, 11.6 inches, 1366 x 768, Widescreen, 2.3 lb, 5:31 hrs:min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Latitude C600,4.00,excellent,3378.00,,,,, 128 MB,, 10 GB,, 14.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM NetVista X41,4.00,excellent,2248.00,,,,,,, 40 GB,, 17 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo G560-0679AKU,3.50,good,499.00, Value, Intel Core i3-370M, 2.4 GHz, Microsoft Windows 7 Home Premium, 4 GB, Intel GMA HD, 500 GB,, 15.6 inches,, Widescreen, 5.7 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toshiba Chromebook 2 (CB35-C3350),3.50,good,429.99, General Purpose, Intel Core i3-5015U, 2.1 GHz, Google Chrome OS, 4 GB, Intel HD Graphics, 16 GB, Flash storage, 13.3 inches, 1920 x 1080, Widescreen, 2.9 lbs, 5:32 hrs:min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dell Inspiron 2500,4.00,excellent,1199.00,,,,,,,,, 14.1 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion dv7-1451nr,3.00,good,799.98," General Purpose, Media", AMD Turion 64 X2 Ultra ZM-82 Mobile, 2.2 GHz, Microsoft Windows Vista Home Premium, 4 GB, AMD Radeon HD 3200, 500 GB,, 17 inches,, Widescreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP ProBook 4510s,4.00,excellent,700.00," General Purpose, Media, Value, Business, Small Business", Intel Core 2 Duo T6750, 2.1 GHz, Microsoft Windows Vista Business, 2 GB, Intel GMA 4500MHD, 250 GB,, 15.6 inches,, Widescreen, 5.5 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,, 170, 4:37
