,id,ltable_id,rtable_id
1220,2643439,44619,905238
1253,2676602,152480,696162
1259,2679844,24914,512945
1261,2681393,322347,819607
1262,2682474,729968,331829
1268,2716157,440269,927000
1272,2728155,299123,573969
1290,2756054,83832,583835
1306,2784063,285164,373939
1313,2787328,645011,217472
1314,2793548,150157,507910
1315,2793549,683247,507910
1316,2793554,724692,507910
1317,2793556,733186,507910
1326,2814984,632250,505374
1327,2820054,593512,653801
1330,2825853,569041,221752
1331,2825878,611653,221752
1332,2826406,572051,422449
1334,2835827,485400,812877
1336,2840334,471188,296362
1338,2845419,199055,47673
1341,2847258,367405,125578
1342,2848253,401324,151
1353,2867445,287205,232409
1354,2870279,174282,825733
1367,2898421,663795,851477
1368,2898427,701669,851477
1369,2898433,192182,851477
1370,2898439,122736,851477
1371,2901942,543844,895014
1398,2906485,520010,885124
1400,2915474,587851,60826
1401,2916824,370689,23915
1414,2935298,514631,521656
1415,2938247,258334,369641
1426,2951320,348253,341490
1427,2955359,462792,452406
1428,2957797,614172,720855
1430,2961314,381862,68574
1432,2963272,199481,718601
1437,2971877,376361,113527
1438,2975960,713627,272158
1439,2976235,146763,272158
1443,2977023,151790,358831
1444,2977024,555456,358831
1445,2977027,308938,358831
1457,3007650,726334,418946
1458,3008406,664567,657713
1466,3025885,234969,457982
1467,3027060,172120,313087
1473,3045922,476653,852993
1475,3047125,372719,519164
1477,3065047,31119,532822
1479,3065183,611974,532822
1493,3088816,395289,847341
1498,3117248,671324,846175
1499,3117263,60657,846175
1501,3123728,578540,247601
1511,3140367,488529,360980
1513,3149428,565249,951049
1514,3149454,214072,951049
1515,3157818,527913,108111
1521,3169993,509645,458498
1538,3187437,623911,14897
1539,3199545,588579,526969
1541,3206275,715008,790293
1542,3206413,298866,29426
1543,3206715,599230,226187
1544,3206716,365226,226187
1545,3210509,724385,862608
1546,3210517,466203,862608
1554,3213211,693279,845552
1557,3225386,193151,598426
1563,3246688,609685,47780
1564,3251437,674496,47141
1565,3251444,716721,47141
1571,3261173,60398,704851
1584,3289495,559627,713001
1585,3289817,480608,846800
1593,3329041,302585,490375
1594,3331880,358744,777269
1595,3335076,569216,450828
1605,3384239,206952,454193
1607,3389841,42180,796356
1608,3393743,594689,571222
1609,3393744,615398,571222
1610,3393750,435377,571222
1611,3393751,705956,571222
1613,3393754,362341,571222
1614,3397681,635846,267470
1618,3398652,619695,46402
1629,3400979,92023,927092
1634,3417054,670007,457906
1641,3462519,657418,914105
1642,3462553,600836,914105
1649,3481253,398540,644840
1650,3488934,563381,170569
1653,3497719,173386,180463
1654,3503067,700560,5256
1658,3525309,366207,209872
1660,3529353,328502,806377
1662,3540680,572738,212875
1665,3546028,390211,271261
1666,3546798,692648,742964
1667,3546811,716453,742964
1668,3546845,239102,742964
1670,3553357,643477,493555
1672,3557431,478124,766161
1673,3562477,269841,169618
1674,3565422,633895,390002
1675,3565423,258729,390002
1676,3568622,720630,441173
1683,3606061,492223,575299
1684,3615037,709262,40139
1686,3625269,559187,558511
1690,3630462,719737,800639
1691,3630895,140535,887664
1696,3634531,281797,156389
1697,3637928,303818,749823
1701,3650759,495710,35041
