ltable_Title,rtable_Title
dell inspiron mini 10s (hd),"dell inspiron i1545 notebook pc (purple) - 15.6"" widescreen display / intel pentium t4400 2.2ghz / 3gb ddr2 / 250gb hd / built-in webcam / dvd±rw/cd-rw drive / 802.11b/g wlan / windows 7 home premium 64-bit,dell computers"
lenovo thinkpad 10 tablet,"lenovo notebook 20gj000pus thinkpad 13 13.3inch core i5-6200u 2.3ghz 2x4gb 256gb windows 10 professional retail,lenovo americas,20gj000pus"
lenovo thinkpad edge 13,"lenovo notebook 20gj000pus thinkpad 13 13.3inch core i5-6200u 2.3ghz 2x4gb 256gb windows 10 professional retail,lenovo americas,20gj000pus"
hp elitebook 8740w,"hp elitebook 8740w base model mobile workstation,hewlett-packard"
acer aspire one (ao532h-2268),"acer aspire one d250-1165 10.1-inch netbook,acer"
acer aspire one (a0751h),"acer aspire one d250-1165 10.1-inch netbook,acer"
acer aspire one aod255-1203 ,"acer aspire one d250-1165 10.1-inch netbook,acer"
acer aspire one cloudbook 14 (a01-431-c1fz),"acer aspire one d250-1165 10.1-inch netbook,acer"
toshiba satellite radius 15 p55w-c5212-4k,"toshiba satellite radius 11 l15w-b1303 32 gb tablet pc - 11.6"" - trubrite, in-plane switching (ips) technology - wireless lan pskvqu-002002,toshiba,pskvqu-002002"
toshiba satellite radius 12 p25w-c2300-4k,"toshiba satellite radius 11 l15w-b1303 32 gb tablet pc - 11.6"" - trubrite, in-plane switching (ips) technology - wireless lan pskvqu-002002,toshiba,pskvqu-002002"
toshiba satellite radius 11 (l15w-b1302),"toshiba satellite radius 11 l15w-b1303 32 gb tablet pc - 11.6"" - trubrite, in-plane switching (ips) technology - wireless lan pskvqu-002002,toshiba,pskvqu-002002"
toshiba satellite radius p55w-b5224,"toshiba satellite radius 11 l15w-b1303 32 gb tablet pc - 11.6"" - trubrite, in-plane switching (ips) technology - wireless lan pskvqu-002002,toshiba,pskvqu-002002"
toshiba satellite radius 14 e45w-c4200x,"toshiba satellite radius 11 l15w-b1303 32 gb tablet pc - 11.6"" - trubrite, in-plane switching (ips) technology - wireless lan pskvqu-002002,toshiba,pskvqu-002002"
toshiba satellite radius 12 (p20w-cst3n01),"toshiba satellite radius 11 l15w-b1303 32 gb tablet pc - 11.6"" - trubrite, in-plane switching (ips) technology - wireless lan pskvqu-002002,toshiba,pskvqu-002002"
dell chromebook 11 touch,"dell chromebook 11 11.6-inch,dell computers,730-8301"
dell chromebook 11,"dell chromebook 11 11.6-inch,dell computers,730-8301"
dell chromebook 11 (intel core i3),"dell chromebook 11 11.6-inch,dell computers,730-8301"
dell inspiron 15 (i15rv-6190 blk),"dell inspiron 15 i3541-2002blk 15.6"" laptop (amd a6 6310, 4gb ram, 500gb),dell consumer,i35412002blk"
dell inspiron 15 non-touch (3531),"dell inspiron 15 i3541-2002blk 15.6"" laptop (amd a6 6310, 4gb ram, 500gb),dell consumer,i35412002blk"
dell inspiron 15 (7537),"dell inspiron 15 i3541-2002blk 15.6"" laptop (amd a6 6310, 4gb ram, 500gb),dell consumer,i35412002blk"
dell inspiron 15 7000 series (7559),"dell inspiron 15 i3541-2002blk 15.6"" laptop (amd a6 6310, 4gb ram, 500gb),dell consumer,i35412002blk"
lenovo thinkpad t60 widescreen,"lenovo thinkpad t61 7663 14.1"" widescreen notebook,lenovo,lenovo thinkpad t61"
apple smart keyboard for ipad pro,"apple macbook pro mjlq2e/a 15.4"" laptop with retina display & force touch trackpad (256 gb) (spanish keyboard) (international model no warranty),apple computer,mjlq2e/a"
asus transformer book t100ha,"asus tp550la 15.6in transformer book flip - core i5-5200u, touchscreen, 4gb ram, 500gb hard drive, windows 10,asus,tp500la-uh51t"
hp elitebook revolve 810,"hp elitebook revolve 810 g2 tablet pc - 11.6"" - wireless lan - intel core i5 i5-4300u 1.90 ghz g9u12us#aba,hp"
dell inspiron small desktop 3000 series (3646),"dell inspiron 11 3000 11 3147 tablet pc - 11.6"" - truelife - wireless lan - intel celeron n2840 dual-core (2 core) 2.16 ghz - i3147-2501slv,dell,i3147-2501slv"
dell inspiron e1505 (core 2 duo),"dell inspiron 11 3000 11 3147 tablet pc - 11.6"" - truelife - wireless lan - intel celeron n2840 dual-core (2 core) 2.16 ghz - i3147-2501slv,dell,i3147-2501slv"
dell inspiron 11 3000 series 2-in-1 special edition (3153),"dell inspiron 11 3000 11 3147 tablet pc - 11.6"" - truelife - wireless lan - intel celeron n2840 dual-core (2 core) 2.16 ghz - i3147-2501slv,dell,i3147-2501slv"
dell chromebook 11 (intel core i3),"dell inspiron 11 3000 11 3147 tablet pc - 11.6"" - truelife - wireless lan - intel celeron n2840 dual-core (2 core) 2.16 ghz - i3147-2501slv,dell,i3147-2501slv"
dell latitude xt2 tablet pc,"dell inspiron 11 3000 11 3147 tablet pc - 11.6"" - truelife - wireless lan - intel celeron n2840 dual-core (2 core) 2.16 ghz - i3147-2501slv,dell,i3147-2501slv"
hp elitebook 8470p,"hp elitebook 8470p - core i7 3520m / 2.9 ghz - windows 7 pro 64-bit - 8 gb ram - 320 gb hdd - dvd supermulti - 14&quot; hd anti-glare wide 1366 x 768 / hd - platinum,hewlett packard,c9y46up#aba"
dell chromebook 11 (intel core i3),"latitude 13 3340 13.3"" notebook - intel core i3 i3-4005u 1.70 ghz,dell computers,998-bbwy"
dell latitude 13 education series (3340),"latitude 13 3340 13.3"" notebook - intel core i3 i3-4005u 1.70 ghz,dell computers,998-bbwy"
sony vaio vgn-sz280p (intel core 2 duo),"sony vaio vgn-ux280p 4.5-inch laptop (intel core solo processor u1400, 1 gb ram, 40 gb hard drive),sony,vgn-ux280p"
hp elitebook 8470p,"hp elitebook 8470p - 14"" - core i5 3210m - windows 7 professional 64-bit - 4 gb ram - 500 gb hdd (pg2921) category: laptop computers,hp,b5p22ut#aba,vs455743"
apple macbook air 13-inch (thunderbolt),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook air (nvidia 9400m gt),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook pro 13-inch (core 2 duo 2.4ghz),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook air 13-inch,"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook 13-inch (core 2 duo t7200),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook 13-inch white (core 2 duo),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook air 11-inch (2015),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook pro 17-inch (core 2 duo t7700),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook air 13-inch (mid 2013),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook air 13-inch (2014),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook (core 2 duo 2.4ghz),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook pro 15-inch (core 2 duo),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook air 11-inch (mid 2012),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
apple macbook air 11-inch (2014),"apple macbook air 11.6"" 1.7ghz core i5 trackpad,apple"
dell latitude e7440 touch,"dell latitude 14 7000 e7440 14"" touchscreen led ultrabook - intel core i7 i7-4600u dual-core (2 core) 2.10 ghz - black 462-4181,dell computers,462-4181"
acer aspire one (ao532h-2268),"acer aspire one d250-1165 10.1-inch netbook,acer"
acer aspire one (a0751h),"acer aspire one d250-1165 10.1-inch netbook,acer"
acer aspire one aod255-1203 ,"acer aspire one d250-1165 10.1-inch netbook,acer"
acer aspire one cloudbook 14 (a01-431-c1fz),"acer aspire one d250-1165 10.1-inch netbook,acer"
dell latitude 14 5000 series (e5450),"dell latitude 14 5000 5414 14"" notebook - intel core i5 (6th gen) i5-6300u dual-core (2 core) 2.40 ghz,dell latitude,n4951"
dell inspiron e1505 (core 2 duo),"dell latitude 14 5000 5414 14"" notebook - intel core i5 (6th gen) i5-6300u dual-core (2 core) 2.40 ghz,dell latitude,n4951"
dell latitude 14 rugged extreme,"dell latitude 14 5000 5414 14"" notebook - intel core i5 (6th gen) i5-6300u dual-core (2 core) 2.40 ghz,dell latitude,n4951"
dell latitude 14 7000 series (e7450),"dell latitude 14 5000 5414 14"" notebook - intel core i5 (6th gen) i5-6300u dual-core (2 core) 2.40 ghz,dell latitude,n4951"
dell chromebook 11 (intel core i3),"dell latitude 14 5000 5414 14"" notebook - intel core i5 (6th gen) i5-6300u dual-core (2 core) 2.40 ghz,dell latitude,n4951"
asus transformer book tx300c,"asus transformer book t100tam-c1-gm signature edition 2 in 1 pc laptop - 90nb0794-m01410-bb,asus"
asus transformer book trio,"asus transformer book t100tam-c1-gm signature edition 2 in 1 pc laptop - 90nb0794-m01410-bb,asus"
asus transformer book t100ta (64gb),"asus transformer book t100tam-c1-gm signature edition 2 in 1 pc laptop - 90nb0794-m01410-bb,asus"
asus transformer book t100ha,"asus transformer book t100tam-c1-gm signature edition 2 in 1 pc laptop - 90nb0794-m01410-bb,asus"
sony vaio vgn-sz280p (intel core 2 duo),"sony vaio vgn-ux280p 4.5-inch laptop (intel core solo processor u1400, 1 gb ram, 40 gb hard drive),sony,vgn-ux280p"
lenovo thinkpad yoga 14,"lenovo thinkpad t440p 20an006cus 14"" led (in-plane switching (ips) technology) n,lenovo,20an006cus"
apple smart keyboard for ipad pro,"apple macbook pro 13.3 inch 1280 x 800 laptop intel core i5 turboboost 3.1ghz 16gb ddr3 memory 1tb ssd solid state drive + 1tb hdd hard drive + dvd superdrive backlit keyboard usb 3.0 thunderbolt os x,apple computer"
dell inspiron 1545 (i1545-use010st),"dell inspiron 15 (1545) 15.6-inch laptop notebook (jet black),dell computers,inspiron 1545fsdl54"
dell inspiron 1545 (i1545-004st),"dell inspiron 15 (1545) 15.6-inch laptop notebook (jet black),dell computers,inspiron 1545fsdl54"
apple smart keyboard for ipad pro,"apple macbook pro 13.3 inch 1280x800 laptop intel core i5 turboboost 3.1ghz 16gb ddr3 memory 500gb ssd solid state drive + 1tb hdd hard drive + dvd superdrive backlit keyboard usb 3.0 thunderbolt os x,apple computer"
apple smart keyboard for ipad pro,"apple macbook pro 13 inch 1280x800 laptop intel core i5 turboboost 3.1ghz processor 16gb ddr3 memory 500gb hard drive dvd superdrive multitouch trackpad backlit keyboard usb 3.0 thunderbolt,apple computer"
dell inspiron 15 (i15rv-6190 blk),"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
dell inspiron 15 non-touch (3531),"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
dell precision 15 5000 series (5510),"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
dell inspiron 15 (7537),"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
dell inspiron 15 7000 series (7559),"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
dell inspiron e1505 (core 2 duo),"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
dell chromebook 11 (intel core i3),"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
dell inspiron 17 5000 series non-touch,"dell inspiron 15 5000 15 5558 15.6"" touchscreen laptop intel core i3-5015u 2.10 ghz 4gb ram 1tb hdd i5558-2572blk (glossy black),dell consumer,i5558-2572blk"
