id,movie_title,year,episode,song_title,artists
393455,claudia leitte: ao vivo em copacabana,2008.0,nan,pensando em você,henrique cerqueira+claudia leitte
393456,claudia leitte: ao vivo em copacabana,2008.0,nan,horizonte,tito+claudia leitte
721143,whats good for the goose,1969.0,nan,never be me,the pretty things
721144,whats good for the goose,1969.0,nan,eagles sun,the pretty things
491786,jetzt und alles,1981.0,nan,sehnsucht nach allem (piano bar version),anthony moore
721165,whats new pussycat,1965.0,nan,dance mamma  dance pappa  dance,burt bacharach
721168,whats new! dvd,2006.0,nan,almost,bowling for soup
655635,the dead girl,2006.0,nan,naked in my skin,steve mcnerney
721173,whats new! dvd,2006.0,nan,i wanna be,emma roberts
33045,blunt talk,2015.0,all my relationships end in pain (#1.3),mr. jive,jesse morgan
721174,whats new! dvd,2006.0,nan,state of mind,raul midon
721176,whats new! dvd,2006.0,nan,over my head (cable car),the fray
622878,song of the sea,2014.0,nan,the storm,bruno coulais+kila
262431,the queen latifah show,2013.0,an exclusive world premiere performance from dolly parton. plus  revenge star josh bowman. (#1.26),miss you  miss me,dolly parton
721188,whats so bad about feeling good?,1968.0,nan,blue  black and gray,jerry keller+dave blume
590120,ray,2004.0,nan,everyday i have the blues,memphis slim+chris thomas king
622892,song of the sierras,1946.0,nan,i miss you since youve been gone,arthur fiddlin smith+wesley tuttle+his texas stars
655663,the dead next door,1989.0,nan,left for dead (instrumental version),j.r. bookwalter
721213,whats up nurse!,1978.0,nan,the love bug,roger webb+tony burrows
590143,ray,2004.0,nan,i believe to my soul,ray charles+arrangement with warner strategic marketing
721219,whats your number?,2011.0,nan,take back the world,imani coppola+adam pallin+little jackie
459080,greta,2009.0,nan,i wanna die,jolie holland
426320,el cristo de los faroles,1958.0,nan,el agua del avellano,josé maría legaza+antonio molina
721233,whats your number?,2011.0,nan,no self control,ali theodore+ali dee
688467,the true story of linda m.,1995.0,nan,wings of an eagle,steve bell
524634,love,2015.0,nan,is there anybody out there?,pink floyd+roger waters
229727,supergirl,2015.0,manhunter (#1.17),party rock anthem (feat. lauren bennett & goonrock),nan
354,100 greatest songs of the 90s,2007.0,(#1.2),it was a good day,ice cube
622948,song.null.vier,2004.0,nan,you can change the world,written ba peter janda+hans kreuzmayr+sepp krassnitzer
655717,the death and life of bobby z,2007.0,nan,agua de rosas,lila downs+paul cohen
688486,the trumpet blows,1934.0,nan,the red cape,ralph rainger
655722,the death of pancho villa,2010.0,nan,la toma de zacatecas,antonio aguilar  .
655734,the debridement of rome,2012.0,nan,praeludium to the fancie  bk12 (second version),william byrd+davitt moroney
721271,whats yours is now mine,2012.0,nan,only reason,jeris
622968,songbirth,2015.0,nan,tu pensiòn (feat. antonio torrisi),hector corral
590201,re ai dao,2012.0,nan,tong zhuo de ni,xiaosong gao+rubberband
721273,whats yours is now mine,2012.0,nan,dancing in the sun,clay
622971,songbirth,2015.0,nan,canzoni a metà (demo version),musita
655735,the debridement of rome,2012.0,nan,book of ways  vol. 1  no. 9,keith jarrett
688513,the truth about cats & dogs,1996.0,nan,for once in my life,ronald miller+orlando murden+dionne farris
721283,whats the matter with gerald?,2016.0,nan,ghost in the machine,jimmy tittle
721288,whats the matter with helen?,1971.0,nan,what a friend we have in jesus,charles crozat converse+lyrics by joseph m. scriven+agnes moorehead
229774,supernatural,2005.0,abandon all hope (#5.10),oye como va,santana
721298,whats the occasion,2010.0,nan,i dont wanna,organized rhyme
688533,the truth about charlie,2002.0,nan,garab,rachid taha
721307,whats the use?,2015.0,nan,the birthday song,fly moon royalty+michael sylvester+adrienne green
721312,whats the worst that could happen?,2001.0,nan,happy feelins,frankie beverly+sam logan
655783,the decoy bride,2011.0,nan,your song (acoustic session at the engine room),kate walsh
229801,supernatural,2005.0,baby (#11.4),someday soon,ian tyson+judy collins
721345,whatever,1998.0,nan,angel from montgomery,john prine+michelle yahn+steve kraft+greg leisz
524744,love child,1996.0,nan,sugar boogie,rob thomas+bobby thomas+the hotline
557513,nipples & palm trees,2012.0,nan,john travoltas camel toe,charlie parker
590283,reading festival 2002,2002.0,nan,have you ever?,the offspring
655823,the definitive elvis: elvis and priscilla,2002.0,nan,today  tomorrow and forever,bill giant+bernie baum+florence kaye+elvis presley
721364,whatever happened to harold smith?,1999.0,nan,pommie,reg tilsley+the london big sound
688597,the truth is out there,2011.0,nan,the pink panther,henry mancini
721369,whatever happened to mason reese,1990.0,nan,boogie nights,rod temperton+heatwave
721373,whatever happened to mason reese,1990.0,nan,short people,randy newman
721379,whatever happened to rock n roll?,2015.0,nan,dont look back in anger,noel gallagher+oasis
721380,whatever happened to rock n roll?,2015.0,nan,whatever happened to my rock n roll,black rebel motorcycle club
721382,whatever happened to rock n roll?,2015.0,nan,house of the rising sun,the animals
393703,clear and present danger,1994.0,nan,dulce material,e.z.d.+fransheska+franzheska
688619,the tune,1992.0,nan,no nose blues,jimmy ceribello
721389,whatever happened to rock n roll?,2015.0,nan,moby dick,john bonham+john paul jones+jimmy page+led zeppelin
623086,songs in the key of grinch,2000.0,nan,welcome christmas - reprise,dr. seuss+albert hague
721393,whatever happened to the gender benders?,2005.0,nan,no more heroes,the stranglers
500,11er haus,2005.0,freie liebe (#1.4),black night,deep purple
721397,whatever happened to the gender benders?,2005.0,nan,the things that dreams are made of,the human league
688632,the tunnel of love,1958.0,nan,have lips  will kiss in the tunnel of love,patty fisher+bob roberts+doris day
721401,whatever happened to the gender benders?,2005.0,nan,ashes to ashes,david bowie
721403,whatever happened to the gender benders?,2005.0,nan,fade to grey,visage
655868,the delicate art of the rifle,1996.0,nan,happy  happy birthday baby,the tune weavers
721405,whatever it takes,1998.0,nan,pedal to the metal,chris horvath+chris horvath   (jamnation music+bmi)
655875,the delinquents,1989.0,nan,be-bop-a-lula,gene vincent   / tex davis+gene vincent+his blue caps  (as gene vincent+his blue caps)
721411,whatever it takes,2000.0,nan,red alert,simon ratcliffe+felix buxton+basement jaxx+locksmith
459271,grind,2003.0,nan,the jump off,lil kim+easy mo bee+mr. cheeks+arrangement with warner strategic marketing
524810,love finds andy hardy,1938.0,nan,what do you know about love,nan
655885,the delinquents,1989.0,nan,since i met you baby,ivory joe hunter
557585,nirvana live! tonight! sold out!!,1994.0,nan,breed,kurt cobain+nirvana
360983,barrio tales,2012.0,nan,wttw,word to the wise
557594,nirvana live! tonight! sold out!!,1994.0,nan,sliver,kurt cobain+nirvana
721442,whatever works,2009.0,nan,symphony no. 5 in c minor,ludwig van beethoven+royal philharmonic orchestra
524838,love four,1994.0,nan,misty eyed lady,christon / harvey
655911,the demolisher,2015.0,nan,darker days,future funk squad
557611,nit 10,2010.0,nan,la meva gent,la resistència
721455,whathathoom: cheese live!,2003.0,nan,trilogy,cheese
590387,real steel,2011.0,nan,fastlane,eminem+royce da 59+luis resto+dwayne chin-quee+jason gilbert+sly jordan+bad meets evil
524852,love god,1997.0,nan,coochy ride,tony mercedes   / pressha  / southern playas+fierce
721461,wheel of fate,1953.0,nan,the whistlers serenade,bert weedon
328252,2010 bet hip hop awards,2010.0,nan,bed intruder song,antoine dodson+michael gregory+the gregory brothers
688702,the tuxedo,2002.0,nan,youll never find another love like mine,kenny gamble+leon huff+lou rawls
721472,when albums ruled the world,2013.0,nan,masters of war,bob dylan
721474,when albums ruled the world,2013.0,nan,like a rolling stone,bob dylan
131656,lîle aux enfants,1974.0,le zoo de casimir,lîle aux enfants,anne germain+roger pouly
688739,the twilight saga: breaking dawn - part 1,2011.0,nan,from now on,matthew pelham+roger dabbs+rollum haas+mark bond+the features
721513,when brendan met trudy,2000.0,nan,the cascade waltz,ray davies
688747,the twilight saga: breaking dawn - part 1,2011.0,nan,bellas lullaby,carter burwell+stan whitmire
688755,the twilight saga: breaking dawn - part 2,2012.0,nan,the house of the rising sun,nan
721527,when comedy was king,1960.0,nan,the old grey mare,nan
721538,when comedy went to school,2013.0,nan,a friend of kafka,glenn dickson+shirim klezmer orchestra
721541,when comedy went to school,2013.0,nan,dance of the dreydls/dance of the reed flutes,pyotr ilyich tchaikovsky+shirim klezmer orchestra
590470,reality bites,1994.0,nan,spin the bottle,juliana hatfield+the juliana hatfield band+arrangement with warner special products
721566,when disco ruled the world,2012.0,nan,cant stop the music,jacques morali+the village people
656042,the details,2011.0,nan,boondigga,fat freddys drop
688814,the twilight saga: new moon,2009.0,nan,a white demon love song,brandon flowers+dave keuning+mark stoermer+ronnie vannucci+the killers
623287,sonnenallee,1999.0,nan,geh zu ihr,puhdys
721598,when harry met sally...,1989.0,nan,say it isnt so,irving berlin
230083,supernatural,2005.0,something wicked (#1.18),rock bottom,ufo
721606,when harry met sally...,1989.0,nan,it had to be you,isham jones+gus kahn+frank sinatra+arrangement with warner special products+harry connick jr.
656071,the devil makes three,1952.0,nan,snack bar,albert sendrey
590536,reap the wild wind,1942.0,nan,tis but a little faded flower,john rogers thomas
688841,the tyburn case,1957.0,nan,shimmering silk,c. king palmer
721614,when harry tries to marry,2011.0,nan,hot as hell,sarah sharp+buffalo speedway
688849,the tyburn case,1957.0,nan,music for industry,robert farnon
656083,the devil wears prada,2006.0,nan,here i am (kaskade remix),david morales+tamra keenan+alex shantzis+david morales   with tamra keenan
721627,when hes not a stranger,1989.0,nan,walk like an egyptian,liam sternberg+the bangles
656091,the devil wears prada,2006.0,nan,city of blinding lights,u2
721630,when heaven comes down,2002.0,nan,letting go,underglow
721639,when heaven comes down,2002.0,nan,slow killer theme,groantechno
426731,el chou de cho-juaa,1978.0,nan,la vela latina,mary sánchez y los bandana
721643,when i die,2009.0,nan,make love a star,poison control center
721644,when i die,2009.0,nan,master alarm clock,poison control center
721646,when i die,2009.0,nan,losing to living,poison control center
721648,when i fall in love,1951.0,nan,wheni fall in love,nat king cole
131831,la femme nikita,1997.0,noise (#1.16),tape loop,skye edwards+paul godfrey+ross godfrey+morcheeba
721657,when i met u,2009.0,nan,bring me down,cueshe
99066,glee,2009.0,the hurt locker: part 2 (#6.5),it must have been love,per gessle+becca tobin+marshall williams
