id,ltable_id,rtable_id
32,592.0,571847.0
33,3476.0,571847.0
40,307.0,53603.0
73,4723.0,700054.0
86,2281.0,407456.0
136,1432.0,833034.0
172,2906.0,855979.0
193,3893.0,313069.0
215,1559.0,542717.0
304,3943.0,837122.0
308,4671.0,839154.0
309,1759.0,839154.0
312,584.0,459251.0
320,6975.0,286212.0
321,4615.0,860761.0
322,3952.0,860761.0
323,896.0,860761.0
382,1289.0,564406.0
403,2344.0,510160.0
426,6144.0,718195.0
427,1215.0,718195.0
442,6869.0,819378.0
447,2664.0,373755.0
462,654.0,861552.0
463,6978.0,861552.0
464,1359.0,861552.0
476,3055.0,491875.0
528,2488.0,565116.0
529,4795.0,701020.0
530,3359.0,701020.0
531,5466.0,701020.0
534,6148.0,256575.0
537,6761.0,780446.0
538,1257.0,780446.0
539,4938.0,780446.0
540,3516.0,528814.0
555,2987.0,397695.0
558,6078.0,201599.0
574,4745.0,722609.0
575,2877.0,722609.0
576,6104.0,722609.0
593,6.0,860689.0
620,2074.0,204599.0
647,1362.0,763904.0
756,1654.0,688252.0
760,5812.0,246972.0
761,4570.0,836405.0
775,1470.0,400424.0
792,6005.0,705419.0
812,5473.0,439501.0
821,2115.0,499501.0
822,7074.0,499501.0
823,5578.0,499501.0
833,1409.0,503966.0
834,3336.0,503966.0
836,5371.0,503966.0
867,5879.0,840841.0
868,383.0,840841.0
877,5462.0,720382.0
885,6603.0,674279.0
888,266.0,430510.0
889,3190.0,430510.0
890,232.0,430510.0
891,3324.0,430510.0
897,371.0,93229.0
925,5846.0,108359.0
926,5612.0,244991.0
930,5939.0,457857.0
934,366.0,606689.0
950,4496.0,667908.0
969,2588.0,692126.0
970,2208.0,692126.0
972,4906.0,103885.0
997,1091.0,164725.0
1009,3276.0,776498.0
1033,5376.0,701528.0
1042,4288.0,128333.0
1056,1412.0,776880.0
1069,1966.0,565555.0
1070,2021.0,565555.0
1097,3670.0,604693.0
1142,2099.0,29489.0
1143,6497.0,29489.0
1160,6819.0,760558.0
1161,2739.0,760558.0
1162,4303.0,760558.0
1163,7121.0,760558.0
1164,4450.0,760558.0
1165,4199.0,760558.0
1224,4459.0,752916.0
1248,4496.0,667905.0
1255,600.0,801615.0
1256,996.0,97809.0
1257,17.0,698578.0
1258,3217.0,698578.0
1306,7003.0,740342.0
1352,3998.0,51107.0
1353,7080.0,51107.0
1362,5843.0,824216.0
1376,39.0,691153.0
1377,4733.0,691153.0
1378,425.0,691153.0
1388,6350.0,314796.0
1409,4882.0,438573.0
1410,3570.0,438573.0
1511,3328.0,725354.0
1512,6646.0,725354.0
1519,2067.0,802266.0
1520,4876.0,701469.0
1528,5526.0,76361.0
1529,5286.0,76361.0
1530,410.0,812977.0
1552,6761.0,780448.0
1553,1257.0,780448.0
1554,4938.0,780448.0
1560,1457.0,418901.0
1561,6105.0,418901.0
1562,1500.0,418901.0
1564,4931.0,261171.0
1565,6782.0,652279.0
1605,3348.0,555996.0
1628,1843.0,812212.0
1629,6288.0,812212.0
1630,760.0,812212.0
1632,5584.0,812212.0
1643,5340.0,463923.0
1644,1626.0,779991.0
1646,1299.0,197082.0
1649,3919.0,358304.0
1654,5048.0,93125.0
1660,6371.0,59418.0
1661,1019.0,116960.0
1675,5151.0,666723.0
1701,108.0,154573.0
1702,5467.0,154573.0
1703,7123.0,154573.0
1707,5077.0,821411.0
1712,6720.0,222515.0
1713,1666.0,222515.0
1714,704.0,222515.0
1719,1081.0,661867.0
1720,6074.0,661867.0
1733,590.0,563806.0
1754,2282.0,676982.0
1755,974.0,543491.0
1767,3845.0,566876.0
1768,2499.0,693304.0
1772,5067.0,755212.0
1773,2068.0,853847.0
1783,5867.0,160257.0
1786,1060.0,514806.0
1796,3921.0,317498.0
1797,2001.0,317498.0
1798,6902.0,317498.0
1800,2556.0,317498.0
1804,5327.0,756820.0
1817,6112.0,223766.0
1820,1273.0,449030.0
1826,3014.0,858529.0
1847,3415.0,292639.0
1857,870.0,468134.0
1860,7075.0,242355.0
1871,5242.0,96538.0
1887,3666.0,473239.0
1895,2189.0,600674.0
1897,349.0,513158.0
1899,1956.0,349315.0
1900,4297.0,349315.0
1901,7230.0,349315.0
1910,3919.0,358303.0
1941,6371.0,59410.0
1954,2177.0,135725.0
1974,5398.0,805116.0
1975,4895.0,805116.0
2037,5417.0,238603.0
2098,7051.0,486243.0
2099,2603.0,486243.0
2112,218.0,733212.0
2113,7018.0,733212.0
2125,3478.0,599236.0
2126,1565.0,599236.0
2138,2955.0,690228.0
2169,6830.0,642107.0
2189,6327.0,298065.0
2190,2935.0,298065.0
2191,4020.0,298065.0
2192,3349.0,266686.0
2199,7071.0,34982.0
2200,3728.0,152353.0
2274,1939.0,103959.0
2318,4272.0,820006.0
2319,3306.0,820006.0
2320,2386.0,820006.0
2321,971.0,820006.0
2328,4521.0,786167.0
2336,3770.0,835787.0
2343,7134.0,594834.0
2358,5192.0,598718.0
2367,5727.0,731979.0
2368,6329.0,731979.0
2370,3288.0,731979.0
2371,1785.0,731979.0
2372,5923.0,731979.0
2385,1045.0,513891.0
2402,1085.0,62943.0
2409,7095.0,513429.0
2414,5816.0,842161.0
2415,1870.0,842161.0
2420,5553.0,321621.0
2428,2943.0,399252.0
2502,6868.0,740404.0
2503,5377.0,740404.0
2504,2949.0,740404.0
2518,1898.0,513495.0
2519,2231.0,513495.0
2533,1585.0,187866.0
2544,6071.0,527569.0
2545,7146.0,527569.0
2577,6414.0,669474.0
2578,2991.0,669474.0
2579,3598.0,669474.0
2587,6184.0,834673.0
2588,3819.0,834673.0
2589,6471.0,834673.0
2590,3453.0,834673.0
2593,3661.0,125685.0
2608,5476.0,731353.0
2609,5506.0,731353.0
2610,1953.0,731353.0
2611,2426.0,376091.0
2612,6543.0,376091.0
2620,6157.0,463629.0
2625,2422.0,107594.0
2626,35.0,553202.0
2627,5069.0,188789.0
2677,6849.0,187953.0
2680,1634.0,730402.0
2681,6201.0,659218.0
2685,6614.0,471461.0
2688,1432.0,833036.0
2741,3770.0,835786.0
2742,4874.0,823986.0
2743,5066.0,823986.0
2745,5312.0,779755.0
2763,6365.0,618422.0
2764,2410.0,618422.0
2770,3686.0,427285.0
2771,6896.0,427285.0
2773,1119.0,427285.0
2776,5477.0,342249.0
2783,6504.0,804148.0
2793,346.0,743294.0
2812,3776.0,774448.0
2813,5450.0,774448.0
2833,2947.0,452189.0
2850,2180.0,100206.0
2852,3121.0,35844.0
2876,2587.0,337261.0
2877,2425.0,337261.0
2878,4582.0,467083.0
2965,5162.0,688148.0
2966,5712.0,688148.0
2972,6078.0,201600.0
2997,2835.0,521938.0
3039,5360.0,180562.0
3041,3532.0,868131.0
3042,743.0,868131.0
3043,3323.0,639562.0
3058,4690.0,171081.0
3059,1103.0,68568.0
3061,6981.0,729601.0
3076,1617.0,759346.0
3077,3713.0,515101.0
3078,3328.0,725352.0
3079,6646.0,725352.0
3087,2480.0,270727.0
3098,4309.0,47174.0
3110,5146.0,441325.0
3111,452.0,441325.0
3165,1145.0,762896.0
3166,2726.0,762896.0
3167,1790.0,762896.0
3168,1791.0,762896.0
3169,3844.0,762896.0
3170,1300.0,762896.0
3171,2867.0,762896.0
3172,2914.0,762896.0
3173,6581.0,762896.0
3174,6582.0,762896.0
3187,5448.0,633221.0
3199,4912.0,853547.0
3217,4760.0,676181.0
3253,1485.0,152500.0
3267,5933.0,774930.0
3271,5102.0,536579.0
3295,4525.0,656698.0
3296,991.0,656698.0
3297,6483.0,767960.0
3298,7172.0,832787.0
3299,6538.0,832787.0
3300,6636.0,832787.0
3316,3874.0,716894.0
3317,5750.0,587837.0
3336,4522.0,591872.0
3348,6277.0,239585.0
3349,7101.0,813145.0
3355,3639.0,206827.0
3356,4358.0,206827.0
3358,11.0,721914.0
3378,2458.0,655326.0
3379,6458.0,743038.0
3392,5716.0,243191.0
3398,2970.0,734500.0
3435,3549.0,95765.0
3436,7136.0,603713.0
3454,6235.0,736566.0
3503,4033.0,712076.0
3504,596.0,712076.0
3505,1158.0,712076.0
3506,4050.0,712076.0
3514,1501.0,528506.0
3536,1713.0,773796.0
3551,557.0,272862.0
3552,7081.0,272862.0
3553,3421.0,537140.0
3565,437.0,661688.0
3615,4496.0,667907.0
3635,4611.0,555311.0
3636,3727.0,555311.0
3637,4979.0,555311.0
3645,3717.0,476093.0
3648,3023.0,850992.0
3684,6656.0,482408.0
3687,3329.0,586689.0
3688,521.0,586689.0
3689,6698.0,586689.0
3690,6971.0,586689.0
3709,7147.0,841241.0
3710,1405.0,841241.0
3716,6802.0,189807.0
3731,4971.0,636578.0
3735,2614.0,736895.0
3766,4839.0,583675.0
3793,5805.0,187549.0
3840,605.0,354480.0
3841,2401.0,354480.0
3848,302.0,431321.0
3860,83.0,766220.0
3861,4944.0,766220.0
3862,1865.0,766220.0
3888,7225.0,666681.0
3904,3772.0,513000.0
3908,577.0,506609.0
3911,841.0,506609.0
3922,3739.0,867896.0
3930,3604.0,491715.0
3934,660.0,165397.0
3935,679.0,646586.0
3947,5423.0,720457.0
3963,1222.0,799554.0
3965,1366.0,834537.0
3972,208.0,339737.0
4000,588.0,293526.0
4012,2808.0,742539.0
4018,1356.0,439842.0
4019,6060.0,439842.0
4028,331.0,527641.0
4033,7260.0,846544.0
