id,ltable_id,rtable_id,ltable_movie_title,ltable_year,rtable_movie_title,rtable_year
464,1359.0,861552.0,you  me and dupree,"[2006, 2002]",you  me and dupree,2006.0
467,2850.0,505230.0,the nice guys,"[2016, 1999]",nice guys,2000.0
470,5462.0,721809.0,the girl,2012,the good girl,2011.0
473,5747.0,536406.0,shes out of control,"[1989, 1959]",out of control,1987.0
474,4302.0,536406.0,shes out of control,"[1989, 1959]",out of control,1987.0
475,3320.0,536406.0,shes out of control,"[1989, 1959]",out of control,1987.0
476,3055.0,491875.0,my first mister,"[2001, 1999]",my first mister,2001.0
478,6235.0,737099.0,the look of love,"[2013, 1996]",the love,2016.0
481,944.0,49344.0,alvin and the chipmunks,"[2007, 1980]",alvin and the chipmunks easter collection,2012.0
491,6666.0,106229.0,bones,2005,bones,2001.0
492,4120.0,106229.0,bones,"[2001, 1991]",bones,2001.0
493,163.0,106229.0,bones,"[2005, 1999]",bones,2001.0
494,4786.0,106229.0,bones,2005,bones,2001.0
495,5722.0,106229.0,bones,"[2005, 2010]",bones,2001.0
496,5730.0,106229.0,bones,2005,bones,2001.0
497,2534.0,106229.0,bones,"[2005, 2004]",bones,2001.0
498,1774.0,106229.0,bones,"[2005, 2003]",bones,2001.0
502,7105.0,289640.0,halloween ii,2009,halloween,2007.0
503,5492.0,289640.0,halloween ii,"[2009, 1998]",halloween,2007.0
510,4316.0,711942.0,the dream,"[2014, 2003]",the dream role,2011.0
511,879.0,711942.0,the dream,"[2014, 2003]",the dream role,2011.0
515,6077.0,631917.0,shelter,2014,shangku shelter,2017.0
519,686.0,77711.0,the bachelor,"[2002, 2006]",bachelor,2004.0
520,3068.0,77711.0,the bachelor,"[2002, 1982]",bachelor,2004.0
528,2488.0,565116.0,popular,"[1999, 2008]",popular,2011.0
529,4795.0,701020.0,the buddy holly story,"[1978, 1973]",the buddy holly story,1978.0
530,3359.0,701020.0,the buddy holly story,"[1978, 1973]",the buddy holly story,1978.0
531,5466.0,701020.0,the buddy holly story,1978,the buddy holly story,1978.0
534,6148.0,256575.0,four jills in a jeep,1944,four jills in a jeep,1944.0
537,6761.0,780446.0,this is it,"[2009, 1991]",this is it,2009.0
538,1257.0,780446.0,this is it,2009,this is it,2009.0
539,4938.0,780446.0,this is it,"[2009, 1991]",this is it,2009.0
540,3516.0,528814.0,one mississippi,2015,one mississippi,2011.0
552,47.0,288715.0,year of the dog,2007,hair of the dog,2008.0
555,2987.0,397695.0,la linea,"[2009, 2008]",la linea,2009.0
556,863.0,276485.0,in the name of the father,"[1993, 1976]",god's dominion: in the name of the father,1993.0
558,6078.0,201599.0,down,2001,down,1999.0
561,6966.0,700885.0,the rhino brothers,"[2002, 1992]",the brothers,1987.0
566,5583.0,698474.0,the dilemma,"[2011, 2006]",the blackhawk dilemma,2016.0
567,2753.0,774294.0,the wedding tackle,"[2000, 1969]",the wedding toast,1999.0
568,215.0,774294.0,the wedding tackle,"[2000, 1979]",the wedding toast,1999.0
572,1831.0,109225.0,boys and girls,"[2000, 1999]",boys and balls,1994.0
574,4745.0,722609.0,the great everything & the nothing,"[2016, 1999]",the great everything & the nothing,2016.0
575,2877.0,722609.0,the great everything & the nothing,"[2016, 2008]",the great everything & the nothing,2016.0
576,6104.0,722609.0,the great everything & the nothing,"[2016, 2007]",the great everything & the nothing,2016.0
582,5583.0,772197.0,the dilemma,"[2011, 2006]",the venetian dilemma,2004.0
583,1375.0,237395.0,face,"[2002, 1999]",face ? face,2003.0
584,4489.0,434840.0,lone star,"[1996, 1990]",lone star hate,1998.0
585,4435.0,434840.0,lone star,"[1996, 1993]",lone star hate,1998.0
592,499.0,480342.0,mad money,"[2008, 1971]",money,2007.0
593,6.0,860689.0,you cant hurry love,1988,you can't hurry love,1988.0
606,3632.0,251022.0,flight,"[2012, 1972]",flight,1967.0
607,4119.0,157964.0,crossing the lake,"[2010, 1989]",crossing the river,1988.0
613,932.0,760800.0,the roseanne show,"[1997, 1998]",the show,2002.0
619,5233.0,760800.0,the roseanne show,1997,the show,2002.0
620,2074.0,204599.0,drive angry,"[2011, 2007]",drive angry,2012.0
622,5462.0,745191.0,the girl,2012,the night girl,2016.0
634,2178.0,729754.0,the interview,"[2014, 2009]",the jimmy poodle interview,2016.0
635,5809.0,729754.0,the interview,"[2014, 2009]",the jimmy poodle interview,2016.0
639,706.0,759487.0,the secret life of pets,"[2016, 1975]",the secret of life,2016.0
643,2.0,723943.0,the warriors,"[2005, 1979]",the gypsy warriors,1978.0
645,619.0,723943.0,the warriors,"[2005, 1978]",the gypsy warriors,1978.0
647,1362.0,763904.0,the stag,"[2013, 1940]",the stag,2009.0
673,6743.0,616903.0,saturday night live,"[1975, 2009]",saturday night thing,2014.0
685,1168.0,616903.0,saturday night live,"[1975, 2009]",saturday night thing,2014.0
691,5504.0,616903.0,saturday night live,"[1975, 2009]",saturday night thing,2014.0
699,1821.0,616903.0,saturday night live,"[1975, 2010]",saturday night thing,2014.0
712,5890.0,187319.0,diary,"[2010, 1994]",diary,1998.0
716,2937.0,256355.0,found footage festival volume 1: live in brooklyn,2005,found footage festival volume 4: live in tucson,2009.0
721,5636.0,471542.0,midnight heat,"[2007, 1987]",midnight,2010.0
722,2662.0,471542.0,midnight heat,"[2007, 1984]",midnight,2010.0
725,1834.0,697661.0,the big year,"[2011, 1964]",the big sur,1965.0
726,162.0,260257.0,friends with kids,"[2011, 2005]",friends with fins,2014.0
729,5747.0,536408.0,shes out of control,"[1989, 1959]",out of control,1992.0
730,4302.0,536408.0,shes out of control,"[1989, 1959]",out of control,1992.0
731,3320.0,536408.0,shes out of control,"[1989, 1959]",out of control,1992.0
737,3132.0,458298.0,woman in the mirror,2013,marie in the mirror,2010.0
745,1501.0,803900.0,one night stand,"[2010, 1989]",two night stand,2005.0
750,7102.0,537630.0,somewhere over the rainbow,"[2014, 1978]",over the rainbow,2015.0
756,1654.0,688252.0,terminal city ricochet,"[1990, 1989]",terminal city ricochet,1990.0
758,2026.0,854181.0,wrong side of town,"[2010, 2007]",wrong side of the bus,2009.0
760,5812.0,246972.0,final destination,"[2000, 1993]",final destination,2000.0
761,4570.0,836405.0,watercolor postcards,"[2013, 1970]",watercolor postcards,2013.0
765,3403.0,39208.0,after the sunset,2004,after the sunrise,2008.0
775,1470.0,400424.0,la personne aux deux personnes,2008,la personne aux deux personnes,2008.0
776,1592.0,708979.0,the singing detective,2003,the dead detective,2008.0
